crew_id,BIA,FSC,UIP
MQIFWXAR,1,1,1
EXSGDMOI,1,1,1
LVHLGPNQ,1,1,1
UWWYMZJM,1,1,1
YLVEHLRN,1,1,1
EOFYSRLO,1,1,1
IGZIGOVA,1,1,1
KWSEMLDL,1,1,1
KXPMDUKW,1,1,1
AASFRQHP,1,1,1
JRYAHFQT,1,1,1
DQPDCCBO,1,1,1
TLVFDBRD,1,1,1
ZNPBZCDD,1,1,1
LREXJPHV,1,1,1
VHYEYDJL,1,1,1
VZCKKNVE,1,1,1
KPRMAXDP,1,1,1
JTDSYJTU,1,1,1
RBHSQFOH,1,1,1
ZOKNRYQH,1,1,1
UUXYAUOU,1,1,1
LNEQYSEO,1,1,1
ZXOQWMXU,1,1,1
DJPOGIPN,1,1,1
BUQVCELB,1,1,1
HDCWPMYQ,1,1,1
ITUNVXGN,1,1,1
XSCUVHKC,1,1,1
DSCCPEGK,1,1,1
PHBMHJDE,1,1,1
JXAOJLYP,1,1,1
GMEDPKAZ,1,1,1
ZKZBDNWS,1,1,1
NIJCGPNC,1,1,1
VLGFFKJZ,1,1,1
EPPIGXHL,1,1,1
MGEQDEHK,1,1,1
OPTKACKG,1,1,1
FKWKWGPV,1,1,1
NDRTYZBM,1,1,1
JGGQRNDF,1,1,1
RUNOWCDJ,1,1,1
WEMMLFMM,1,1,1
MFGMGBGO,1,1,1
XQNTLPIS,1,1,1
GVXVVXVQ,1,1,1
JMTSYEZT,1,1,1
XOOYIFAY,1,1,1
RANVNJRN,1,1,1
PTACITXJ,1,1,1
CQJIAUHJ,1,1,1
GMFEHLTN,1,1,1
LBVNYCEB,1,1,1
KGDNISQX,1,1,1
ENXRXHXC,1,1,1
RYNXSEXV,1,1,1
NXUOHMML,1,1,1
UXEOCDNB,1,1,1
XGUESVQC,1,1,1
CFRKHMQA,1,1,1
FRKEMBAO,1,1,1
XDQIOGOM,1,1,1
HDXGIGKH,1,1,1
CGPZRSIY,1,1,1
ZIMYBWSY,1,1,1
GDZXCZNI,1,1,1
BMSJJCBC,1,1,1
ESNCTPBL,1,1,1
ELLTMWCI,1,1,1
GKOXMNYI,1,1,1
OECNRKJV,1,1,1
UQNIUGLY,1,1,1
HFUVYGRH,1,1,1
LYIHLDZL,1,1,1
XGDWAZEY,1,1,1
FCMHFPOS,1,1,1
LNVOKMAC,1,1,1
QTAESNIH,1,1,1
ERIFUFXD,1,1,1
IJPHKFFO,1,1,1
HUVUWRWW,1,1,1
YCQLUIPQ,1,1,1
YNMLSNUP,1,1,1
NTJWUZNX,1,1,1
LMINYFED,1,1,1
FPJSVKFG,1,1,1
MHWLDYWT,1,1,1
TQCJYKZO,1,1,1
STIIUQFB,1,1,1
CIUAKVLY,1,1,1
PPXGAJZQ,1,1,1
OYWNRFCI,1,1,1
BEQDYVSJ,1,1,1
XXBGEYGZ,1,1,1
ULQVYBEK,1,1,1
HIXTKYPX,1,1,1
AZDNUNYC,1,1,1
ZTLFCJMU,1,1,1
KUQSMVNZ,1,1,1
KVDIIMHS,1,1,1
TQUGAYDR,1,1,1
AKRZKVPQ,1,1,1
JXPMRINK,1,1,1
ASSFPANX,1,1,1
CQFZXWXZ,1,1,1
ZSZILCVH,1,1,1
GYIOHFSO,1,1,1
ZZVTRNQN,1,1,1
BDMZBIQW,1,1,1
TYZXDLWV,1,1,1
LPFCWLZY,1,1,1
ZCYBSDPR,1,1,1
QDHAWAPS,1,1,1
NSKMOHID,1,1,1
MYLRIINP,1,1,1
AGJMTWJU,1,1,1
EHZJNZGB,1,1,1
YNZHWZOJ,1,1,1
SCUZLCKU,1,1,1
PHHPLPDS,1,1,1
JKFSPVDT,1,1,1
FMVBSEZV,1,1,1
DXAEXEJW,1,1,1
BNWMZEGP,1,1,1
QILHTYJX,1,1,1
CGJDYCAA,1,1,1
ZCRCIVVL,1,1,1
HMDLCXBJ,1,1,1
FPLOJCPY,1,1,1
KGVOZOLM,1,1,1
NFQOSWCS,1,1,1
XAVIRVFH,1,1,1
KEALLXIB,1,1,1
MPGLNCFI,1,1,1
BBUQOAAR,1,1,1
RWDQYJEE,1,1,1
YSQUUDCY,1,1,1
XEEPITEY,1,1,1
VEDGOXAI,1,1,1
VTCCJPFL,1,1,1
PNCOQVAS,1,1,1
GTDQCTDQ,1,1,1
UGLGRMWY,1,1,1
GHWYZVBV,1,1,1
AOZTIXQV,1,1,1
QELCTSSG,1,1,1
LMAIBNSJ,1,1,1
JIYCJBEX,1,1,1
SRHZTAZK,1,1,1
HNQUXFCO,1,1,1
RXWANFBX,1,1,1
KLQSBXJE,1,1,1
MQRBSMEP,1,1,1
RHZNPDYS,1,1,1
YVHQCMQB,1,1,1
UBDWSCKV,1,1,1
IACEPGWD,1,1,1
WUDYUCIC,1,1,1
LVHEVNDN,1,1,1
GFGRHGIA,1,1,1
FOZXVTEM,1,1,1
PROJQQRU,1,1,1
WGDZAYCZ,1,1,1
CECANKFQ,1,1,1
FMWFONIA,1,1,1
WFAOJQLG,1,1,1
WHXGAHZK,1,1,1
CHWHJVSG,1,1,1
LAFSIAVA,1,1,1
SWNXYWLT,1,1,1
RVPSBNEF,1,1,1
ZGPQCRMX,1,1,1
ZUESLNNR,1,1,1
JFLDJQSA,1,1,1
DJLWRBIL,1,1,1
OAFTVSQV,1,1,1
MWIHEGLW,1,1,1
HVSYZSYN,1,1,1
BFOPUCOQ,1,1,1
ZVGQUXEK,1,1,1
KODMFUGA,1,1,1
BWNZZUBW,1,1,1
VWUCQHYV,1,1,1
RVSYTPLO,1,1,1
JTNEPUAY,1,1,1
PLJMXMEJ,1,1,1
YIBOWAZF,1,1,1
KYLVVBWV,1,1,1
OIFHYWGZ,1,1,1
PWDQUYNP,1,1,1
BWNIYDYC,1,1,1
VXJKQZUJ,1,1,1
CEGFCBFO,1,1,1
FFKDLQIR,1,1,1
FFQMCDYP,1,1,1
KDNYLMFQ,1,1,1
AABGVIGJ,1,1,1
UXTWEOMT,1,1,1
EYNNOZNJ,1,1,1
AWQKICTD,1,1,1
KDPKRNAD,1,1,1
YLAINGSD,1,1,1
XJJKRCCZ,1,1,1
DXDEKKWX,1,1,1
TFBNRWDT,1,1,1
PCARCUXC,1,1,1
JINPUSIH,1,1,1
LENJWORQ,1,1,1
KEBEQKTB,1,1,1
OWNHXRSP,1,1,1
WFOQXTHX,1,1,1
HKETPAMG,1,1,1
GRZHIQVO,1,1,1
FGHJMWIJ,1,1,1
HOLMZJBD,1,1,1
SGPSNZOY,1,1,1
VVJGOKFD,1,1,1
NNFTQRJG,1,1,1
NZFRUQKS,1,1,1
UYBDKDBU,1,1,1
KHFGQSCW,1,1,1
JLXFJVEG,1,1,1
KCHOEFKR,1,1,1
PGSDCOGG,1,1,1
XJAIYKPF,1,1,1
CNAZSXUV,1,1,1
PAIGQGXG,1,1,1
XSJDUMEH,1,1,1
CURLKWUQ,1,1,1
CHRQJOFQ,1,1,1
IOKYPVOQ,1,1,1
MPVGJGIM,1,1,1
MEMZDSJT,1,1,1
FQQJNREC,1,1,1
CWZUXNAE,1,1,1
JDHMQEQE,1,1,1
WUNPLGFE,1,1,1
BAFZQZCB,1,1,1
QRNQGYDX,1,1,1
IEATWHCW,1,1,1
WRHIARTY,1,1,1
VJTGUZGP,1,1,1
DSJDHBAK,1,1,1
MFJEHOYY,1,1,1
ZSTVUYVY,1,1,1
EXORSYSG,1,1,1
MAMZWFBL,1,1,1
EHOZVJUG,1,1,1
VZGYQBRB,1,1,1
TDGVYAXR,1,1,1
ZZQDDQYN,1,1,1
AGQAYLIP,1,1,1
TKZAKULX,1,1,1
MPQGNBJC,1,1,1
XDALWUXJ,1,1,1
HXKGNDGG,1,1,1
NFFLODBL,1,1,1
AZGMJSZW,1,1,1
BGPABFNE,1,1,1
ADJPQMJU,1,1,1
IYHNOVJC,1,1,1
IHLGIULU,1,1,1
EUGAZEFV,1,1,1
ENFYIMBB,1,1,1
HXQNIAOX,1,1,1
UCRSCSED,1,1,1
MDXCMXZQ,1,1,1
PNGVTAXB,1,1,1
SQJUFHYW,1,1,1
DCIAUUEM,1,1,1
KQZCHBWD,1,1,1
WFIDGIHZ,1,1,1
TKRSXBBA,1,1,1
EFNWCFNA,1,1,1
XTNGYPZH,1,1,1
GBEJLSZP,1,1,1
QGRUEDUB,1,1,1
XABXTKBM,1,1,1
QOMLXSUN,1,1,1
UAFWIVRN,1,1,1
GQFDUIKX,1,1,1
IGPZTVZI,1,1,1
IPSBFATC,1,1,1
NHCLZMTI,1,1,1
WUPSXWCE,1,1,1
LZFKOAJN,1,1,1
IFJZBEDX,1,1,1
VYZQCLTE,1,1,1
BGVRCDYT,1,1,1
NXIIQRZF,1,1,1
KJWEQAOT,1,1,1
FXGDYCTN,1,1,1
ZWEMGXXH,1,1,1
VXBHZETX,1,1,1
YSQZVFPR,1,1,1
BWAXXRHX,1,1,1
RQUXIMRR,1,1,1
UWAYKMTJ,1,1,1
LLXIXAIT,1,1,1
WZOSIYNL,1,1,1
VMNXCDZU,1,1,1
VFKSIQAQ,1,1,1
OCRSMTIK,1,1,1
SYVKMLMC,1,1,1
HEUYGZAD,1,1,1
EZUBLHPM,1,1,1
NZOSQINW,1,1,1
GAMKURAM,1,1,1
ZRKRUKPT,1,1,1
LQBTCFFR,1,1,1
AOVQDDYZ,1,1,1
IYFEFHHO,1,1,1
TYOIAPMJ,1,1,1
RICCFLZC,1,1,1
MPGFRRWP,1,1,1
GQIUFMYA,1,1,1
BXYJVRDM,1,1,1
GQOTFWHA,1,1,1
WJIWRBSP,1,1,1
FWPBJTBD,1,1,1
EJAGHUZW,1,1,1
GFVYCGDE,1,1,1
GXXMDMSC,1,1,1
FXBJTBET,1,1,1
WWOBMSBV,1,1,1
UJAUNMGM,1,1,1
PNMSEWUD,1,1,1
KZBVJBJQ,1,1,1
RBRYVSTB,1,1,1
TOLAJJFV,1,1,1
BVHYWDBF,1,1,1
SMXEWHGF,1,1,1
IFWROGRI,1,1,1
EXXWBUUU,1,1,1
PLKXNNXD,1,1,1
HHUBXPJX,1,1,1
EJDYQNXR,1,1,1
BHUWYLCF,1,1,1
NYPEWCFD,1,1,1
APTMNGMH,1,1,1
PNRLAVKS,1,1,1
SRFGVMPX,1,1,1
YQWPXKMQ,1,1,1
VYDURDJV,1,1,1
LPUPVHPY,1,1,1
JECGXQBE,1,1,1
RXQZTKRG,1,1,1
TGQTBMXS,1,1,1
SLZDJUDG,1,1,1
MJAXVAJF,1,1,1
DZXZJJID,1,1,1
FRDQZWZD,1,1,1
QFPHWSMF,1,1,1
LFGVITCL,1,1,1
QNSEDVBB,1,1,1
ZHWRFCGP,1,1,1
TVLHMMIK,1,1,1
DNCWNDFI,1,1,1
LUQWQXHX,1,1,1
NTDJDCDR,1,1,1
GYHTESXX,1,1,1
MZOUEBRO,1,1,1
EBRFUQNG,1,1,1
TXCNHCIL,1,1,1
UINYYXCI,1,1,1
MXZIELNT,1,1,1
VGVEETFD,1,1,1
FDDFOFWO,1,1,1
GEESVLOD,1,1,1
AODKDKKN,1,1,1
YSNNRYSV,1,1,1
LESXHPAY,1,1,1
NTACDCSW,1,1,1
CUUOZIXD,1,1,1
POTLEYPZ,1,1,1
MDMCJFLQ,1,1,1
QDUQDBCI,1,1,1
EHWUMCQN,1,1,1
IRLTAOHJ,1,1,1
LYWGYILF,1,1,1
UQZAXBAU,1,1,1
BYVZAYFW,1,1,1
ADNAILVD,1,1,1
CQZBFABF,1,1,1
BCGZECVB,1,1,1
LJBAAWDG,1,1,1
VTVMLMZP,1,1,1
FJSSBHTI,1,1,1
RRXLCECO,1,1,1
AUWDPPSL,1,1,1
EOVJEXWE,1,1,1
JIJJOTRW,1,1,1
SHPKKTQY,1,1,1
QZBJGFTQ,1,1,1
XZSQDIIL,1,1,1
QFWUNGXD,1,1,1
ZCBXUFNJ,1,1,1
XOAGEJQZ,1,1,1
KHIJTCDZ,1,1,1
QJBSWQCZ,1,1,1
XWVBGLYH,1,1,1
BQUSJMFV,1,1,1
AVQVMSJM,1,1,1
JJIBATRO,1,1,1
WEWCEGLU,1,1,1
XGUZUVUN,1,1,1
XNWITEVR,1,1,1
WMJXBEGD,1,1,1
FXGVBCJY,1,1,1
CJSBSSYL,1,1,1
ZYZAKQPQ,1,1,1
QNANWFFT,1,1,1
IBQFJXXX,1,1,1
AMWNGTNY,1,1,1
GQNZANPD,1,1,1
AUULCRZF,1,1,1
YAZCVFHA,1,1,1
JXAHJCAU,1,1,1
OFBJDNPP,1,1,1
PGZNBJJR,1,1,1
YETVEFEI,1,1,1
DGDFRLFR,1,1,1
ACUXNILR,1,1,1
EXSAJVOX,1,1,1
JYZDPNXL,1,1,1
BYMVPWOT,1,1,1
QMKTLTBB,1,1,1
QKCSISUS,1,1,1
HVKWAFPU,1,1,1
PVRMQKDG,1,1,1
RIBHACOC,1,1,1
KMRYBIZV,1,1,1
HVDLBGLD,1,1,1
XTUVNTOM,1,1,1
RWFJIRYD,1,1,1
BVXDGTIT,1,1,1
BNKFHWHV,1,1,1
EYAANKTO,1,1,1
IZZRYYSZ,1,1,1
GRCHOXHM,1,1,1
LZZKWIBM,1,1,1
XLMQRDIN,1,1,1
XERIOKSL,1,1,1
JIWROIVK,1,1,1
BOZRESLY,1,1,1
AUMMWGLD,1,1,1
CHXZDRVQ,1,1,1
NQHKRDQZ,1,1,1
NUXSRVOV,1,1,1
ZGXLICBV,1,1,1
TOJNBFQB,1,1,1
PXWDXBJZ,1,1,1
CGWFITQI,1,1,1
MALPMHDD,1,1,1
YMXBNRNC,1,1,1
LRFKYLMH,1,1,1
JOGDOAOD,1,1,1
EQYMVMTP,1,1,1
DDPNMJCY,1,1,1
UCBNKJRT,1,1,1
SYCHRULY,1,1,1
RZXOALRD,1,1,1
BLTNQVKI,1,1,1
JLBUQGOH,1,1,1
JFDRWDMW,1,1,1
UZTBACCO,1,1,1
YQWIRAWW,1,1,1
YTLKURRJ,1,1,1
ODHUYJLB,1,1,1
EYDPSMGS,1,1,1
ZBAWLBKV,1,1,1
RLHLAZRS,1,1,1
YQLIZKFD,1,1,1
HZBOHVZU,1,1,1
OYGXPYIS,1,1,1
CVTSCLUS,1,1,1
LLKCCGYW,1,1,1
TAEURXYB,1,1,1
VKUSTZMV,1,1,1
FPXOBVVA,1,1,1
CMCXEXGY,1,1,1
PIECPCRA,1,1,1
HPNAWMJT,1,1,1
IMXENKCS,1,1,1
BPOXVRAS,1,1,1
ZORFMAVA,1,1,1
CFKRZKQZ,1,1,1
HYXGNJRY,1,1,1
QCVJAPXJ,1,1,1
XAVACHVU,1,1,1
GDJCGQEU,1,1,1
BYNJOFKQ,1,1,1
XLIRGBNL,1,1,1
BPMETLJM,1,1,1
POJEAARI,1,1,1
SMRLSJOD,1,1,1
OLAAHHDM,1,1,1
YHGEHYLW,1,1,1
VWRMHYGZ,1,1,1
CGQDLATW,1,1,1
XEELPLMM,1,1,1
ZPMWFCIT,1,1,1
BAMNCHZI,1,1,1
YQSCGKHT,1,1,1
MJREFUDP,1,1,1
XZOFEGKJ,1,1,1
MTKHVWAW,1,1,1
GXFSMUDH,1,1,1
EQFDLKOO,1,1,1
JIDGAAPJ,1,1,1
AHPUCBFO,1,1,1
UUAEXAYY,1,1,1
GIQFSJVU,1,1,1
QTJBTJKF,1,1,1
XQOXURER,1,1,1
EYRHIZGM,1,1,1
SRQBUADM,1,1,1
IYKYTDRD,1,1,1
RKCYRPKG,1,1,1
UWILHRKV,1,1,1
LMVDECGV,1,1,1
SZLBDQSL,1,1,1
PYXHRGBY,1,1,1
WCJLBFIV,1,1,1
OELYLGRJ,1,1,1
XAEERPTT,1,1,1
GEAZSKFP,1,1,1
NNXDHHKV,1,1,1
ADJEJNAY,1,1,1
QTYIUTMR,1,1,1
KEAAJXTP,1,1,1
SBVWARTD,1,1,1
VAFHOOKS,1,1,1
PRXMEZQP,1,1,1
HDNFRDJB,1,1,1
QBIIMPNB,1,1,1
KXJJOBFJ,1,1,1
RRFTCVAH,1,1,1
UUOIDSZN,1,1,1
VOJJPGQB,1,1,1
VLIRDPWJ,1,1,1
IXLDLZTN,1,1,1
FZVHBCST,1,1,1
YFNQNIXE,1,1,1
STUMEVQN,1,1,1
VIJWOWCQ,1,1,1
EGZUUMPY,1,1,1
ORLQCTQS,1,1,1
LLMGPWAU,1,1,1
AYLSHXXK,1,1,1
VSPKZMWL,1,1,1
OATCKEKH,1,1,1
MMFKLZIF,1,1,1
QIYGKJLE,1,1,1
LVGLHYIF,1,1,1
IMRKSLFT,1,1,1
YMEAUONG,1,1,1
CBGAGLOO,1,1,1
SZVFZTDX,1,1,1
KLHIBLLL,1,1,1
JUYYSYGB,1,1,1
QVKPHGWC,1,1,1
PFHMRTJT,1,1,1
WGOZAIUT,1,1,1
GECMZKKU,1,1,1
RGVVKGDW,1,1,1
UBQCFDEH,1,1,1
NUBEEDNG,1,1,1
YNPAQHBO,1,1,1
LZEAQINH,1,1,1
SVZQYFMF,1,1,1
EXTPITLA,1,1,1
STYWUIMR,1,1,1
WEFAKBAY,1,1,1
XLUKGXOT,1,1,1
AGNSXZAH,1,1,1
YWJNLDFC,1,1,1
DVYSCKCK,1,1,1
DKBIGGAA,1,1,1
HNNRSNVS,1,1,1
UTLMYEFB,1,1,1
NCJVJOIL,1,1,1
NEAQHSPH,1,1,1
JZUYMVJA,1,1,1
FSFYCMRU,1,1,1
RPAFRRKY,1,1,1
YVAYESUE,1,1,1
ANMLCMXA,1,1,1
LNSCNFJU,1,1,1
VMDONOHC,1,1,1
PLHAJJVU,1,1,1
CZBFVUZL,1,1,1
SNKFSMBO,1,1,1
ZSNMDIHG,1,1,1
QHYEHMGZ,1,1,1
KORBJEFD,1,1,1
HEWRLDXY,1,1,1
OSUMSBRX,1,1,1
ZNBWNWOW,1,1,1
FSAVFJVL,1,1,1
OUJYTGVG,1,1,1
UHOEHVZS,1,1,1
DVERZMAC,1,1,1
EBEVBFUH,1,1,1
RCAZNEQG,1,1,1
VXXTVRJU,1,1,1
RYOBIFEE,1,1,1
FHAUWVWE,1,1,1
AGWNUTYV,1,1,1
BAOSCKVL,1,1,1
WHDLKSHC,1,1,1
IJRDMINL,1,1,1
ELXMAJHD,1,1,1
DNSYZLVL,1,1,1
YYKGRVIK,1,1,1
MAHOXHNU,1,1,1
AGUNXLRB,1,1,1
CFWTRNXD,1,1,1
CDQWUXEH,1,1,1
CINZZDMZ,1,1,1
ZOJUJMVP,1,1,1
IDCFJJES,1,1,1
PDBRSDUE,1,1,1
YGGWXGHF,1,1,1
MRHDBRQC,1,1,1
TRQQMTJA,1,1,1
FBQYGESS,1,1,1
JXXEEEFW,1,1,1
VNVFBLAG,1,1,1
DBHIQCZC,1,1,1
JTEQAQVT,1,1,1
CBGHCTNR,1,1,1
BFAKLXYK,1,1,1
UOGWQRNV,1,1,1
OADDTVTW,1,1,1
YVJQVQTX,1,1,1
DVSCKFIA,1,1,1
TIQCLNSE,1,1,1
QDUSNUAP,1,1,1
VICRQTFB,1,1,1
GDHNZTWZ,1,1,1
IOILAZNK,1,1,1
KFWSIJLR,1,1,1
VCYRBWBW,1,1,1
UPQKKVXY,1,1,1
XHEVWTQJ,1,1,1
VZFATSNR,1,1,1
WZVJMUDM,1,1,1
QTAUVJGW,1,1,1
WOXYPUHU,1,1,1
TQXSEXOM,1,1,1
SCWSWUXQ,1,1,1
NLGEGUYF,1,1,1
SRJHZSFD,1,1,1
DUAKPGPL,1,1,1
LGBHNPVQ,1,1,1
YJPDPGSI,1,1,1
GIRAMKCE,1,1,1
DMDCOKGA,1,1,1
TAGBYRZF,1,1,1
GKVPCYVZ,1,1,1
YJSWBYQD,1,1,1
EAEULMTS,1,1,1
GZWBKZAZ,1,1,1
LNGUHXLL,1,1,1
OBBRECBS,1,1,1
EPFXMNSF,1,1,1
OUYGEZIR,1,1,1
FIWNYDKV,1,1,1
BWWJWYXS,1,1,1
TAIRDKZC,1,1,1
OVPGKAMT,1,1,1
RDNQDEAT,1,1,1
SDZCKNPW,1,1,1
UOCJNCIW,1,1,1
PENUWUHF,1,1,1
LJGATRRE,1,1,1
JJDOHWJP,1,1,1
ZWGDRMEH,1,1,1
PQPKJQBV,1,1,1
JWWJTEYX,1,1,1
ADHTXVBU,1,1,1
DCFQCYFP,1,1,1
MDEEUEGQ,1,1,1
AOYFDLBB,1,1,1
HLNFRJNV,1,1,1
TEELWWRH,1,1,1
GGXFHUGN,1,1,1
VEZPNFKQ,1,1,1
LGHSSIGL,1,1,1
HFPBGTBP,1,1,1
HQEVAIZI,1,1,1
SSYNOZLD,1,1,1
LFMAXAUT,1,1,1
OXBYMKDY,1,1,1
UISILKYD,1,1,1
RGXUAMVE,1,1,1
HTMZYREF,1,1,1
QRFFZTSH,1,1,1
GLBZUZBY,1,1,1
PZZLFNED,1,1,1
KKTNDYAS,1,1,1
SXHVBGZA,1,1,1
KLPZUYGT,1,1,1
WEUIULJH,1,1,1
OCYIRHFI,1,1,1
VNUKKXEI,1,1,1
ERRMMHGW,1,1,1
XNIRCDGI,1,1,1
ORDGDNST,1,1,1
FNFEJSTU,1,1,1
AJYZZFKT,1,1,1
RVWHKVFV,1,1,1
XMYHFLAD,1,1,1
UMNJBQHG,1,1,1
FKPTTOCP,1,1,1
ZAVTYIVQ,1,1,1
IUWTJBAF,1,1,1
GNTGWFRZ,1,1,1
SEHTAFNK,1,1,1
VDSFVYKB,1,1,1
NFAVWVUB,1,1,1
CCWIOOCL,1,1,1
EWWVAJVH,1,1,1
TIDKTAOJ,1,1,1
XARLZHZM,1,1,1
JLMOPZOK,1,1,1
JMMQCHJA,1,1,1
VKUELDOV,1,1,1
HCTJFWYF,1,1,1
HBKIOQNQ,1,1,1
OFILSHUR,1,1,1
IXCWNDRU,1,1,1
CWDAGFRR,1,1,1
CPMFLOFM,1,1,1
MWWWZECU,1,1,1
ZFOZFXYZ,1,1,1
EWGTWDTL,1,1,1
GBKCMLIV,1,1,1
HJHIGCNP,1,1,1
FGGRVBQH,1,1,1
MCQYYWFQ,1,1,1
XGXRHFWI,1,1,1
IBTIDSSL,1,1,1
WECYWAJU,1,1,1
QCFKXRTB,1,1,1
DTCVQGKW,1,1,1
UJNOUPFX,1,1,1
VZCKRVZK,1,1,1
JOVUKMSI,1,1,1
YCJTSRRK,1,1,1
FQEHBBJA,1,1,1
BQEHMNFJ,1,1,1
