crew_id,BIQ,CDG,MLH,MPL,NCE,ORY
OPIJYRLQ,1,1,1,1,1,1
SYZCEACT,1,1,1,1,1,1
MMWNWUTR,1,1,1,1,1,1
WAANSAFZ,1,1,1,1,1,1
FJUDGNZE,1,1,1,1,1,1
GRIANKIB,1,1,1,1,1,1
WAGPDIJT,1,1,1,1,1,1
HBKFCZNG,1,1,1,1,1,1
YWHIDBLG,1,1,1,1,1,1
PKAHUYXC,1,1,1,1,1,1
YAPCRADH,1,1,1,1,1,1
PZOQICME,1,1,1,1,1,1
UEJEGSSF,1,1,1,1,1,1
YWQZNEFP,1,1,1,1,1,1
AUVCKYMR,1,1,1,1,1,1
VKNJDYFU,1,1,1,1,1,1
GHXGQSYV,1,1,1,1,1,1
WJURSYXE,1,1,1,1,1,1
IRDRHHBQ,1,1,1,1,1,1
DOCLCXJA,1,1,1,1,1,1
KIRRHGGO,1,1,1,1,1,1
SVCELGFP,1,1,1,1,1,1
FJIQKMPQ,1,1,1,1,1,1
CLKXKHDK,1,1,1,1,1,1
EMBFNLIT,1,1,1,1,1,1
EQFSIPMI,1,1,1,1,1,1
MZQFQFMP,1,1,1,1,1,1
EQBWZBNQ,1,1,1,1,1,1
FLNUMLWB,1,1,1,1,1,1
XNTMSKBS,1,1,1,1,1,1
RJRFZUUF,1,1,1,1,1,1
LKVNKQTP,1,1,1,1,1,1
ICUZVFIB,1,1,1,1,1,1
RGCULIEY,1,1,1,1,1,1
EGIUCGGC,1,1,1,1,1,1
SYBEHLHU,1,1,1,1,1,1
DGDZMHCX,1,1,1,1,1,1
LZKZPNPJ,1,1,1,1,1,1
BVGXWJJI,1,1,1,1,1,1
LIBDZENV,1,1,1,1,1,1
YOZDQJRT,1,1,1,1,1,1
SMNGQNNB,1,1,1,1,1,1
TQWTZXCY,1,1,1,1,1,1
JKSVWFKV,1,1,1,1,1,1
BJJBHOCN,1,1,1,1,1,1
ZJBCIORZ,1,1,1,1,1,1
MWCLGMZL,1,1,1,1,1,1
IIIFSMTV,1,1,1,1,1,1
ZNJPTGNW,1,1,1,1,1,1
FVKCNXOX,1,1,1,1,1,1
YPVIDIUQ,1,1,1,1,1,1
BLAZZPBF,1,1,1,1,1,1
RFKMRNDA,1,1,1,1,1,1
HZEIQBTA,1,1,1,1,1,1
JLWKIHSY,1,1,1,1,1,1
SZSWOOTQ,1,1,1,1,1,1
OWGQFXXY,1,1,1,1,1,1
NUPVOSSH,1,1,1,1,1,1
OGHUWDZL,1,1,1,1,1,1
JXYQQNCK,1,1,1,1,1,1
OVHCUFFC,1,1,1,1,1,1
MOMUJEWB,1,1,1,1,1,1
SNFRSPKT,1,1,1,1,1,1
MLHCXBSU,1,1,1,1,1,1
DCMXZFZD,1,1,1,1,1,1
EBKTMJBR,1,1,1,1,1,1
EYXPZKZA,1,1,1,1,1,1
WGONYJTL,1,1,1,1,1,1
JOMUVSMU,1,1,1,1,1,1
UCBTAEVP,1,1,1,1,1,1
YURUCHJJ,1,1,1,1,1,1
JZIFVBDZ,1,1,1,1,1,1
NLUMKGQH,1,1,1,1,1,1
CRLJPVUE,1,1,1,1,1,1
BLEXNNGI,1,1,1,1,1,1
CREVJMZP,1,1,1,1,1,1
ELVYVNTO,1,1,1,1,1,1
LSSUWUJH,1,1,1,1,1,1
KYARJJLV,1,1,1,1,1,1
OUUVQGDL,1,1,1,1,1,1
IDXOBCCO,1,1,1,1,1,1
LTOACRKV,1,1,1,1,1,1
EWGVGRMB,1,1,1,1,1,1
ONHSAJIO,1,1,1,1,1,1
ZWHTHXBX,1,1,1,1,1,1
QJQBVITI,1,1,1,1,1,1
RGEEQVOA,1,1,1,1,1,1
VEBYMPHL,1,1,1,1,1,1
LXLXXQJH,1,1,1,1,1,1
MSUXXIOG,1,1,1,1,1,1
GRQUFGDY,1,1,1,1,1,1
BISYEREO,1,1,1,1,1,1
LHZOIAZB,1,1,1,1,1,1
JEGPJVLH,1,1,1,1,1,1
VBMBIVWV,1,1,1,1,1,1
DSXDIVXG,1,1,1,1,1,1
LDCSDECO,1,1,1,1,1,1
SQYBQXXT,1,1,1,1,1,1
AZRQFASD,1,1,1,1,1,1
ZFYVDTWG,1,1,1,1,1,1
EPFKPWTG,1,1,1,1,1,1
YULWDNTH,1,1,1,1,1,1
SSMNDRCD,1,1,1,1,1,1
IXDMOLGJ,1,1,1,1,1,1
JJXVGYIY,1,1,1,1,1,1
YHSRQMLA,1,1,1,1,1,1
EBJIPUPP,1,1,1,1,1,1
DYMMSZKT,1,1,1,1,1,1
FSSOOGUE,1,1,1,1,1,1
ZYSUMSWS,1,1,1,1,1,1
QZTTGMBW,1,1,1,1,1,1
CYQESPIN,1,1,1,1,1,1
VLYTWOIQ,1,1,1,1,1,1
HLIGXOVX,1,1,1,1,1,1
JLNJMJWL,1,1,1,1,1,1
IQNGJXLO,1,1,1,1,1,1
HHXVRDIM,1,1,1,1,1,1
DDTJYHVT,1,1,1,1,1,1
UEMFCIII,1,1,1,1,1,1
FGISFYIT,1,1,1,1,1,1
MEXOFDRD,1,1,1,1,1,1
JDAHTWOH,1,1,1,1,1,1
ENRYERKF,1,1,1,1,1,1
HDAEDMMA,1,1,1,1,1,1
UQSBXBNE,1,1,1,1,1,1
IVWVKRDI,1,1,1,1,1,1
DPVJAJVR,1,1,1,1,1,1
BJOZLZMV,1,1,1,1,1,1
AZDEMFEH,1,1,1,1,1,1
FWNBVZXD,1,1,1,1,1,1
JEUTUOYL,1,1,1,1,1,1
MVWUPJFH,1,1,1,1,1,1
CNBJVYXU,1,1,1,1,1,1
SMLFSMIE,1,1,1,1,1,1
YWVERFXC,1,1,1,1,1,1
GVPDACQA,1,1,1,1,1,1
YMRNMZMM,1,1,1,1,1,1
YKZYQNMN,1,1,1,1,1,1
PIBXFXEL,1,1,1,1,1,1
SCNDPWQG,1,1,1,1,1,1
BZSKEIRE,1,1,1,1,1,1
VZWRDPIE,1,1,1,1,1,1
POMTUXFN,1,1,1,1,1,1
FSTJOXBZ,1,1,1,1,1,1
TYGQDHXQ,1,1,1,1,1,1
QYEYHPCP,1,1,1,1,1,1
EKFXNTIO,1,1,1,1,1,1
KUTBEAOB,1,1,1,1,1,1
GEKVGERC,1,1,1,1,1,1
ZYGSUROL,1,1,1,1,1,1
AOYTJYQU,1,1,1,1,1,1
QQPUTCER,1,1,1,1,1,1
HJFVZZRE,1,1,1,1,1,1
WHLMULPE,1,1,1,1,1,1
AQCAZHRT,1,1,1,1,1,1
TLRGZLDH,1,1,1,1,1,1
NUONBROD,1,1,1,1,1,1
POGPAICH,1,1,1,1,1,1
JYTJUHIP,1,1,1,1,1,1
EGEENCGV,1,1,1,1,1,1
EOKLWAGR,1,1,1,1,1,1
PNRFYVDO,1,1,1,1,1,1
LXISUUFZ,1,1,1,1,1,1
RAJPFHGJ,1,1,1,1,1,1
XXZDWTRA,1,1,1,1,1,1
JKLZHOVA,1,1,1,1,1,1
SCSXNMKB,1,1,1,1,1,1
ETMSDZJF,1,1,1,1,1,1
FKFXTVRU,1,1,1,1,1,1
VSPIRCLH,1,1,1,1,1,1
DQFGZPQZ,1,1,1,1,1,1
CFNUZMRP,1,1,1,1,1,1
OFXTVGJK,1,1,1,1,1,1
NEYJLVLY,1,1,1,1,1,1
HZHDOGAM,1,1,1,1,1,1
GLVWZHTJ,1,1,1,1,1,1
LENNIXPF,1,1,1,1,1,1
XZICJGLF,1,1,1,1,1,1
VAFLUKVC,1,1,1,1,1,1
JPCLKGXF,1,1,1,1,1,1
RGVEZGWR,1,1,1,1,1,1
HYNDPMWU,1,1,1,1,1,1
ZRTMBLQN,1,1,1,1,1,1
HGLFHFYJ,1,1,1,1,1,1
RFXLNHDK,1,1,1,1,1,1
DYSHBYYL,1,1,1,1,1,1
XCCASUMR,1,1,1,1,1,1
CPQOACVH,1,1,1,1,1,1
OTBJUJQO,1,1,1,1,1,1
ZAYYSVQK,1,1,1,1,1,1
BQHVAOXH,1,1,1,1,1,1
VLIBOWWH,1,1,1,1,1,1
WLOJGNPW,1,1,1,1,1,1
NFNWNXBR,1,1,1,1,1,1
IFBPDWEX,1,1,1,1,1,1
SRPYYSHR,1,1,1,1,1,1
ZHKBNAPN,1,1,1,1,1,1
GRKZSJJQ,1,1,1,1,1,1
JIZAOEJG,1,1,1,1,1,1
NWZBSFVY,1,1,1,1,1,1
LZBLYDPA,1,1,1,1,1,1
DXYMCZBK,1,1,1,1,1,1
DZMRADJS,1,1,1,1,1,1
ISBRZMGH,1,1,1,1,1,1
GGHMCDWL,1,1,1,1,1,1
GGTABYGG,1,1,1,1,1,1
KZRMWNIQ,1,1,1,1,1,1
GIIGRYWH,1,1,1,1,1,1
XYORFAPD,1,1,1,1,1,1
KSHQWKIL,1,1,1,1,1,1
LSLBEDUW,1,1,1,1,1,1
CBKPMNIJ,1,1,1,1,1,1
GZRYGLWN,1,1,1,1,1,1
OXEDRJJJ,1,1,1,1,1,1
AEJIKJRZ,1,1,1,1,1,1
CPPQOZIY,1,1,1,1,1,1
RZBEKRCX,1,1,1,1,1,1
RTYJATGM,1,1,1,1,1,1
RGGNSDAZ,1,1,1,1,1,1
HALBUTDJ,1,1,1,1,1,1
BHEOTDGH,1,1,1,1,1,1
IXINXSGD,1,1,1,1,1,1
HZQJDUUL,1,1,1,1,1,1
PQESCSHK,1,1,1,1,1,1
NSDQRUBB,1,1,1,1,1,1
XKLISNEW,1,1,1,1,1,1
GZDACACW,1,1,1,1,1,1
HSDJTBZS,1,1,1,1,1,1
EPUAWVOS,1,1,1,1,1,1
FNLYVCAU,1,1,1,1,1,1
JQDVBAPC,1,1,1,1,1,1
XMUQKCCU,1,1,1,1,1,1
RBKNEHQS,1,1,1,1,1,1
KXKXVPZV,1,1,1,1,1,1
WJDINMRU,1,1,1,1,1,1
CLRZUYTV,1,1,1,1,1,1
LZBESEEK,1,1,1,1,1,1
SQZHXCBT,1,1,1,1,1,1
PAJDGQLQ,1,1,1,1,1,1
TAWCAQBG,1,1,1,1,1,1
ZAHIIGJJ,1,1,1,1,1,1
LKKJIEKB,1,1,1,1,1,1
XEJYOKTD,1,1,1,1,1,1
YRHWBSUG,1,1,1,1,1,1
HGPWAZHM,1,1,1,1,1,1
LOHMAOHA,1,1,1,1,1,1
RGEWUYDC,1,1,1,1,1,1
YISVEYKY,1,1,1,1,1,1
PIKNWJHI,1,1,1,1,1,1
GKNDYUZX,1,1,1,1,1,1
TCIJTFVC,1,1,1,1,1,1
LUJALVFF,1,1,1,1,1,1
ANTPKQDV,1,1,1,1,1,1
WJXVHTWJ,1,1,1,1,1,1
JCDPTSKJ,1,1,1,1,1,1
VRUHZZVC,1,1,1,1,1,1
VNYMTYJU,1,1,1,1,1,1
UBWIRFMT,1,1,1,1,1,1
QYYXLKHS,1,1,1,1,1,1
BYJWNYXW,1,1,1,1,1,1
BKNGLJNW,1,1,1,1,1,1
IJSGQCFY,1,1,1,1,1,1
JMGWXVBR,1,1,1,1,1,1
YXFLLWEB,1,1,1,1,1,1
FOCFQTIL,1,1,1,1,1,1
IFUXYJIH,1,1,1,1,1,1
XVNFGGLY,1,1,1,1,1,1
BZCXCJXC,1,1,1,1,1,1
PLMCAOVD,1,1,1,1,1,1
KKVCZNXT,1,1,1,1,1,1
MFLDDLLD,1,1,1,1,1,1
OUUWOMYM,1,1,1,1,1,1
NUKKMBVF,1,1,1,1,1,1
CWJCYVZQ,1,1,1,1,1,1
FRXPUVJM,1,1,1,1,1,1
GRUVRYDP,1,1,1,1,1,1
CTRTMQXO,1,1,1,1,1,1
IANHPATG,1,1,1,1,1,1
KXLCQOFC,1,1,1,1,1,1
QSASHZCB,1,1,1,1,1,1
QPRAVAIN,1,1,1,1,1,1
YSKMIBWK,1,1,1,1,1,1
WQYYMBBG,1,1,1,1,1,1
ZGBYPEAZ,1,1,1,1,1,1
AWGNUSHO,1,1,1,1,1,1
QVGUIPLW,1,1,1,1,1,1
GEDTDGSL,1,1,1,1,1,1
XWIBDYNL,1,1,1,1,1,1
KKJSVYCX,1,1,1,1,1,1
LYFSGWHP,1,1,1,1,1,1
UUHKYOKD,1,1,1,1,1,1
FNBEOLTP,1,1,1,1,1,1
QTVWKAFX,1,1,1,1,1,1
POHEOBDN,1,1,1,1,1,1
GAFHVTIB,1,1,1,1,1,1
BOVPGVWE,1,1,1,1,1,1
FRJNECCJ,1,1,1,1,1,1
GUVPECXK,1,1,1,1,1,1
CMDXNLQF,1,1,1,1,1,1
BFLREIWE,1,1,1,1,1,1
AFLOGINT,1,1,1,1,1,1
SNHVAYUE,1,1,1,1,1,1
ZUBCCGPC,1,1,1,1,1,1
RYDQEUHV,1,1,1,1,1,1
CMCCRAHY,1,1,1,1,1,1
XJXYCVEY,1,1,1,1,1,1
ZAQTNLXX,1,1,1,1,1,1
RLGSFRWN,1,1,1,1,1,1
WCZZIYQH,1,1,1,1,1,1
TOBPRGBY,1,1,1,1,1,1
ZCECRLDK,1,1,1,1,1,1
VWOJQXPK,1,1,1,1,1,1
LRZMKHNX,1,1,1,1,1,1
ENZPTNYF,1,1,1,1,1,1
MIXBHGJD,1,1,1,1,1,1
AYBOZXZU,1,1,1,1,1,1
GZCKJMSF,1,1,1,1,1,1
KGCQVKPX,1,1,1,1,1,1
ZHWEHYND,1,1,1,1,1,1
WWNBNJFD,1,1,1,1,1,1
PBUPSUZI,1,1,1,1,1,1
RDLTAMMT,1,1,1,1,1,1
JBOBTIGE,1,1,1,1,1,1
XHTLWZID,1,1,1,1,1,1
JPDUKJLI,1,1,1,1,1,1
QNZPFEWU,1,1,1,1,1,1
BGIRTTCQ,1,1,1,1,1,1
HWSICRAN,1,1,1,1,1,1
USITUNQA,1,1,1,1,1,1
JEXESFWR,1,1,1,1,1,1
NPOMWUOB,1,1,1,1,1,1
ULBZFUSS,1,1,1,1,1,1
JUKQXRQV,1,1,1,1,1,1
MNYNMQFW,1,1,1,1,1,1
DPCLANNA,1,1,1,1,1,1
VFPFCEEQ,1,1,1,1,1,1
MGYYCQIV,1,1,1,1,1,1
OOAHBJFT,1,1,1,1,1,1
LCCMAWBM,1,1,1,1,1,1
ZVXGTGOZ,1,1,1,1,1,1
TQSPHIKS,1,1,1,1,1,1
XJHXOCTH,1,1,1,1,1,1
VSGWSULJ,1,1,1,1,1,1
OWCEACJH,1,1,1,1,1,1
RQPVRASN,1,1,1,1,1,1
OAWDPQFL,1,1,1,1,1,1
HJJLGIKS,1,1,1,1,1,1
JTFUVASC,1,1,1,1,1,1
RFKULNCQ,1,1,1,1,1,1
VXYCLEQU,1,1,1,1,1,1
PPONCFTM,1,1,1,1,1,1
AAAXMXVD,1,1,1,1,1,1
NWRMHZZI,1,1,1,1,1,1
BBZKGTBQ,1,1,1,1,1,1
AVATLHGK,1,1,1,1,1,1
EVHJCHKJ,1,1,1,1,1,1
XGMCOYAJ,1,1,1,1,1,1
YQWHNVRK,1,1,1,1,1,1
OHIZXHVU,1,1,1,1,1,1
VYUFGMWN,1,1,1,1,1,1
ODOSHKMU,1,1,1,1,1,1
MGIEQGUE,1,1,1,1,1,1
NZYTNQZP,1,1,1,1,1,1
BMYRHHVX,1,1,1,1,1,1
GTATLRGO,1,1,1,1,1,1
EZHDYVJZ,1,1,1,1,1,1
BDKQTVXI,1,1,1,1,1,1
CQJOZSJC,1,1,1,1,1,1
XXRVPOTM,1,1,1,1,1,1
TXPPHMTA,1,1,1,1,1,1
HVQVSLKS,1,1,1,1,1,1
JCLHAZNL,1,1,1,1,1,1
NMCAGVHU,1,1,1,1,1,1
CHQQZLPQ,1,1,1,1,1,1
NEHTTPSU,1,1,1,1,1,1
MNAGZTGF,1,1,1,1,1,1
UIAHIFLT,1,1,1,1,1,1
CWZZGFIY,1,1,1,1,1,1
CNASNBIB,1,1,1,1,1,1
PFKOHNWT,1,1,1,1,1,1
FQVHXCUE,1,1,1,1,1,1
AETTIWMM,1,1,1,1,1,1
RWHUJIHL,1,1,1,1,1,1
OQAIIBVM,1,1,1,1,1,1
IYGIAPVK,1,1,1,1,1,1
YDXOEBLT,1,1,1,1,1,1
DIQRRXQC,1,1,1,1,1,1
BXYLEOEG,1,1,1,1,1,1
BIBPXZHA,1,1,1,1,1,1
EPFTZPXM,1,1,1,1,1,1
HJGKQIOJ,1,1,1,1,1,1
GOPKIMJL,1,1,1,1,1,1
GRAGAFUK,1,1,1,1,1,1
YXIJONXF,1,1,1,1,1,1
DIMCABRQ,1,1,1,1,1,1
FORPXDJC,1,1,1,1,1,1
EQDIMERJ,1,1,1,1,1,1
IVXGSLPO,1,1,1,1,1,1
HJXRVHSW,1,1,1,1,1,1
JDWTRURL,1,1,1,1,1,1
ZSVWSKTG,1,1,1,1,1,1
QJJIMMJU,1,1,1,1,1,1
ALKCQNAT,1,1,1,1,1,1
IWFHYTZG,1,1,1,1,1,1
CIZUXKQO,1,1,1,1,1,1
HWMNWHHC,1,1,1,1,1,1
MFBJOXWC,1,1,1,1,1,1
DSAMDGRE,1,1,1,1,1,1
RCRUBHEY,1,1,1,1,1,1
XNQWJSQE,1,1,1,1,1,1
ZJBOXBDD,1,1,1,1,1,1
QDQGWRAB,1,1,1,1,1,1
RCJZCVRN,1,1,1,1,1,1
NDGGKVTS,1,1,1,1,1,1
LCTDQHSQ,1,1,1,1,1,1
HSNVGWPP,1,1,1,1,1,1
SFGTGUGM,1,1,1,1,1,1
KXHBVYQR,1,1,1,1,1,1
FBLCMBUX,1,1,1,1,1,1
ZRJXQMBC,1,1,1,1,1,1
