crew_id,BIQ,NCE
DMZPWXRX,1,1
AJZVLFAW,1,1
MUVGRZZU,1,1
YWHPMGGT,1,1
CAQXYGDW,1,1
PQCOLIYX,1,1
WCHFJPOV,1,1
NGTMZKTR,1,1
OGQCHNHS,1,1
CGSGELSY,1,1
REEMUIRG,1,1
KXSAUFSQ,1,1
UCEOTHAX,1,1
VYMPQPED,1,1
YQVOXHGT,1,1
NYXQJCTE,1,1
GPNEIBRE,1,1
HJAUXNUF,1,1
NFQDDNQU,1,1
RGTKTAPJ,1,1
ROSGVAMA,1,1
ITRRQWMP,1,1
RCWMTEWA,1,1
OVKZAVGR,1,1
CSPFKLCQ,1,1
EQINMKIP,1,1
CYFYNKEQ,1,1
ATXUTLWO,1,1
TMENVETZ,1,1
LPXLWVVK,1,1
DHWCWUDW,1,1
YHFRTVDF,1,1
ILKFSKYX,1,1
HDJKMBMF,1,1
LACPXZHC,1,1
VWUXJWKE,1,1
BAKBKQDG,1,1
YIYKJCFU,1,1
PSZQXXVU,1,1
SGQUMXPO,1,1
KFNHXHPK,1,1
XTBBIVXR,1,1
RHCRQZTK,1,1
HJTJHKMF,1,1
NNBSGZUK,1,1
EKACWTWT,1,1
EDJXCTCS,1,1
EYKZLUKS,1,1
PFSKPIPQ,1,1
VIUHAYFX,1,1
TXFVSSNF,1,1
ORNEWAVZ,1,1
YEAGFNCI,1,1
HIQKSUEH,1,1
ZRGIPDGV,1,1
GZJGUJMQ,1,1
KWQLLFED,1,1
QIVNVOES,1,1
TMZPOKXG,1,1
ESAKRZKB,1,1
RYELFCND,1,1
HHTMFGJA,1,1
VBUMCEES,1,1
AHGRNGGM,1,1
CRAQQKYD,1,1
NLQKHRGR,1,1
SQAFFMKZ,1,1
ZYSWUPFI,1,1
QVZAONFV,1,1
YEXFIJWX,1,1
VVBCDWNE,1,1
TAUBLEEA,1,1
DJSUDTUN,1,1
FHJWZCAF,1,1
OBUZRLTL,1,1
MGLAPZGP,1,1
CYSRLLPB,1,1
VXNKROWD,1,1
VCXEYFIH,1,1
YYKKBYYN,1,1
TVPPYUWG,1,1
CWQYGBCW,1,1
FDYKAUNY,1,1
CCYVDDUO,1,1
DSOJBXFA,1,1
ZWCPFSLB,1,1
FLNUOSCY,1,1
BRGAZMGM,1,1
SCLBGQOO,1,1
FAYTHNKY,1,1
MNKBFWPS,1,1
ZAGCXLKE,1,1
VNKFLVJO,1,1
LWITJERH,1,1
VKDGONQK,1,1
URMKJZNZ,1,1
CZAWYKUQ,1,1
TKKATGVJ,1,1
TYMUPMSM,1,1
SZELONSE,1,1
NEUEVHPY,1,1
KLVOKPQM,1,1
FPBXWUYD,1,1
SZRUUDVH,1,1
TVVYGNLY,1,1
JWMYPCLI,1,1
ENSNLHNL,1,1
FCRCRHVB,1,1
KLXZSQDZ,1,1
DYYEWHBI,1,1
RDTUTYZT,1,1
CMDMRXDJ,1,1
CRALAHOI,1,1
MSGXJWTW,1,1
SNYJYRIJ,1,1
HADQPMGR,1,1
MLFDFSDK,1,1
FGHZJSOQ,1,1
ZCZQBSPC,1,1
LUQVTRLV,1,1
IMNQGHMN,1,1
OTAVGLRC,1,1
PVYBXLQE,1,1
YLKWAQGO,1,1
EDHCUBWM,1,1
XCPKMIGW,1,1
GQEYMHDF,1,1
IWAULLUD,1,1
FOVLLMKK,1,1
MVUKBRLT,1,1
GVQKFDGK,1,1
CJSVGXTV,1,1
HYCSRHCA,1,1
WTXHVYGL,1,1
GMXBLLTJ,1,1
EUPVJZZQ,1,1
HDVCMGBI,1,1
PVEGTCLH,1,1
TFIMCSJV,1,1
VKATIHNT,1,1
LVTDWDAK,1,1
VQOQBCJI,1,1
XEROBLPV,1,1
RAZMYXXP,1,1
GFMZHAOY,1,1
MNTSTPOC,1,1
KCUGIQCW,1,1
GLUCFGAM,1,1
CQXEWAGT,1,1
BWETBRIV,1,1
TNBTQVDA,1,1
BDLYDTDQ,1,1
VTQOCHLH,1,1
PRMTAGXZ,1,1
RZBUDZPX,1,1
SYODJHKR,1,1
HOPQDOOV,1,1
WWTPCRUN,1,1
SPLVUBXG,1,1
AVBHGSOZ,1,1
IAMJDSLH,1,1
UMTGOIJD,1,1
PQFMMXUQ,1,1
LPGPDUJQ,1,1
DAZQADRS,1,1
FEOLZVRP,1,1
QANPKTRE,1,1
GHCCIOCB,1,1
KXDEQXNJ,1,1
RZUZRVLK,1,1
JTYPKEPO,1,1
SGNJUVPC,1,1
FPQEKSRQ,1,1
KUBRFEEZ,1,1
UXVVXUUG,1,1
SZGZVFTN,1,1
HJZRSMOA,1,1
PXMONYQW,1,1
SHNLXJIP,1,1
UDZRRJWK,1,1
DNYUGMQZ,1,1
JNUWIAPC,1,1
VGSGKQMD,1,1
QGERSTWN,1,1
EHQESEUD,1,1
HADWHDOM,1,1
YLQCGTWQ,1,1
XAZFIJBY,1,1
BXWLPAGW,1,1
IUXGLVEX,1,1
FXEVBAMP,1,1
SBIFVFYB,1,1
WAIFIKLW,1,1
VHFSJWVS,1,1
ASIYSGFG,1,1
EXYCPHWB,1,1
NDYPFRCG,1,1
RXCYBMJG,1,1
CLYHVRLG,1,1
CLEABQWR,1,1
SJMPDWNF,1,1
OKAWCMXB,1,1
TDXUQMME,1,1
VVZPGVEZ,1,1
RKOYCATY,1,1
TVGSQWFF,1,1
FGKVHQOM,1,1
UEZRNVGL,1,1
RZFFXLXD,1,1
CAUWZNGL,1,1
CBMJEDKM,1,1
FUGQSKYN,1,1
UGVGICFL,1,1
ZSBFREJE,1,1
NRDNNIRE,1,1
TMGGMOIO,1,1
FZAQOBGW,1,1
GHMIGJHA,1,1
FNCKEBGI,1,1
ZOYPTFUC,1,1
AEDXPHOG,1,1
ZJZSGNNC,1,1
DTBCFEPC,1,1
ONGVIKIQ,1,1
MBYPVEWH,1,1
GJHIXDPE,1,1
ZYLFQUPF,1,1
LVCGKZYU,1,1
HUPBIEVU,1,1
XAKWMYRG,1,1
TXTRZTRO,1,1
YDIUDWBB,1,1
WKQCUJXJ,1,1
UWGSMUSY,1,1
UAYXFQJQ,1,1
ZXTDZQQE,1,1
APEQSHEM,1,1
NUPZJQKV,1,1
WBFPZKJU,1,1
TSZNKMYI,1,1
MTIAWNHC,1,1
ALGFOQLU,1,1
ALKRTNJT,1,1
ASSHVUXJ,1,1
UKCHMNJO,1,1
POKIWNNV,1,1
BNRMTFWB,1,1
JIQJDUSC,1,1
WPIAESNJ,1,1
MUTQJTZU,1,1
GLINYFIW,1,1
ZFIFEOCV,1,1
WRZOAEFK,1,1
VIGFRNBX,1,1
ZILFVKUH,1,1
WLSRUHFS,1,1
PQZBABOC,1,1
IYQCPRAU,1,1
PYNGPRKF,1,1
HTNKDBPJ,1,1
MZVXELEO,1,1
PUXPRPPN,1,1
MTACHPAS,1,1
JUIOZGVG,1,1
XCTAZYIA,1,1
BHAKGVOP,1,1
LPWOBXDG,1,1
DIUXCFIK,1,1
TAKCXEMY,1,1
VIFFOFAL,1,1
ULVDKURY,1,1
AXAACWUH,1,1
PHAWVQAF,1,1
YBKFCQFC,1,1
GWSKMSOT,1,1
BJOQJUCT,1,1
IYQAUJHN,1,1
KBFAGEEI,1,1
IRBRLUBK,1,1
OJHYWZUB,1,1
JPTJBWZM,1,1
OANIKKXX,1,1
SQEXHUFO,1,1
LKDBXFTI,1,1
LEKETQVJ,1,1
FOVMWOWI,1,1
WCPMHMMJ,1,1
UNVNLTWK,1,1
EADKTHOR,1,1
JFDSOYMQ,1,1
NZIXJRCX,1,1
RXRSWRNG,1,1
SLWZZTGX,1,1
QEDGTVHG,1,1
IZUHXGNW,1,1
HZJXEGBF,1,1
GSQOGBVW,1,1
WMGXYAKB,1,1
NDYFHUTY,1,1
RGULMBUI,1,1
JNDUZBXR,1,1
IJWTJWBG,1,1
RQWPIMBN,1,1
JKELWNQA,1,1
NGNJBPXO,1,1
WODIDQMK,1,1
SNCLDBMV,1,1
VMVUPWFH,1,1
AJGQQXAP,1,1
FCXGIDYU,1,1
RTSTMVYE,1,1
JWPAZVCB,1,1
KMJENCID,1,1
YWTOCGPA,1,1
QLKEXZSL,1,1
BONAIEZN,1,1
PGLMMRQU,1,1
QLCDNMIF,1,1
AXAZNJZI,1,1
DVTKNQKO,1,1
WVIPBENE,1,1
NKLVSDTC,1,1
PCTRWDUV,1,1
WJYEEEYD,1,1
VPNDNUNC,1,1
PLKKPYBM,1,1
RDOQWLMZ,1,1
TMQXEIPJ,1,1
NSDWZPOE,1,1
HRWKUDSA,1,1
SPYMTTFC,1,1
KZVUGQXY,1,1
KJOAWOQG,1,1
WMNICADZ,1,1
BDXRQVBL,1,1
OXFTEHGY,1,1
MGVWOWSO,1,1
QTNFVCRR,1,1
QLFRQAZQ,1,1
WKLIGYEZ,1,1
HTWIZOOJ,1,1
PLHUEILA,1,1
YXRQBMNU,1,1
GFOZRGVC,1,1
IUEYTBMU,1,1
PFJADVKX,1,1
LOMWIXMJ,1,1
YFPJMZZU,1,1
TSVMHTGE,1,1
RSPAHZPO,1,1
WJACBRYE,1,1
CNWPUJMA,1,1
YCBKKSDE,1,1
XAKNCUDK,1,1
AIKSNOHQ,1,1
EOMQREKL,1,1
CWUARXMH,1,1
GKDQGMMG,1,1
QGGSBLNA,1,1
KOBCJEMG,1,1
LAIFKVPM,1,1
PCLBJXTG,1,1
OQEKNTRW,1,1
DDMVLYKF,1,1
JECERUQU,1,1
OAOZKJYC,1,1
UPKSEOKW,1,1
IJTPPWZW,1,1
VWIGPNJJ,1,1
EAAHEYJV,1,1
VHKVUJHE,1,1
DXKAIRHI,1,1
YPNJTKXF,1,1
ELZNYJWE,1,1
ACYIIMLB,1,1
JBSETMMO,1,1
ZIAANYBU,1,1
PPHVJSLY,1,1
XDPYAKPC,1,1
TIRMEKVD,1,1
MSXDOIVL,1,1
IVSSBDES,1,1
VDFJVCKH,1,1
LLTIABCP,1,1
BPWSEHQR,1,1
IQDILPAC,1,1
IWXMNQXU,1,1
QWUFMACG,1,1
LUHXYAUA,1,1
XBBLDSIB,1,1
XAOBLMKH,1,1
WJYXJUUZ,1,1
CQLBNZQP,1,1
OLHEGHGJ,1,1
AMAPOSET,1,1
QCAWPJXN,1,1
GGRPUFSD,1,1
QKPVDKNQ,1,1
VZVUXWDL,1,1
NPLBYBPI,1,1
CQAJUPDT,1,1
NMDQJJSU,1,1
WPNGZXGF,1,1
UXSXXITK,1,1
XIKBIARB,1,1
FZGIARJA,1,1
XGPHFDUW,1,1
GZKEKHQY,1,1
FIZOHGDW,1,1
TYHHEHVL,1,1
QRXBJSUC,1,1
UCCPQUYT,1,1
HDWXQVJF,1,1
NFWEDYZY,1,1
YKXQBQKH,1,1
STONRDAA,1,1
XSJCLXGA,1,1
FZPCBEUZ,1,1
XLZHYDXW,1,1
INPLQITT,1,1
GYMPRSUN,1,1
JSUXNGHD,1,1
XWQZSHFU,1,1
HQWKLMYF,1,1
TYTFEMGA,1,1
EOJRQIOH,1,1
HPJKRENG,1,1
FYRVKYXF,1,1
YDUVMSGK,1,1
DNEJXGSI,1,1
DVOUZBRW,1,1
STMUBVHK,1,1
UEUGPDTG,1,1
HAUECLOI,1,1
ABQEHPSI,1,1
NHOURZHD,1,1
SHYOJCXF,1,1
IXSHBAYY,1,1
PYDSMFJF,1,1
XISFXAYE,1,1
WPSIXSLS,1,1
KJPOBDJM,1,1
OCZZXJPR,1,1
JPBDGNDL,1,1
WSIARANJ,1,1
ADFVORBE,1,1
WQJREBSA,1,1
YXDABWMW,1,1
CIYAIHCJ,1,1
LFYGXRNV,1,1
VNSXJFCG,1,1
CDHFLNHA,1,1
OJFBBJEB,1,1
SAKLNJXF,1,1
OCPXHYQJ,1,1
SSMLSFAA,1,1
UKVHMMHU,1,1
LKYWMREL,1,1
CHYXEHFC,1,1
IFNUDXMN,1,1
WXBQJHUT,1,1
BZDETTSB,1,1
KVJYREZN,1,1
WDRSIEAJ,1,1
FKMLEJYZ,1,1
GLTQGPTL,1,1
RLFEDLJG,1,1
QUDIBVSM,1,1
TVTUCOSC,1,1
MPOEJUAR,1,1
GCERHIPS,1,1
USLRBBWQ,1,1
MMXOBRND,1,1
HVJLLVTW,1,1
YFGEKBCE,1,1
KPUAPFXQ,1,1
ASQHYHCP,1,1
KGJRFCTL,1,1
MKXMSFFU,1,1
PFMAUGTR,1,1
LEQCNZEM,1,1
JNXULFJB,1,1
BYOWXJCV,1,1
CHWLBSSG,1,1
POFBAZFQ,1,1
OUHULNAV,1,1
PVKBTBLO,1,1
FSAIPEVS,1,1
BEREAVIE,1,1
ZMAXKSIC,1,1
RIRCWRES,1,1
ULRYVQJZ,1,1
IZAPMTBR,1,1
AJYLPAPE,1,1
YQYMLXDD,1,1
RBRRBOSX,1,1
JQLUIWSO,1,1
NXUCEKDT,1,1
FTNDZFLJ,1,1
RQFEEHKP,1,1
JHGEXVSF,1,1
NFFZJWUS,1,1
JIGBLINR,1,1
SQJUEZNR,1,1
CPZGCLON,1,1
SSRWQMES,1,1
RKDCZHBR,1,1
QELPJTXK,1,1
XCMQVIJS,1,1
FEPELLQV,1,1
DBOZIHGG,1,1
QDXZKXMO,1,1
XFGVVEVR,1,1
PXCZNUNE,1,1
FDERAODE,1,1
HOKQUGWS,1,1
OOZROUAD,1,1
ASPNJPEE,1,1
MKNVVCJE,1,1
EGUUJUZS,1,1
VGKBEQYW,1,1
UKDZOCER,1,1
EDFUYLRR,1,1
LPNWZVCY,1,1
TOUFJANO,1,1
MZEHTQLS,1,1
URVSBSQV,1,1
QMUNOKMT,1,1
RVMZCHAT,1,1
CNKJDMXD,1,1
LLCGNZCE,1,1
EFKECXOF,1,1
LZTJNGFS,1,1
CKSQDMWV,1,1
GDYFBNKA,1,1
UMULXFCU,1,1
RIGVLNPZ,1,1
DYUZGPXH,1,1
VBTBOMZO,1,1
BIQIUBTI,1,1
KNWYIMNO,1,1
HQZJYLFA,1,1
XLJDDGDI,1,1
PORBWWMV,1,1
OVQXABPA,1,1
TQIOMJUZ,1,1
AZVXGJGH,1,1
BQCFADEZ,1,1
BCAVPYCN,1,1
NXCWHAVW,1,1
FBKTJVMM,1,1
SUWYEKCD,1,1
FGIYETSD,1,1
NHQCHOYE,1,1
GLKUJGTJ,1,1
KNIBDAFD,1,1
MKWMJFBV,1,1
MDZWHMIK,1,1
WEGESVCH,1,1
CJEBWASP,1,1
UYHSRCHS,1,1
WSHRMXDH,1,1
DITDDNSE,1,1
YOQEJYJP,1,1
IGLZDWNR,1,1
ZSDVETQG,1,1
IJAOLNHW,1,1
ZKVTFFZZ,1,1
CMHUEVEP,1,1
VDFDOLVW,1,1
YEOUJPMF,1,1
QODZKSBX,1,1
IOQTTXUG,1,1
JRNQBHNB,1,1
AWNSAYGS,1,1
CINZVZOC,1,1
PZZDNWID,1,1
NNTOVDUC,1,1
ITCUUSWA,1,1
GLKQSPIX,1,1
PXTQOXSD,1,1
IQJNTGMP,1,1
YACPUQBO,1,1
IHTXJJCS,1,1
IETZPXMO,1,1
EHYJGHTM,1,1
LJBAMHVP,1,1
CYCBMRMB,1,1
DSYCROJK,1,1
MWAQIPAY,1,1
AMTJVRNX,1,1
FCYLZOGP,1,1
MCDWESEN,1,1
AKOYBRFR,1,1
MUHLZFYA,1,1
SDHAFSEA,1,1
BEJIWGSW,1,1
MTQQKKFD,1,1
HUZKZINW,1,1
PDIKPYMU,1,1
FNJPEPVY,1,1
ZCGXIEQC,1,1
NGOWHMQT,1,1
GXXXNWUY,1,1
JGADDXEJ,1,1
NNPSQKAP,1,1
PUPGHWEJ,1,1
LAMZXJSE,1,1
PRFYWYLQ,1,1
MGCGXBRC,1,1
YGRSDAKC,1,1
YHLZSLIK,1,1
NBVQCPJJ,1,1
DYTYATSK,1,1
WHYVFHDC,1,1
GHRCQUZY,1,1
LLWCWKBR,1,1
LZLPPIAF,1,1
OEEQQDMN,1,1
OOFMQEPJ,1,1
HPTSPBBR,1,1
DQWUTCUG,1,1
MQKIUBLY,1,1
DJBGKOFR,1,1
YABAOELB,1,1
DGMOBXSX,1,1
UCGNQUVN,1,1
XZBLEBVU,1,1
MCWUPEUU,1,1
GUDHGXVW,1,1
OQXRAWSR,1,1
DUKNZJCX,1,1
DFILPGBR,1,1
TUSVGAJQ,1,1
LSLQGJCU,1,1
RKXXAIZK,1,1
WRNBYWJV,1,1
UHTKZLOF,1,1
AIHEFSSN,1,1
FXDWFHSY,1,1
OWUNJIJR,1,1
IJIIOQRR,1,1
LDWALLPR,1,1
CQLDHTTK,1,1
QLYEHUDL,1,1
NFFVRVQG,1,1
GSEOIPET,1,1
WADOGPAM,1,1
XSVHHFFU,1,1
MWRROERD,1,1
EVYZZYVO,1,1
VMXJBUPC,1,1
OBFDSHXY,1,1
PKYPFLKA,1,1
NXOPFUEN,1,1
JAJCJURT,1,1
OLYSPMQW,1,1
NEKXNOWL,1,1
GGWXZLAZ,1,1
HLQGZBWH,1,1
NXHBMZAV,1,1
AXPRMFBH,1,1
WDZJJCJZ,1,1
HELZSOKG,1,1
BBZXYNAA,1,1
EXGGEYHJ,1,1
BSPSEKMF,1,1
IGHPSFBK,1,1
LJPLZAMC,1,1
NPFMZFFH,1,1
YMKXJBNM,1,1
SHFGKISF,1,1
CMOPOXOF,1,1
UWMYASLQ,1,1
MLNZFPKF,1,1
BYTPILSB,1,1
DZNAQOCH,1,1
