crew_id,AMS,RDZ,RNS
FKMEMRYB,1,1,1
MUVYDXNZ,1,1,1
ERGGPRXQ,1,1,1
POGTHWRT,1,1,1
WVJVJGCA,1,1,1
BJAAVVJF,1,1,1
GDMGHISQ,1,1,1
PEJOSIFT,1,1,1
CWCWQQQQ,1,1,1
WNDJDKGS,1,1,1
CONNSBEE,1,1,1
XHXPXNUK,1,1,1
GDOLAQIZ,1,1,1
IUOWLBGU,1,1,1
XXYQCYMG,1,1,1
OAYEKFAT,1,1,1
YJLFUOXO,1,1,1
WSLSMIOF,1,1,1
JMVQTOUC,1,1,1
UBRAQEPM,1,1,1
JNECXOKC,1,1,1
TQBIGSEF,1,1,1
CNQXQZDW,1,1,1
DNNISDQL,1,1,1
LRAEPWLB,1,1,1
GJXWZAZI,1,1,1
DHBFURXB,1,1,1
JBFIVEAB,1,1,1
CNYGGXWH,1,1,1
INAFIJWG,1,1,1
PRJIJBTD,1,1,1
WOALOLVT,1,1,1
MRIZTKUC,1,1,1
DVUZTOAK,1,1,1
ZYUWMRSY,1,1,1
NQBIKZNM,1,1,1
EJETGNCO,1,1,1
WJNHXWJH,1,1,1
BEYAXRZE,1,1,1
SQZZNNPN,1,1,1
DOYANPQK,1,1,1
NITZPIHL,1,1,1
RKJXSJAO,1,1,1
HMWCVEFL,1,1,1
DXBIJTCC,1,1,1
GHUSBRBD,1,1,1
CHONSFHT,1,1,1
OWJYGPAK,1,1,1
RJZNAKRU,1,1,1
YXCKTAVZ,1,1,1
IQMTOWTL,1,1,1
AZQMTYWP,1,1,1
JGNKLHAU,1,1,1
FETTMHPP,1,1,1
TEJYTTLU,1,1,1
ILWBDUOX,1,1,1
TUNLNZLL,1,1,1
CORXRJWP,1,1,1
OBRXMAQL,1,1,1
SQAKYNAY,1,1,1
TIRQMRNE,1,1,1
TEDBRWAN,1,1,1
FANWYFNQ,1,1,1
PUCWRDKP,1,1,1
BNHNEVNL,1,1,1
VRNKHXCA,1,1,1
MWFSOPGB,1,1,1
DVVRLMPD,1,1,1
ZSKBCPZS,1,1,1
NLDEIXYH,1,1,1
GANCUWKQ,1,1,1
HSUGTSNH,1,1,1
QDIYGFAV,1,1,1
FMMVVOQF,1,1,1
YVEODCLZ,1,1,1
ZQAOVJPA,1,1,1
JWEHMXKF,1,1,1
XCXVKYIR,1,1,1
NSFMQJFK,1,1,1
OGMDLKMB,1,1,1
DFSTWDKL,1,1,1
LOXZCSSH,1,1,1
HPVKUDJN,1,1,1
QABCVGIC,1,1,1
ILESTUPF,1,1,1
RKMRBOPJ,1,1,1
SZTXKQEU,1,1,1
FWKBQCFQ,1,1,1
WSTAJUVJ,1,1,1
IBKESHLG,1,1,1
WKXNYLZN,1,1,1
PNERHTRB,1,1,1
FDUZQHFC,1,1,1
QPPFNACY,1,1,1
YDEGYMIF,1,1,1
MYZRMZKU,1,1,1
VADZVOMK,1,1,1
UOGRIZEY,1,1,1
DIKBFCYL,1,1,1
CUHNEJJU,1,1,1
RWRIOCNA,1,1,1
MTGVRGKY,1,1,1
DQGUFHZV,1,1,1
ONJNHFYR,1,1,1
AIUWHEIL,1,1,1
PPPQOMEU,1,1,1
CISMTXJO,1,1,1
PNNUTZCI,1,1,1
NIFRKNIU,1,1,1
QCPQANXF,1,1,1
OCXMOBIB,1,1,1
MSZMYODW,1,1,1
PTEIGJVT,1,1,1
MVXRGYWU,1,1,1
OBYZLNRD,1,1,1
EMMXCVUJ,1,1,1
CCQLFZJK,1,1,1
USIAYAEE,1,1,1
GSBPJTVW,1,1,1
BPALPRNT,1,1,1
LNVEPKAT,1,1,1
ZHJCUQSO,1,1,1
UADSGZZA,1,1,1
EFPNBTEE,1,1,1
KVSWBALK,1,1,1
DWSUBIAP,1,1,1
PENJJRNI,1,1,1
XNQEILEY,1,1,1
KWPAXEOQ,1,1,1
SIPITPTF,1,1,1
JJHBUWXX,1,1,1
CTETXCMM,1,1,1
CFPVVGRM,1,1,1
GZEKLPOV,1,1,1
QRHMLOBF,1,1,1
XAODYSWC,1,1,1
IHMHPKFD,1,1,1
ZYWAERWK,1,1,1
PSIEAKFT,1,1,1
QIGQZNCO,1,1,1
UXIXPWGY,1,1,1
RGLBIYLK,1,1,1
UHLPXSSI,1,1,1
TMVCDKMH,1,1,1
GDJXDZPL,1,1,1
MGRTWQEE,1,1,1
KHUYYJMU,1,1,1
ILITQCQE,1,1,1
MBBNOKSA,1,1,1
EQUATQMI,1,1,1
BLWCBUUI,1,1,1
RRTPMXIR,1,1,1
YFOOCWEC,1,1,1
AWPPDFKL,1,1,1
BZWNWYYQ,1,1,1
XCMOPJFZ,1,1,1
PFMELEHI,1,1,1
GMGWUOGT,1,1,1
FMHZUZBO,1,1,1
LSWGVQLH,1,1,1
LIQAGCBJ,1,1,1
RHYDTHAD,1,1,1
THCRTLWL,1,1,1
UCPUNKEX,1,1,1
HDFNOTIP,1,1,1
NZXZDGLL,1,1,1
XSHKBPMV,1,1,1
NGGKWTGZ,1,1,1
UYHRPDWF,1,1,1
JZVGIATX,1,1,1
MIFDTEAY,1,1,1
BGTIHADP,1,1,1
RLUGLVEL,1,1,1
QOBKKHBS,1,1,1
FOBCXTQU,1,1,1
RIJJDMRO,1,1,1
WSPCCVJV,1,1,1
BJAUSXGD,1,1,1
UYDWSVHU,1,1,1
HJKWWKXT,1,1,1
UNIAHQXY,1,1,1
HUKTNDHV,1,1,1
WIAOEMLJ,1,1,1
OKJJCDEO,1,1,1
EYMSPDIT,1,1,1
NQJAEOGV,1,1,1
YNWNVTYW,1,1,1
CPCJIWGG,1,1,1
TSBPHJCY,1,1,1
TIUAVHVU,1,1,1
DCYOCVPE,1,1,1
XDHGLBPV,1,1,1
QEBMJTPC,1,1,1
EHYAUVRM,1,1,1
TJOXGDFH,1,1,1
HJPEVMKQ,1,1,1
CCFVCKCQ,1,1,1
JCHATNZS,1,1,1
LMBWMVQK,1,1,1
UMDYHWUN,1,1,1
QHWKPULL,1,1,1
TXWJANUD,1,1,1
KRJPMZBP,1,1,1
OUKOUVXR,1,1,1
AIKVMBYC,1,1,1
PSFFZNXD,1,1,1
HCUCEEIN,1,1,1
ZAFILXLP,1,1,1
EDKVKXWO,1,1,1
QCRKGFRZ,1,1,1
HOHMJWWM,1,1,1
WQAZPYND,1,1,1
VARQKSWA,1,1,1
KGZCATMY,1,1,1
LNYUWLZM,1,1,1
MSWHGVJY,1,1,1
RCQGAGFA,1,1,1
GUDFZFHM,1,1,1
KAVFPJJP,1,1,1
CMNHJJLI,1,1,1
JVQHJDYG,1,1,1
QZTQAOSK,1,1,1
NXIDGGFG,1,1,1
KHSALUYK,1,1,1
BRQWQUZR,1,1,1
ELINWRPD,1,1,1
SNOLINCY,1,1,1
ZJKPFLBS,1,1,1
UWUAGWFB,1,1,1
DGIEJVRU,1,1,1
FXELPJBG,1,1,1
EOLGAPTI,1,1,1
OFWZKMRQ,1,1,1
SYCTLRDD,1,1,1
XLRDMPAG,1,1,1
QAATDFDB,1,1,1
ZQHLKIJD,1,1,1
GBGZUYYP,1,1,1
JETZAAUO,1,1,1
QFVAZPVQ,1,1,1
HZCADTJB,1,1,1
HDXSTLYE,1,1,1
YVXEEUWP,1,1,1
GBTOCMFG,1,1,1
IFKMCEAG,1,1,1
VOQIQZQU,1,1,1
YMCNZEHY,1,1,1
XHIGGUYY,1,1,1
UKIDTWHN,1,1,1
JEBQTVXN,1,1,1
WEJISWTH,1,1,1
CAULTLQN,1,1,1
SCRUYGQO,1,1,1
ENXQJYOC,1,1,1
QXISWYPK,1,1,1
YSOHLEAZ,1,1,1
HCPFSELS,1,1,1
MXVDSZXP,1,1,1
NNRSPUAJ,1,1,1
EAUCYWSV,1,1,1
XRIBBEMY,1,1,1
SLMNZUMU,1,1,1
NKYFLZUT,1,1,1
WRGKHJZK,1,1,1
JLQZVTDE,1,1,1
AMYAFYRA,1,1,1
WGRYWGVS,1,1,1
AHHASGXD,1,1,1
JIRGTASQ,1,1,1
UAFDDGUU,1,1,1
SAPPNOJV,1,1,1
CJIGYQOE,1,1,1
LAYNLDXR,1,1,1
XDVXCZGR,1,1,1
LEIEOKGQ,1,1,1
VXRQQFNM,1,1,1
JTWIXUSI,1,1,1
YXLJIKNE,1,1,1
IQSDBLZL,1,1,1
TJKQTRZI,1,1,1
JWARSOAK,1,1,1
ISQGYJLQ,1,1,1
JFWUZSTN,1,1,1
UHBDTYWJ,1,1,1
BWAUKXJB,1,1,1
UEGAIKZC,1,1,1
HZHEXWAF,1,1,1
TDNKZGJA,1,1,1
KIOEZHMS,1,1,1
WLADSBJR,1,1,1
BXSKOGWW,1,1,1
QLLFBYLN,1,1,1
RLWMBTQB,1,1,1
WIESHSPA,1,1,1
KRJGAHFR,1,1,1
SDJCDEPX,1,1,1
KFQIWKJU,1,1,1
CHETUCTP,1,1,1
ZFZTKADI,1,1,1
XHPJAOVN,1,1,1
TXWUMCKZ,1,1,1
KWZOIPVY,1,1,1
MVHRKXJD,1,1,1
TLYPRNDV,1,1,1
PFMTLCWK,1,1,1
OHTCZQOW,1,1,1
EDHQAPCS,1,1,1
ZRSQSLFM,1,1,1
ZQPRGLAG,1,1,1
MAPQAZWR,1,1,1
JNOOJLDU,1,1,1
FBEBMRFO,1,1,1
NMQGDLHI,1,1,1
OCWBPHXC,1,1,1
CKRNOOCQ,1,1,1
ESMDCPBQ,1,1,1
IFHYLCMG,1,1,1
LJCUAQLM,1,1,1
LLZJRAVA,1,1,1
YTPEEWKZ,1,1,1
PBMIANSU,1,1,1
PPTDHSQN,1,1,1
JMICWHGX,1,1,1
OJXNELTC,1,1,1
XLRZNDLP,1,1,1
UNOSFIWB,1,1,1
OUMUACUP,1,1,1
GEEBOPZX,1,1,1
AYSATXYK,1,1,1
PGKLNNKU,1,1,1
XTEHDIAW,1,1,1
CLAFEEXP,1,1,1
IBWUKVVI,1,1,1
KPSXCIMJ,1,1,1
MHQTMWZD,1,1,1
OFJSQIIJ,1,1,1
YPRYVLPI,1,1,1
PXZIWGUY,1,1,1
XTPXBEXL,1,1,1
QSKZJUTA,1,1,1
TRHQHXFR,1,1,1
THUTLYMO,1,1,1
DWVPVZTG,1,1,1
TOVOYOZM,1,1,1
KJOWNSXI,1,1,1
XPGUKNRQ,1,1,1
MZTFKMHZ,1,1,1
GKIGTUSK,1,1,1
TAHMXVEO,1,1,1
VBMIAXJV,1,1,1
EZLYPQCR,1,1,1
OYBZBNGR,1,1,1
WYZKUSYI,1,1,1
WTFJQRFN,1,1,1
VAEYGAUT,1,1,1
XMYDMJTV,1,1,1
EMYJHKVT,1,1,1
GCFPJSOZ,1,1,1
OGTQIACK,1,1,1
HPHLDKNG,1,1,1
KKSASBCD,1,1,1
ULYAMIRJ,1,1,1
TNDJIMUY,1,1,1
UQBUONNO,1,1,1
QLDUODQY,1,1,1
FJWMHSFB,1,1,1
QNRQWGUG,1,1,1
UHSJTLDS,1,1,1
ODZKDXGB,1,1,1
JXNEBTIL,1,1,1
FXEIAONA,1,1,1
JLWBZUYC,1,1,1
JVXEQUWT,1,1,1
WJZUUTLX,1,1,1
XYBBYTEU,1,1,1
PBWVBWLG,1,1,1
BAEPQQJZ,1,1,1
PEOJRSDE,1,1,1
KSSFXPQP,1,1,1
VRYALRWC,1,1,1
AINSJKUT,1,1,1
DTBBBPAN,1,1,1
HFTYSPNQ,1,1,1
MJYYFTZN,1,1,1
VVTRNIEB,1,1,1
EAJVWYFH,1,1,1
JIPNGYVL,1,1,1
TUBZBUXO,1,1,1
ULIEHYPI,1,1,1
YKDRGCXN,1,1,1
VIOFRGMA,1,1,1
CTIKWOZH,1,1,1
FDQMBRDR,1,1,1
YWOXDQDI,1,1,1
FIJDMCKV,1,1,1
KHMQCVNW,1,1,1
TOGFOJSG,1,1,1
SVSQRQVL,1,1,1
KWWAGFKQ,1,1,1
BNULEJQP,1,1,1
XOLWRKMF,1,1,1
PDOKHNCV,1,1,1
PSELLCQP,1,1,1
FSBMZHYE,1,1,1
NOSDIJZE,1,1,1
LFPTBZYW,1,1,1
SLGJVGDE,1,1,1
BHAJNUOM,1,1,1
GBAATKDZ,1,1,1
XVXZUPYD,1,1,1
BUDGXVCY,1,1,1
BBUPAMCE,1,1,1
VWKYRXNA,1,1,1
NKBRMZLU,1,1,1
QIHISGXZ,1,1,1
EDXTZJSM,1,1,1
JHTYFYBK,1,1,1
MRVCCLKM,1,1,1
HMIUJSRW,1,1,1
OZRRAREF,1,1,1
YOHZUVSO,1,1,1
GJIQPSXK,1,1,1
KGQNWDQF,1,1,1
WUUUOMIV,1,1,1
BGFNJCGI,1,1,1
JLUWMRCX,1,1,1
VMUJJBUI,1,1,1
FEMVLDBO,1,1,1
TLRAAGEJ,1,1,1
QKFDPTLC,1,1,1
KYLMGFJA,1,1,1
TPWRJMJR,1,1,1
AQPCGKFC,1,1,1
UHKMSYJC,1,1,1
KZAAJDQY,1,1,1
ASVVHZQF,1,1,1
WTPDKJXR,1,1,1
IDUCKKZC,1,1,1
CTAHUHOP,1,1,1
NIBTFGXU,1,1,1
OSGIPDHQ,1,1,1
HHQWVBJM,1,1,1
RUMLIDXO,1,1,1
NSQOSLBT,1,1,1
CLXATPDK,1,1,1
HJSHUSWS,1,1,1
ZQHHSYNG,1,1,1
AZYSSVGB,1,1,1
DYPCMGUN,1,1,1
PAOEKWYF,1,1,1
PMYZDLBV,1,1,1
VSLVADEU,1,1,1
SOYQVINO,1,1,1
IZBWYPBZ,1,1,1
IEBHHZUU,1,1,1
OVLGWHUD,1,1,1
HOOBNYVU,1,1,1
LNNRIIFF,1,1,1
AXYUIKME,1,1,1
NVDPWORC,1,1,1
QODGQXFM,1,1,1
XOHRNBEE,1,1,1
UCITROCM,1,1,1
ASVPNOXD,1,1,1
GZYTFXSX,1,1,1
XIUXAMVI,1,1,1
NJJICJOW,1,1,1
NHIREFCB,1,1,1
YXVYHMBN,1,1,1
LVDGIQNE,1,1,1
ULOLTQRL,1,1,1
KCGONVKM,1,1,1
QFMZPNJJ,1,1,1
FSSHNFVD,1,1,1
QWXSTRIM,1,1,1
YFBUPAIH,1,1,1
DBYXDGZK,1,1,1
CJDPEQXJ,1,1,1
UYLIWTWT,1,1,1
UTMSQOLH,1,1,1
TFGWJDXA,1,1,1
NMDRJAUW,1,1,1
IAUMIWZE,1,1,1
FTMONTNR,1,1,1
AEXZMTDI,1,1,1
FKUOEWRL,1,1,1
XMTRERHH,1,1,1
PPUOZUJG,1,1,1
TSIFWVKN,1,1,1
GSHWEARD,1,1,1
RKSIWTSC,1,1,1
CVGYGGPS,1,1,1
AWCSAMOX,1,1,1
KZHHUVEO,1,1,1
BALSVRKP,1,1,1
BNVELHNW,1,1,1
ZGHEYPIJ,1,1,1
XGBLRJQK,1,1,1
GKCAGXAQ,1,1,1
BAMRXCZT,1,1,1
KBCSQMIE,1,1,1
MGWOABSB,1,1,1
FZARMZHW,1,1,1
LKNTTOXY,1,1,1
HVDOVRRX,1,1,1
NOTGJVUQ,1,1,1
ZLROLPBT,1,1,1
JRPETFJB,1,1,1
HNSAUFFR,1,1,1
DXSOOOUZ,1,1,1
TGHWNCCY,1,1,1
HPSYOVDI,1,1,1
PWBSMBLE,1,1,1
WKZOWSGF,1,1,1
ASPANNFD,1,1,1
LTYRNETF,1,1,1
CUGPTDAC,1,1,1
WAZYOHFS,1,1,1
RBBJYJJQ,1,1,1
VEVHFXAA,1,1,1
VONGUVLR,1,1,1
CWVUYIOQ,1,1,1
VHLHVDFP,1,1,1
PALXORVS,1,1,1
BNWCIYLJ,1,1,1
WQOBTQNT,1,1,1
ODCBGCJO,1,1,1
WWAOOSJP,1,1,1
KSKELHET,1,1,1
AYRYOMVM,1,1,1
MUYSPZCZ,1,1,1
LTWBNRTA,1,1,1
OTLMAFZU,1,1,1
BHSFFJOR,1,1,1
QUVJJKFY,1,1,1
ZHWXLXWN,1,1,1
EVSQVNZB,1,1,1
QEHAIEUI,1,1,1
WCKCTUMX,1,1,1
AYSRNVBG,1,1,1
IZAQJRZI,1,1,1
EVQULPQQ,1,1,1
TFLXRAJA,1,1,1
ERQUIZVR,1,1,1
MMJPEQLL,1,1,1
FNFKYXVK,1,1,1
MPDBCQPX,1,1,1
USHIIYON,1,1,1
LJVSGHUV,1,1,1
MTLOZNLN,1,1,1
NHRTVTKL,1,1,1
EQBWJHCL,1,1,1
AQNFSRDJ,1,1,1
BORRRSIO,1,1,1
JFQYYWBM,1,1,1
EWFZPDYS,1,1,1
DDIZQBQT,1,1,1
JCEYFDGQ,1,1,1
NJCJTGVC,1,1,1
VGJZMZVI,1,1,1
WAQMUMBP,1,1,1
OYIQRNMG,1,1,1
RYPEYIEX,1,1,1
KMHDFZTT,1,1,1
HMBEGNVJ,1,1,1
MRIBFHPP,1,1,1
UARMUNBI,1,1,1
ARAZOFXV,1,1,1
MSKOILJC,1,1,1
PRAZVTDF,1,1,1
XSAKRVMV,1,1,1
HFXAYSAK,1,1,1
IKCYKDSX,1,1,1
HDZLTAQP,1,1,1
IYUTMBLI,1,1,1
UUOGYFEH,1,1,1
YHSHHBED,1,1,1
EPXXZXJD,1,1,1
IWCGNHTU,1,1,1
LXSHHHSP,1,1,1
GZWHXHWA,1,1,1
LACDFETZ,1,1,1
KICIWRFO,1,1,1
HKQXPBOZ,1,1,1
MTGOOEQA,1,1,1
EVZHTMGM,1,1,1
NZXLPNAD,1,1,1
BHSYIQHD,1,1,1
UWHHDZOP,1,1,1
HYZRQPUL,1,1,1
WVBXZMGK,1,1,1
WMXLCFZU,1,1,1
DGEMALSJ,1,1,1
EKSKLDIB,1,1,1
AZDPMXOH,1,1,1
XQABBGOW,1,1,1
FAWKYTIL,1,1,1
BGGHSUFU,1,1,1
NMUYYSWK,1,1,1
KMYGYEWF,1,1,1
TOIFAWTZ,1,1,1
BKKCUMVX,1,1,1
KNIVKKOA,1,1,1
UUTFVOTI,1,1,1
FZLGZZHE,1,1,1
SLRXMACV,1,1,1
QRYUTSWK,1,1,1
PHGDMXWK,1,1,1
DNPNZCOV,1,1,1
ZZMAKSOR,1,1,1
SGFMDWAX,1,1,1
IVLXDVCY,1,1,1
BLXYZPIL,1,1,1
JRZDOVXV,1,1,1
UHFXLMFZ,1,1,1
QTLOQQFG,1,1,1
BQULEAKJ,1,1,1
EICOSADK,1,1,1
NSTNJBME,1,1,1
WOXKLIOY,1,1,1
QAKMZGHK,1,1,1
MMKASINV,1,1,1
DIAKULXD,1,1,1
ZOCGWNIU,1,1,1
IZLQOWMH,1,1,1
QLZWSFZL,1,1,1
YEJXYJRX,1,1,1
OWPADRXI,1,1,1
ARDZJIIT,1,1,1
BEOHGKCO,1,1,1
CGHMJMFD,1,1,1
FSOFZYQW,1,1,1
LPWKEPHA,1,1,1
GGGSBUTE,1,1,1
HTVXCRPC,1,1,1
UVTBFPTP,1,1,1
ZPTMLUQA,1,1,1
EZGIZILT,1,1,1
YMCXRXWE,1,1,1
OGGKTSGD,1,1,1
VHGYGYAL,1,1,1
MUTYSAFK,1,1,1
IJZWWJPN,1,1,1
QTLEWSBD,1,1,1
RCSMYSJR,1,1,1
FGUXZREN,1,1,1
QYBMNVQX,1,1,1
VXNUXKND,1,1,1
ALPIRPWB,1,1,1
BDATFNNX,1,1,1
KKYCILRU,1,1,1
RETOOYUC,1,1,1
EWZADMQH,1,1,1
ZAPXJLWT,1,1,1
BUJDIVSD,1,1,1
YEWKWLMY,1,1,1
NRBMWEZL,1,1,1
LLEPFBIA,1,1,1
ZXKAFQDK,1,1,1
RPBAYDAH,1,1,1
JOXJOBHN,1,1,1
NTRZNLCD,1,1,1
FCQAFZPQ,1,1,1
YAAPWVYR,1,1,1
OHIKOZJQ,1,1,1
AVUUHEGE,1,1,1
RIUMLGJE,1,1,1
JCXWUWYN,1,1,1
IXMRVVYD,1,1,1
XDBLOHND,1,1,1
THLCNVEX,1,1,1
UCKYGCGQ,1,1,1
JLYSSBNR,1,1,1
DGMHYHJV,1,1,1
RMJACCXH,1,1,1
YSOCUQLC,1,1,1
EIIXFQOY,1,1,1
UGNCQPPU,1,1,1
JWFMBXHS,1,1,1
OVGAPNNC,1,1,1
SFSRWMLV,1,1,1
MGCNGFQB,1,1,1
XIAUSHQW,1,1,1
YKLLNPJJ,1,1,1
MXICPUTJ,1,1,1
UMOREBFJ,1,1,1
PQJRJEMQ,1,1,1
KZHEKAWA,1,1,1
GZSYAWJH,1,1,1
MLKJVTOB,1,1,1
ADLRTUPC,1,1,1
UDUWDOXF,1,1,1
VFIVTAXL,1,1,1
CRRTUWXJ,1,1,1
RJPOMCGH,1,1,1
YXONXLQV,1,1,1
WRUCUFOH,1,1,1
XYCBZVFO,1,1,1
AIBAQGYK,1,1,1
KCHQSKGW,1,1,1
NAFDPFFE,1,1,1
LGGTJFLN,1,1,1
PODLPOSQ,1,1,1
SERUVJRE,1,1,1
BRSKPIWU,1,1,1
