crew_id,BIA,CFE,LRT,MPL,RNS
KOQYXRRC,1,1,1,1,1
AOVHWYQF,1,1,1,1,1
JPGIADZM,1,1,1,1,1
JXGLQBCB,1,1,1,1,1
XYDOCXZE,1,1,1,1,1
AGTLZMGN,1,1,1,1,1
CJUQNQKK,1,1,1,1,1
HPPHCOFB,1,1,1,1,1
YCHBVZAY,1,1,1,1,1
IDWOHBAR,1,1,1,1,1
ZWCESBGJ,1,1,1,1,1
QXTVPSVP,1,1,1,1,1
KRUCDNTS,1,1,1,1,1
XJINCMGQ,1,1,1,1,1
LWMVHLOF,1,1,1,1,1
LDDLKDON,1,1,1,1,1
SHOUMBIG,1,1,1,1,1
HXSHXZIO,1,1,1,1,1
DYPYXXSN,1,1,1,1,1
ICUQSVEB,1,1,1,1,1
MGGSUNMV,1,1,1,1,1
ZVEPVIFX,1,1,1,1,1
TSGQVVYS,1,1,1,1,1
FCKTZRYS,1,1,1,1,1
XHEQCEWP,1,1,1,1,1
ZENPGMSD,1,1,1,1,1
CREIQSLP,1,1,1,1,1
GAIJDYAR,1,1,1,1,1
AEDGTYQZ,1,1,1,1,1
AGYGROOX,1,1,1,1,1
KRSFLNJX,1,1,1,1,1
LNCTVULF,1,1,1,1,1
LDTFXTOF,1,1,1,1,1
RNVNEUIM,1,1,1,1,1
LRWKIMJU,1,1,1,1,1
XPFQVMRY,1,1,1,1,1
XAWFBILU,1,1,1,1,1
JMCQQSOO,1,1,1,1,1
JLFZRGTQ,1,1,1,1,1
TZIKBBRW,1,1,1,1,1
UMVUGTVF,1,1,1,1,1
KAESYDNG,1,1,1,1,1
ISKONEVN,1,1,1,1,1
XVDQGRCI,1,1,1,1,1
ZVBUWCKI,1,1,1,1,1
PXJSKXJY,1,1,1,1,1
TGXDJIHJ,1,1,1,1,1
QBDLYJEX,1,1,1,1,1
SPDABLNP,1,1,1,1,1
OXJUNHOS,1,1,1,1,1
WXRXPIXI,1,1,1,1,1
FQJHVQIB,1,1,1,1,1
UUQYWKFS,1,1,1,1,1
HOOYVVUL,1,1,1,1,1
EREUVVNM,1,1,1,1,1
ACTLTAQV,1,1,1,1,1
OFDHQGUB,1,1,1,1,1
IXENWBMC,1,1,1,1,1
EKRPQDIJ,1,1,1,1,1
JSOTAQJT,1,1,1,1,1
ELSVALJC,1,1,1,1,1
TDCEAXFF,1,1,1,1,1
QCQUHGQP,1,1,1,1,1
FZQQSBBE,1,1,1,1,1
DBPQRXDU,1,1,1,1,1
MEHUGXET,1,1,1,1,1
HZVIHZGT,1,1,1,1,1
BKHRBEMN,1,1,1,1,1
RLTURINP,1,1,1,1,1
OZQZPKLZ,1,1,1,1,1
QCPPPFXT,1,1,1,1,1
UEEQYAHO,1,1,1,1,1
JVXPUCGO,1,1,1,1,1
QUXRHNWZ,1,1,1,1,1
EPPALHXO,1,1,1,1,1
YUTYDOPZ,1,1,1,1,1
HYWNVRLN,1,1,1,1,1
UUNDWKZC,1,1,1,1,1
PCHWCBJD,1,1,1,1,1
XLCBXGGE,1,1,1,1,1
HISRQARE,1,1,1,1,1
OXOJIARL,1,1,1,1,1
AZDMNVIP,1,1,1,1,1
YJSZHQNA,1,1,1,1,1
BCFMFUEO,1,1,1,1,1
DLJZYAUP,1,1,1,1,1
QBLUTJAD,1,1,1,1,1
PICDDSLE,1,1,1,1,1
QWEGGLNN,1,1,1,1,1
HKXIWLKY,1,1,1,1,1
ANQWZTYW,1,1,1,1,1
WVMRDXWW,1,1,1,1,1
FBCNSHVQ,1,1,1,1,1
ZHPGYZFG,1,1,1,1,1
YQTJTQJH,1,1,1,1,1
VDROBKRL,1,1,1,1,1
HHRABVZF,1,1,1,1,1
YGLFDLQD,1,1,1,1,1
LQCRSTHO,1,1,1,1,1
GQDLXWVE,1,1,1,1,1
XQGXTVAO,1,1,1,1,1
FTOUJWHJ,1,1,1,1,1
KQCKGWHK,1,1,1,1,1
TMCWGOOW,1,1,1,1,1
MLHFVWTW,1,1,1,1,1
ZLEKJDBT,1,1,1,1,1
KCQKFNHE,1,1,1,1,1
LMBCNLYD,1,1,1,1,1
FMYECZFK,1,1,1,1,1
JBQOTRIE,1,1,1,1,1
UHQKJMWM,1,1,1,1,1
MEMSMEQV,1,1,1,1,1
PIJWKFWN,1,1,1,1,1
MXUICHYY,1,1,1,1,1
GBGDNSRU,1,1,1,1,1
NJJIGCFY,1,1,1,1,1
SNMJUAJG,1,1,1,1,1
BQWQENRG,1,1,1,1,1
TRTDAOMQ,1,1,1,1,1
DSSUMTUS,1,1,1,1,1
FIQAUFNV,1,1,1,1,1
IVJQVYKG,1,1,1,1,1
MZLKRFQU,1,1,1,1,1
FRSWTVRL,1,1,1,1,1
DKVKGRSJ,1,1,1,1,1
LDZTBMQY,1,1,1,1,1
EWWLTHHX,1,1,1,1,1
NCPXCBDF,1,1,1,1,1
XARTYEQA,1,1,1,1,1
UJSOTVVK,1,1,1,1,1
HNLDUKAT,1,1,1,1,1
KHPQWFYR,1,1,1,1,1
USAGUCBS,1,1,1,1,1
LBMUENGX,1,1,1,1,1
JEIUSHSP,1,1,1,1,1
MDBBFMSS,1,1,1,1,1
MANGLCIT,1,1,1,1,1
IXKQHBSZ,1,1,1,1,1
EBTMTTIV,1,1,1,1,1
OKQETDMT,1,1,1,1,1
DROLQFAB,1,1,1,1,1
KITORSMB,1,1,1,1,1
WOAWFDEW,1,1,1,1,1
ZVEZEISW,1,1,1,1,1
TLMRMZOK,1,1,1,1,1
EDEFERNK,1,1,1,1,1
UJKZGFAX,1,1,1,1,1
XCCYYCIZ,1,1,1,1,1
YXOCHCIF,1,1,1,1,1
ALGKRRHE,1,1,1,1,1
JLNTXWVF,1,1,1,1,1
RDTSBDQK,1,1,1,1,1
AQOOSQOX,1,1,1,1,1
HDQOSQQT,1,1,1,1,1
GQNWWTRQ,1,1,1,1,1
MEWADFZZ,1,1,1,1,1
PBEUNCUH,1,1,1,1,1
URVPNHPX,1,1,1,1,1
QDYXHRGK,1,1,1,1,1
JBNQDUJO,1,1,1,1,1
SNPTPOKP,1,1,1,1,1
BVILAJKG,1,1,1,1,1
KWEBOVBX,1,1,1,1,1
LPONHGQU,1,1,1,1,1
WUVWXBBB,1,1,1,1,1
TPMTPXAH,1,1,1,1,1
CEFXGSCO,1,1,1,1,1
BGYKNWUW,1,1,1,1,1
UYOEUZRK,1,1,1,1,1
XSXTPRIC,1,1,1,1,1
MWZCHVWR,1,1,1,1,1
ZQCGRWOT,1,1,1,1,1
APHIRXPL,1,1,1,1,1
JXEMSCHA,1,1,1,1,1
XDUQNNFZ,1,1,1,1,1
BNDDZUTD,1,1,1,1,1
AYKJUAMY,1,1,1,1,1
VPHKQKVS,1,1,1,1,1
JPPSNNDT,1,1,1,1,1
POHMOBDB,1,1,1,1,1
JVMYILRL,1,1,1,1,1
IIGNUITL,1,1,1,1,1
QQKSJYOT,1,1,1,1,1
KKJIVVIA,1,1,1,1,1
BGYECVZD,1,1,1,1,1
OLRGODGH,1,1,1,1,1
XPXTCKVH,1,1,1,1,1
OUSBLYTI,1,1,1,1,1
QCVFVZLQ,1,1,1,1,1
BCJQWPMR,1,1,1,1,1
YGDFYFZC,1,1,1,1,1
VCMAHFAN,1,1,1,1,1
CXSFYDFV,1,1,1,1,1
UEBUBNYR,1,1,1,1,1
MBGYSHAP,1,1,1,1,1
QDMURGDB,1,1,1,1,1
PKIPPNRG,1,1,1,1,1
IIFWZWFN,1,1,1,1,1
YMYTEISV,1,1,1,1,1
VVZGAXYH,1,1,1,1,1
PEIZGWMP,1,1,1,1,1
MUDIIESH,1,1,1,1,1
GQFBCEJB,1,1,1,1,1
LKFDXAVH,1,1,1,1,1
CGOXOUJW,1,1,1,1,1
RYYGLBQY,1,1,1,1,1
SJRQFOCY,1,1,1,1,1
VDEAYOLJ,1,1,1,1,1
DCXIEVBG,1,1,1,1,1
JMTISXDU,1,1,1,1,1
OINXXLIT,1,1,1,1,1
ANTZHXOG,1,1,1,1,1
FYMRFYIG,1,1,1,1,1
FFMEMKST,1,1,1,1,1
NSYFTUDD,1,1,1,1,1
BYWYSXQF,1,1,1,1,1
UVZBRSLF,1,1,1,1,1
ISFKRMYM,1,1,1,1,1
ICYCNAZC,1,1,1,1,1
RBMPDGHQ,1,1,1,1,1
DIAJKKWQ,1,1,1,1,1
HZFOJBQG,1,1,1,1,1
WPYZELSN,1,1,1,1,1
QCDOVFLL,1,1,1,1,1
QDZKXMEH,1,1,1,1,1
UPRHDLMI,1,1,1,1,1
ECOVAOGF,1,1,1,1,1
VEHNZZSF,1,1,1,1,1
WCCYGPLW,1,1,1,1,1
ZVAQGRKV,1,1,1,1,1
POUDWGIW,1,1,1,1,1
PBITHEEX,1,1,1,1,1
DSENVSXF,1,1,1,1,1
GDGDQXTL,1,1,1,1,1
HJPGAAPW,1,1,1,1,1
PJQSNLYM,1,1,1,1,1
KKESNRWD,1,1,1,1,1
EESRPWWJ,1,1,1,1,1
ZKYNQPZM,1,1,1,1,1
AGMIULKE,1,1,1,1,1
CFRDRQXS,1,1,1,1,1
ROPQYESE,1,1,1,1,1
CKPAGPGT,1,1,1,1,1
SWOZBVQN,1,1,1,1,1
XUWTMKZW,1,1,1,1,1
YBQMDQWQ,1,1,1,1,1
WHBGTIGR,1,1,1,1,1
ZIMYYHLH,1,1,1,1,1
QQVGUDOQ,1,1,1,1,1
ZQCKFFVM,1,1,1,1,1
XBQTDCRC,1,1,1,1,1
JBKCCVYG,1,1,1,1,1
EPGMNVPW,1,1,1,1,1
DBPIEJNJ,1,1,1,1,1
ESEEALVB,1,1,1,1,1
RZNLYKIX,1,1,1,1,1
WWAOZMNG,1,1,1,1,1
IUUHXIZH,1,1,1,1,1
QTTFBGCA,1,1,1,1,1
PKOFNQXF,1,1,1,1,1
WIBVPRJC,1,1,1,1,1
CZMQSANZ,1,1,1,1,1
ACNLXOEQ,1,1,1,1,1
OXTXDYGI,1,1,1,1,1
MTPMNWTZ,1,1,1,1,1
CKLCSGLT,1,1,1,1,1
ROGZHGOH,1,1,1,1,1
JFLTYZRW,1,1,1,1,1
UDJXRQIJ,1,1,1,1,1
JEZYLSWZ,1,1,1,1,1
XOXBGNNH,1,1,1,1,1
OJSPVKTQ,1,1,1,1,1
SZWMJVGX,1,1,1,1,1
MWGZROJC,1,1,1,1,1
XPIWUBOH,1,1,1,1,1
RYEQQFQJ,1,1,1,1,1
DTRIBICT,1,1,1,1,1
IURCHRGJ,1,1,1,1,1
HFWSFJSK,1,1,1,1,1
QPRLQHEK,1,1,1,1,1
VJSBYYIQ,1,1,1,1,1
HMLKKIBM,1,1,1,1,1
EXMRXAAW,1,1,1,1,1
QBAXRQTV,1,1,1,1,1
RHYGNLTL,1,1,1,1,1
WIEFDRRJ,1,1,1,1,1
JMWVMPQX,1,1,1,1,1
YSDGIHDT,1,1,1,1,1
JPDYKBQN,1,1,1,1,1
AMOCWEYF,1,1,1,1,1
PJWBQBON,1,1,1,1,1
UGQLRPUC,1,1,1,1,1
CWOITTYT,1,1,1,1,1
PUJHEPFO,1,1,1,1,1
SIWRXYTQ,1,1,1,1,1
JKEIVPIQ,1,1,1,1,1
MBGVERBF,1,1,1,1,1
FRVPXQBF,1,1,1,1,1
YBRBBGIB,1,1,1,1,1
SSGHSQUF,1,1,1,1,1
YJAFWVHM,1,1,1,1,1
VPEKIWNC,1,1,1,1,1
WIHZYETP,1,1,1,1,1
VEHVYVLC,1,1,1,1,1
LUGXZSWU,1,1,1,1,1
PYMUGRYJ,1,1,1,1,1
RHXYZTKL,1,1,1,1,1
KSGUCTFW,1,1,1,1,1
TAIRJQNA,1,1,1,1,1
BWZWVOCY,1,1,1,1,1
CUEKYBNO,1,1,1,1,1
KMHMKKJH,1,1,1,1,1
QXJUNVDU,1,1,1,1,1
GCPTYZOB,1,1,1,1,1
IRXOTXHK,1,1,1,1,1
MTGMSQUD,1,1,1,1,1
WCTCWLTP,1,1,1,1,1
ACXXOPQV,1,1,1,1,1
OGKTCXJG,1,1,1,1,1
XKULKUJE,1,1,1,1,1
DAZMMDVB,1,1,1,1,1
RBBACCRY,1,1,1,1,1
JZRGHOTI,1,1,1,1,1
MYCSEZHF,1,1,1,1,1
WJKGOZQM,1,1,1,1,1
LTXLEXZX,1,1,1,1,1
VHDLFMWA,1,1,1,1,1
NZWIHNDA,1,1,1,1,1
CPPKNDZP,1,1,1,1,1
HRDOCLHN,1,1,1,1,1
QLKIIGAI,1,1,1,1,1
IFDFUGAE,1,1,1,1,1
SJMYGBLX,1,1,1,1,1
FKNBYVCC,1,1,1,1,1
QAUONLLM,1,1,1,1,1
DFSHGLGB,1,1,1,1,1
OUSFGXBG,1,1,1,1,1
PWZJMTMX,1,1,1,1,1
GIMMRYGG,1,1,1,1,1
KGMPNEET,1,1,1,1,1
KCHWAPDC,1,1,1,1,1
YXVZKFEC,1,1,1,1,1
ALZIKFQR,1,1,1,1,1
KKBZBUKD,1,1,1,1,1
QMYBTPFI,1,1,1,1,1
JUSUOLGJ,1,1,1,1,1
NHLJMZPX,1,1,1,1,1
QBXLFKSM,1,1,1,1,1
DYQFZSRU,1,1,1,1,1
KCBKDZJN,1,1,1,1,1
RRJPLGHX,1,1,1,1,1
HWMITZFF,1,1,1,1,1
VRHZUOZN,1,1,1,1,1
QNZLFFGL,1,1,1,1,1
IRUJFVZA,1,1,1,1,1
OJHTEXTD,1,1,1,1,1
XZNYPNRX,1,1,1,1,1
TDZGTGWY,1,1,1,1,1
KACTJRRK,1,1,1,1,1
HSRIWPXS,1,1,1,1,1
VNSGAUVT,1,1,1,1,1
ZBWAGBQO,1,1,1,1,1
LOUMQJDZ,1,1,1,1,1
YFHHRICH,1,1,1,1,1
HGITYLNU,1,1,1,1,1
NHJCQLMT,1,1,1,1,1
FEPHOFVH,1,1,1,1,1
PJGAKFEJ,1,1,1,1,1
IHRUDATL,1,1,1,1,1
AQDXWMOB,1,1,1,1,1
CJPPGURM,1,1,1,1,1
WFEAPFWC,1,1,1,1,1
RDPRKQJW,1,1,1,1,1
KOPWPKKN,1,1,1,1,1
JFGYHLEM,1,1,1,1,1
MIDFCVHS,1,1,1,1,1
HLLDWDHM,1,1,1,1,1
MJUJKEQX,1,1,1,1,1
NSIMMBCH,1,1,1,1,1
ZBWHJVBP,1,1,1,1,1
VJGXQVCE,1,1,1,1,1
WMRDRUEM,1,1,1,1,1
JDKWAHWX,1,1,1,1,1
YYBVRSMM,1,1,1,1,1
WARJDFRD,1,1,1,1,1
MMNXKRON,1,1,1,1,1
HWSPZTJJ,1,1,1,1,1
SUFVYCWM,1,1,1,1,1
MTHQVKXZ,1,1,1,1,1
UJRLNIDB,1,1,1,1,1
BNKPTZXL,1,1,1,1,1
HWESHRAP,1,1,1,1,1
ZMMFUWSE,1,1,1,1,1
MZXHTXQR,1,1,1,1,1
XQBTKVDR,1,1,1,1,1
DUYQUQNN,1,1,1,1,1
MPFISJFX,1,1,1,1,1
CXCCMBHE,1,1,1,1,1
KCGNECQT,1,1,1,1,1
XSRFSPER,1,1,1,1,1
DANPIWEL,1,1,1,1,1
AOLXMCHK,1,1,1,1,1
DPTUGRER,1,1,1,1,1
UVJMFAUF,1,1,1,1,1
XQFFWFAQ,1,1,1,1,1
NAUXRVOX,1,1,1,1,1
QJAAEXDJ,1,1,1,1,1
IIISQMVU,1,1,1,1,1
SFLRAXTE,1,1,1,1,1
AXCSYZLZ,1,1,1,1,1
EVKJFZPX,1,1,1,1,1
HDJSRTSN,1,1,1,1,1
YDFXWJHP,1,1,1,1,1
GJLXDDWD,1,1,1,1,1
POUZPVNZ,1,1,1,1,1
LKHCBHMF,1,1,1,1,1
MWLEEOJN,1,1,1,1,1
GSQZSWHO,1,1,1,1,1
EFMTOUNA,1,1,1,1,1
ADLRDMNT,1,1,1,1,1
JSHKNRGI,1,1,1,1,1
FYPVIOUF,1,1,1,1,1
CIGWQNOW,1,1,1,1,1
MHXCLJOK,1,1,1,1,1
INUPEZZY,1,1,1,1,1
OHTGLKUY,1,1,1,1,1
SULDHPWA,1,1,1,1,1
CRHGEUWV,1,1,1,1,1
UIBWKJMW,1,1,1,1,1
CEEFHCWN,1,1,1,1,1
MMFJRAAM,1,1,1,1,1
GBWENSUW,1,1,1,1,1
KPDIUFFG,1,1,1,1,1
FJEHUVMM,1,1,1,1,1
PHJQOCOO,1,1,1,1,1
JBMKFWZJ,1,1,1,1,1
XWCBHAUD,1,1,1,1,1
LXYUTZIL,1,1,1,1,1
RPDQDAVD,1,1,1,1,1
QEYSAIBL,1,1,1,1,1
CSEODIEJ,1,1,1,1,1
FCRAEIEO,1,1,1,1,1
NSYEVCDW,1,1,1,1,1
UBZTIEBD,1,1,1,1,1
DFDUVJRA,1,1,1,1,1
LTVAZWDQ,1,1,1,1,1
OSCOTQDX,1,1,1,1,1
BEZHDOJL,1,1,1,1,1
JPLVZDCZ,1,1,1,1,1
RBLCJXWI,1,1,1,1,1
NLIOUOEP,1,1,1,1,1
ZUIPNAZE,1,1,1,1,1
IAXSZLYI,1,1,1,1,1
OYBJCYCA,1,1,1,1,1
ZIORRUPP,1,1,1,1,1
BPPBYIPR,1,1,1,1,1
QOPSLARS,1,1,1,1,1
HVLMCOND,1,1,1,1,1
GGRFNWYK,1,1,1,1,1
SCJTKLCU,1,1,1,1,1
YLXUUCVI,1,1,1,1,1
DMLKVVGT,1,1,1,1,1
QZDERORH,1,1,1,1,1
DKFMTKJU,1,1,1,1,1
FISSMVJZ,1,1,1,1,1
JRXUGLNP,1,1,1,1,1
AHZJXJHG,1,1,1,1,1
OOCQXZKB,1,1,1,1,1
XTJSGRNB,1,1,1,1,1
PKBAEIAS,1,1,1,1,1
LGFBXWNM,1,1,1,1,1
GJUVGHAM,1,1,1,1,1
VHJECVJG,1,1,1,1,1
RDCOJYKI,1,1,1,1,1
XBYFYYRE,1,1,1,1,1
EECLYTYY,1,1,1,1,1
ATHAEVGO,1,1,1,1,1
WJTSXBPT,1,1,1,1,1
SEHOZGCG,1,1,1,1,1
FTZGYKLJ,1,1,1,1,1
YPBAGPWL,1,1,1,1,1
LFCQYTIJ,1,1,1,1,1
WIWLIORB,1,1,1,1,1
ARJNYWRR,1,1,1,1,1
GWHZINMW,1,1,1,1,1
LMPHBVUZ,1,1,1,1,1
SRNLJZLL,1,1,1,1,1
FQDJUAKC,1,1,1,1,1
EBJQNVJR,1,1,1,1,1
MCBRVAMH,1,1,1,1,1
DHHBCEZK,1,1,1,1,1
CNOZYXGA,1,1,1,1,1
BLGZMCIU,1,1,1,1,1
EJBRUMGM,1,1,1,1,1
RDUZCQMP,1,1,1,1,1
NHBQKTTX,1,1,1,1,1
AECOHAYW,1,1,1,1,1
IAPWKGWG,1,1,1,1,1
DRHPUZUX,1,1,1,1,1
UQLOOGJE,1,1,1,1,1
KAAFUEKS,1,1,1,1,1
AEWRGPCS,1,1,1,1,1
KMGRRNRG,1,1,1,1,1
EODNHSRY,1,1,1,1,1
FBAOQTWQ,1,1,1,1,1
YACEFOLR,1,1,1,1,1
OCFEAGGU,1,1,1,1,1
PIVYHSEC,1,1,1,1,1
FWIILHSX,1,1,1,1,1
EDEWBZFF,1,1,1,1,1
COPPHXON,1,1,1,1,1
QBTZNECL,1,1,1,1,1
MTUJPFJO,1,1,1,1,1
RMJSYAUP,1,1,1,1,1
KWZYXUXC,1,1,1,1,1
UJWCWVVU,1,1,1,1,1
IMAKXRFM,1,1,1,1,1
DKZRMDOH,1,1,1,1,1
LDEAVVGL,1,1,1,1,1
EAPNOFOE,1,1,1,1,1
MUMSJNVU,1,1,1,1,1
TTNXEMBH,1,1,1,1,1
IMEPBBOA,1,1,1,1,1
AYVENKAV,1,1,1,1,1
DERHGKIS,1,1,1,1,1
KZSARFNN,1,1,1,1,1
TAXJFAOB,1,1,1,1,1
WISMNUJR,1,1,1,1,1
LRTQSKFX,1,1,1,1,1
GAQIAEEI,1,1,1,1,1
TUQLPQYK,1,1,1,1,1
NEUMAXCZ,1,1,1,1,1
EJLMHKUI,1,1,1,1,1
VATKXQMF,1,1,1,1,1
IWEFCEZY,1,1,1,1,1
ELPLUTGC,1,1,1,1,1
BURMYXAZ,1,1,1,1,1
QODJHJZB,1,1,1,1,1
SSRBDCQI,1,1,1,1,1
NYNIUNOC,1,1,1,1,1
GPBYHYAR,1,1,1,1,1
HDLRJHTY,1,1,1,1,1
OVMCWMPP,1,1,1,1,1
POHVQURO,1,1,1,1,1
LCDPMABG,1,1,1,1,1
DTXLHJVV,1,1,1,1,1
IOAMILFB,1,1,1,1,1
NHZHETGP,1,1,1,1,1
QKMNOCKB,1,1,1,1,1
BVPMWAOA,1,1,1,1,1
RDZVODEJ,1,1,1,1,1
XXGJZYIB,1,1,1,1,1
RMCNFJZM,1,1,1,1,1
EISKBSOQ,1,1,1,1,1
WARDRWDC,1,1,1,1,1
VBSGXIJZ,1,1,1,1,1
GATVFCPC,1,1,1,1,1
XMKHCFRZ,1,1,1,1,1
JVOIVTIT,1,1,1,1,1
WYWKAMAW,1,1,1,1,1
NKRBZFVN,1,1,1,1,1
XHLLFQWP,1,1,1,1,1
OASOJNEG,1,1,1,1,1
RAXIDGUP,1,1,1,1,1
JQBXGDDN,1,1,1,1,1
AKIZEUWJ,1,1,1,1,1
ZHFZIYGV,1,1,1,1,1
VKJNLFKN,1,1,1,1,1
LPKGYBNS,1,1,1,1,1
JSBDHKWF,1,1,1,1,1
TAPDREXC,1,1,1,1,1
FTGGGCVR,1,1,1,1,1
CEGEOLJT,1,1,1,1,1
JABUOWBM,1,1,1,1,1
RLOTSIPM,1,1,1,1,1
ZXUYGLCR,1,1,1,1,1
AKCTTAKF,1,1,1,1,1
RTRCFYYG,1,1,1,1,1
GEBTKRVV,1,1,1,1,1
LHWEWCGN,1,1,1,1,1
KLVZWTRU,1,1,1,1,1
OUDQCZUD,1,1,1,1,1
XSPJBFXD,1,1,1,1,1
DRUJCGSR,1,1,1,1,1
WFJSPXZD,1,1,1,1,1
GYMLETSW,1,1,1,1,1
QISRGKMF,1,1,1,1,1
VANGWTCT,1,1,1,1,1
WRMANEUJ,1,1,1,1,1
DGCGHVPT,1,1,1,1,1
ROESZTOX,1,1,1,1,1
WLFZZJMM,1,1,1,1,1
WBJIVYOQ,1,1,1,1,1
XKGHWXRK,1,1,1,1,1
POTCKPBG,1,1,1,1,1
VROBWNLA,1,1,1,1,1
OZAETSUO,1,1,1,1,1
ROBNWNHH,1,1,1,1,1
FYEIZHCD,1,1,1,1,1
OICKGLGP,1,1,1,1,1
BZGEMPPK,1,1,1,1,1
NRPOCILR,1,1,1,1,1
FEDDFXAX,1,1,1,1,1
UQYOSYIP,1,1,1,1,1
KXBXIOJF,1,1,1,1,1
TYYYMATY,1,1,1,1,1
IXMSVZGG,1,1,1,1,1
XLMPWUWH,1,1,1,1,1
HPHHSZYR,1,1,1,1,1
AIXRWBMU,1,1,1,1,1
AZBAYHEE,1,1,1,1,1
BKRICVGA,1,1,1,1,1
EGCOHEFT,1,1,1,1,1
VGNFFDKG,1,1,1,1,1
MZEWABUP,1,1,1,1,1
LJATIJPG,1,1,1,1,1
DHMRFPGF,1,1,1,1,1
XICVHOFI,1,1,1,1,1
ZEWBNDYR,1,1,1,1,1
VJDJMZBP,1,1,1,1,1
XSVLZQKZ,1,1,1,1,1
DJLRSHQW,1,1,1,1,1
EGWAUTFC,1,1,1,1,1
OPALSPKZ,1,1,1,1,1
HPJBFKZW,1,1,1,1,1
DDWSGPCO,1,1,1,1,1
HTPFVNZL,1,1,1,1,1
YMVFFXLA,1,1,1,1,1
JPHWTGBH,1,1,1,1,1
LVTCVVWA,1,1,1,1,1
IYVCYVSQ,1,1,1,1,1
YEXOMLEU,1,1,1,1,1
IFRWSZGA,1,1,1,1,1
YXDZKLUG,1,1,1,1,1
ODGDNDVL,1,1,1,1,1
ZFMRTNWQ,1,1,1,1,1
VZZSXBMD,1,1,1,1,1
NQPFWQQM,1,1,1,1,1
NEGHGMNM,1,1,1,1,1
RKLNLDIZ,1,1,1,1,1
CMUYHWGO,1,1,1,1,1
LXXEXQJE,1,1,1,1,1
SHFKINNN,1,1,1,1,1
TWQEWDDC,1,1,1,1,1
AHKDKCOO,1,1,1,1,1
SSTGRUPP,1,1,1,1,1
AJWNOBGE,1,1,1,1,1
BJHXRBMF,1,1,1,1,1
QPKTYNWO,1,1,1,1,1
TRZLJJWC,1,1,1,1,1
HGBMQPEQ,1,1,1,1,1
VNPTKLDG,1,1,1,1,1
