from,to,type,distance
AVN,LIG,D,60
AVN,LIL,D,90
AVN,LRT,D,90
AVN,LYS,D,45
AVN,MLH,D,65
AVN,MPL,D,40
AVN,MRS,D,35
AVN,NCE,D,45
AVN,NTE,D,80
AVN,ORY,D,75
AVN,PGF,D,50
AVN,PUF,D,65
AVN,RDZ,D,45
AVN,RNS,D,85
AVN,SXB,D,75
AVN,TLN,D,40
AVN,TLS,D,55
AVN,UIP,D,95
AVN,URO,D,85
BES,AJA,D,125
BES,AMS,C,90
BES,AVN,D,100
BES,BIA,D,125
BES,BIQ,D,75
BES,BOD,D,70
BES,CDG,D,80
BES,CFE,D,80
BES,CFR,D,55
BES,CLY,D,125
BES,ETZ,D,90
BES,FSC,D,130
BES,LDE,D,85
BES,LEH,D,60
BES,LGW,D,65
BES,LIG,D,70
BES,LIL,D,75
BES,LRT,D,40
BES,LYS,D,95
BES,MLH,D,100
BES,MPL,D,95
BES,MRS,D,100
BES,NCE,D,110
BES,NTE,D,45
BES,ORY,D,75
BES,PGF,D,95
BES,PUF,D,80
BES,RDZ,D,85
BES,RNS,D,45
BES,SXB,D,100
BES,TLN,D,110
BES,TLS,D,85
BES,UIP,D,35
BES,URO,D,65
BIA,AJA,D,40
BIA,AMS,C,120
BIA,AVN,D,60
BIA,BES,D,125
BIA,BIQ,D,100
BIA,BOD,D,95
BIA,CDG,D,100
BIA,CFE,D,80
BIA,CFR,D,110
BIA,CLY,D,35
BIA,ETZ,D,90
BIA,FSC,D,40
BIA,LDE,D,90
BIA,LEH,D,110
BIA,LGW,D,120
BIA,LIG,D,90
BIA,LIL,D,110
BIA,LRT,D,120
BIA,LYS,D,90
BIA,MLH,D,75
BIA,MPL,D,65
BIA,MRS,D,55
BIA,NCE,D,55
BIA,NTE,D,110
BIA,ORY,D,95
BIA,PGF,D,75
BIA,PUF,D,95
BIA,RDZ,D,75
BIA,RNS,D,110
BIA,SXB,D,85
BIA,TLN,D,55
BIA,TLS,D,80
BIA,UIP,D,125
BIA,URO,D,105
BIQ,AJA,D,95
BIQ,AMS,C,115
BIQ,AVN,D,70
BIQ,BES,D,75
BIQ,BIA,D,100
BIQ,BOD,D,45
BIQ,CDG,D,90
BIQ,CFE,D,65
BIQ,CFR,D,80
BIQ,CLY,D,95
BIQ,ETZ,D,95
BIQ,FSC,D,100
BIQ,LDE,D,40
BIQ,LEH,D,85
BIQ,LGW,D,95
BIQ,LIG,D,60
BIQ,LIL,D,95
BIQ,LRT,D,70
BIQ,LYS,D,80
BIQ,MLH,D,95
BIQ,MPL,D,65
BIQ,MRS,D,75
BIQ,NCE,D,80
BIQ,NTE,D,65
BIQ,ORY,D,80
BIQ,PGF,D,60
BIQ,PUF,D,40
BIQ,RDZ,D,55
BIQ,RNS,D,70
BIQ,SXB,D,100
BIQ,TLN,D,80
BIQ,TLS,D,50
BIQ,UIP,D,75
BIQ,URO,D,85
BOD,AJA,D,95
BOD,AMS,C,110
BOD,AVN,D,65
BOD,BES,D,70
BOD,BIA,D,95
BOD,BIQ,D,45
BOD,CDG,D,85
BOD,CFE,D,55
BOD,CFR,D,70
BOD,CLY,D,95
BOD,ETZ,D,85
BOD,FSC,D,100
BOD,LDE,D,45
BOD,LEH,D,70
BOD,LGW,D,85
BOD,LIG,D,45
BOD,LIL,D,85
BOD,LRT,D,60
BOD,LYS,D,70
BOD,MLH,D,85
BOD,MPL,D,60
BOD,MRS,D,65
BOD,NCE,D,75
BOD,NTE,D,55
BOD,ORY,D,70
BOD,PGF,D,60
BOD,PUF,D,45
BOD,RDZ,D,50
BOD,RNS,D,65
BOD,SXB,D,85
BOD,TLN,D,75
BOD,TLS,D,50
BOD,UIP,D,65
BOD,URO,D,70
CDG,AJA,D,100
CDG,AMS,C,60
CDG,AVN,D,75
CDG,BES,D,75
CDG,BIA,D,100
CDG,BIQ,D,85
CDG,BOD,D,80
CDG,CFE,D,60
CDG,CFR,D,50
CDG,CLY,D,95
CDG,ETZ,D,50
CDG,FSC,D,105
CDG,LDE,D,85
CDG,LEH,D,45
CDG,LGW,D,55
CDG,LIG,D,75
CDG,LIL,D,45
CDG,LRT,D,65
CDG,LYS,D,75
CDG,MLH,D,70
CDG,MPL,D,85
CDG,MRS,D,85
CDG,NCE,D,95
CDG,NTE,D,65
CDG,ORY,D,35
CDG,PGF,D,85
CDG,PUF,D,90
CDG,RDZ,D,70
CDG,RNS,D,65
CDG,SXB,D,70
CDG,TLN,D,85
CDG,TLS,D,85
CDG,UIP,D,70
CDG,URO,D,40
CFE,AJA,D,80
CFE,AMS,C,95
CFE,AVN,D,50
CFE,BES,D,80
CFE,BIA,D,80
CFE,BIQ,D,60
CFE,BOD,D,50
CFE,CDG,D,65
CFE,CFR,D,65
CFE,CLY,D,75
CFE,ETZ,D,75
CFE,FSC,D,85
CFE,LDE,D,60
CFE,LEH,D,70
CFE,LGW,D,80
CFE,LIG,D,45
CFE,LIL,D,85
CFE,LRT,D,75
CFE,LYS,D,40
CFE,MLH,D,65
CFE,MPL,D,50
CFE,MRS,D,55
CFE,NCE,D,70
CFE,NTE,D,60
CFE,ORY,D,55
CFE,PGF,D,60
CFE,PUF,D,60
CFE,RDZ,D,45
CFE,RNS,D,65
CFE,SXB,D,75
CFE,TLN,D,60
CFE,TLS,D,55
CFE,UIP,D,80
CFE,URO,D,65
CFR,AJA,D,115
CFR,AMS,C,70
CFR,AVN,D,85
CFR,BES,D,55
CFR,BIA,D,110
CFR,BIQ,D,80
CFR,BOD,D,70
CFR,CDG,D,50
CFR,CFE,D,65
CFR,CLY,D,110
CFR,ETZ,D,70
CFR,FSC,D,115
CFR,LDE,D,85
CFR,LEH,D,20
CFR,LGW,D,50
CFR,LIG,D,60
CFR,LIL,D,55
CFR,LRT,D,50
CFR,LYS,D,70
CFR,MLH,D,80
CFR,MPL,D,85
CFR,MRS,D,90
CFR,NCE,D,95
CFR,NTE,D,50
CFR,ORY,D,50
CFR,PGF,D,90
CFR,PUF,D,80
CFR,RDZ,D,75
CFR,RNS,D,45
CFR,SXB,D,75
CFR,TLN,D,95
CFR,TLS,D,80
CFR,UIP,D,55
CFR,URO,D,40
CLY,AJA,D,35
CLY,AMS,C,115
CLY,AVN,D,60
CLY,BES,D,125
CLY,BIA,D,35
CLY,BIQ,D,95
CLY,BOD,D,95
CLY,CDG,D,95
CLY,CFE,D,75
CLY,CFR,D,110
CLY,ETZ,D,90
CLY,FSC,D,40
CLY,LDE,D,85
CLY,LEH,D,110
CLY,LGW,D,120
CLY,LIG,D,85
CLY,LIL,D,105
CLY,LRT,D,115
CLY,LYS,D,65
CLY,MLH,D,75
CLY,MPL,D,65
CLY,MRS,D,60
CLY,NCE,D,45
CLY,NTE,D,105
CLY,ORY,D,90
CLY,PGF,D,70
CLY,PUF,D,90
CLY,RDZ,D,75
CLY,RNS,D,110
CLY,SXB,D,85
CLY,TLN,D,50
CLY,TLS,D,80
CLY,UIP,D,120
CLY,URO,D,105
ETZ,AJA,D,95
ETZ,AMS,C,60
ETZ,AVN,D,75
ETZ,BES,D,90
ETZ,BIA,D,90
ETZ,BIQ,D,95
ETZ,BOD,D,85
ETZ,CDG,D,50
ETZ,CFE,D,70
ETZ,CFR,D,70
ETZ,CLY,D,90
ETZ,FSC,D,95
ETZ,LDE,D,95
ETZ,LEH,D,65
ETZ,LGW,D,70
ETZ,LIG,D,70
ETZ,LIL,D,55
ETZ,LRT,D,85
ETZ,LYS,D,65
ETZ,MLH,D,45
ETZ,MPL,D,80
ETZ,MRS,D,100
ETZ,NCE,D,75
ETZ,NTE,D,80
ETZ,ORY,D,70
ETZ,PGF,D,90
ETZ,PUF,D,95
ETZ,RDZ,D,75
ETZ,RNS,D,75
ETZ,SXB,D,40
ETZ,TLN,D,80
ETZ,TLS,D,85
ETZ,UIP,D,90
ETZ,URO,D,60
FSC,AJA,D,35
FSC,AMS,C,125
FSC,AVN,D,65
FSC,BES,D,130
FSC,BIA,D,40
FSC,BIQ,D,100
FSC,BOD,D,100
FSC,CDG,D,105
FSC,CFE,D,85
FSC,CFR,D,115
FSC,CLY,D,40
FSC,ETZ,D,95
FSC,LDE,D,90
FSC,LEH,D,115
FSC,LGW,D,130
FSC,LIG,D,90
FSC,LIL,D,115
FSC,LRT,D,125
FSC,LYS,D,75
FSC,MLH,D,85
FSC,MPL,D,70
FSC,MRS,D,75
FSC,NCE,D,60
FSC,NTE,D,110
FSC,ORY,D,105
FSC,PGF,D,75
FSC,PUF,D,95
FSC,RDZ,D,80
FSC,RNS,D,115
FSC,SXB,D,90
FSC,TLN,D,55
FSC,TLS,D,85
FSC,UIP,D,130
FSC,URO,D,115
LDE,AJA,D,85
LDE,AMS,C,115
LDE,AVN,D,65
LDE,BES,D,85
LDE,BIA,D,90
LDE,BIQ,D,40
LDE,BOD,D,45
LDE,CDG,D,85
LDE,CFE,D,60
LDE,CFR,D,85
LDE,CLY,D,85
LDE,ETZ,D,95
LDE,FSC,D,90
LDE,LEH,D,85
LDE,LGW,D,100
LDE,LIG,D,55
LDE,LIL,D,95
LDE,LRT,D,75
LDE,LYS,D,70
LDE,MLH,D,90
LDE,MPL,D,55
LDE,MRS,D,65
LDE,NCE,D,75
LDE,NTE,D,65
LDE,ORY,D,85
LDE,PGF,D,50
LDE,PUF,D,35
LDE,RDZ,D,50
LDE,RNS,D,75
LDE,SXB,D,95
LDE,TLN,D,70
LDE,TLS,D,40
LDE,UIP,D,80
LDE,URO,D,85
LEH,AJA,D,115
LEH,AMS,C,65
LEH,AVN,D,85
LEH,BES,D,60
LEH,BIA,D,110
LEH,BIQ,D,85
LEH,BOD,D,70
LEH,CDG,D,45
LEH,CFE,D,70
LEH,CFR,D,20
LEH,CLY,D,110
LEH,ETZ,D,65
LEH,FSC,D,115
LEH,LDE,D,85
LEH,LGW,D,45
LEH,LIG,D,65
LEH,LIL,D,50
LEH,LRT,D,55
LEH,LYS,D,90
LEH,MLH,D,75
LEH,MPL,D,85
LEH,MRS,D,90
LEH,NCE,D,95
LEH,NTE,D,55
LEH,ORY,D,45
LEH,PGF,D,90
LEH,PUF,D,85
LEH,RDZ,D,75
LEH,RNS,D,50
LEH,SXB,D,75
LEH,TLN,D,95
LEH,TLS,D,80
LEH,UIP,D,60
LEH,URO,D,20
LGW,AJA,D,125
LGW,AMS,C,60
LGW,AVN,D,100
LGW,BES,D,65
LGW,BIA,D,120
LGW,BIQ,D,95
LGW,BOD,D,85
LGW,CDG,D,55
LGW,CFE,D,80
LGW,CFR,D,50
LGW,CLY,D,120
LGW,ETZ,D,70
LGW,FSC,D,130
LGW,LDE,D,100
LGW,LEH,D,45
LGW,LIG,D,75
LGW,LIL,D,50
LGW,LRT,D,65
LGW,LYS,D,85
LGW,MLH,D,85
LGW,MPL,D,100
LGW,MRS,D,105
LGW,NCE,D,105
LGW,NTE,D,65
LGW,ORY,D,55
LGW,PGF,D,105
LGW,PUF,D,100
LGW,RDZ,D,90
LGW,RNS,D,60
LGW,SXB,D,90
LGW,TLN,D,110
LGW,TLS,D,95
LGW,UIP,D,65
LGW,URO,D,50
LIG,AJA,D,90
LIG,AMS,C,90
LIG,AVN,D,60
LIG,BES,D,70
LIG,BIA,D,90
LIG,BIQ,D,60
LIG,BOD,D,45
LIG,CDG,D,75
LIG,CFE,D,45
LIG,CFR,D,60
LIG,CLY,D,85
LIG,ETZ,D,70
LIG,FSC,D,90
LIG,LDE,D,55
LIG,LEH,D,65
LIG,LGW,D,75
LIG,LIL,D,75
LIG,LRT,D,65
LIG,LYS,D,65
LIG,MLH,D,70
LIG,MPL,D,55
LIG,MRS,D,65
LIG,NCE,D,70
LIG,NTE,D,50
LIG,ORY,D,70
LIG,PGF,D,60
LIG,PUF,D,55
LIG,RDZ,D,45
LIG,RNS,D,55
LIG,SXB,D,75
LIG,TLN,D,70
LIG,TLS,D,50
LIG,UIP,D,65
LIG,URO,D,60
LIL,AJA,D,110
LIL,AMS,C,50
LIL,AVN,D,90
LIL,BES,D,75
LIL,BIA,D,110
LIL,BIQ,D,95
LIL,BOD,D,80
LIL,CDG,D,45
LIL,CFE,D,85
LIL,CFR,D,55
LIL,CLY,D,105
LIL,ETZ,D,55
LIL,FSC,D,115
LIL,LDE,D,95
LIL,LEH,D,50
LIL,LGW,D,50
LIL,LIG,D,75
LIL,LRT,D,75
LIL,LYS,D,75
LIL,MLH,D,65
LIL,MPL,D,90
LIL,MRS,D,95
LIL,NCE,D,105
LIL,NTE,D,70
LIL,ORY,D,50
LIL,PGF,D,95
LIL,PUF,D,95
LIL,RDZ,D,85
LIL,RNS,D,65
LIL,SXB,D,60
LIL,TLN,D,95
LIL,TLS,D,90
LIL,UIP,D,75
LIL,URO,D,45
LRT,AJA,D,120
LRT,AMS,C,90
LRT,AVN,D,90
LRT,BES,D,40
LRT,BIA,D,120
LRT,BIQ,D,70
LRT,BOD,D,60
LRT,CDG,D,65
LRT,CFE,D,75
LRT,CFR,D,50
LRT,CLY,D,115
LRT,ETZ,D,85
LRT,FSC,D,125
LRT,LDE,D,75
LRT,LEH,D,55
LRT,LGW,D,65
LRT,LIG,D,65
LRT,LIL,D,75
LRT,LYS,D,85
LRT,MLH,D,95
LRT,MPL,D,90
LRT,MRS,D,95
LRT,NCE,D,105
LRT,NTE,D,45
LRT,ORY,D,70
LRT,PGF,D,90
LRT,PUF,D,75
LRT,RDZ,D,75
LRT,RNS,D,40
LRT,SXB,D,95
LRT,TLN,D,100
LRT,TLS,D,75
LRT,UIP,D,35
LRT,URO,D,60
LYS,AJA,D,90
LYS,AMS,C,85
LYS,AVN,D,45
LYS,BES,D,95
LYS,BIA,D,90
LYS,BIQ,D,75
LYS,BOD,D,65
LYS,CDG,D,75
LYS,CFE,D,40
LYS,CFR,D,75
LYS,CLY,D,65
LYS,ETZ,D,65
LYS,FSC,D,75
LYS,LDE,D,70
LYS,LEH,D,90
LYS,LGW,D,85
LYS,LIG,D,70
LYS,LIL,D,75
LYS,LRT,D,90
LYS,MLH,D,60
LYS,MPL,D,65
LYS,MRS,D,60
LYS,NCE,D,60
LYS,NTE,D,75
LYS,ORY,D,65
LYS,PGF,D,60
LYS,PUF,D,70
LYS,RDZ,D,50
LYS,RNS,D,80
LYS,SXB,D,65
LYS,TLN,D,55
LYS,TLS,D,75
LYS,UIP,D,85
LYS,URO,D,80
MLH,AJA,D,80
MLH,AMS,C,75
MLH,AVN,D,65
MLH,BES,D,100
MLH,BIA,D,75
MLH,BIQ,D,95
MLH,BOD,D,85
MLH,CDG,D,75
MLH,CFE,D,70
MLH,CFR,D,80
MLH,CLY,D,75
MLH,ETZ,D,45
MLH,FSC,D,85
MLH,LDE,D,90
MLH,LEH,D,75
MLH,LGW,D,85
MLH,LIG,D,70
MLH,LIL,D,65
MLH,LRT,D,95
MLH,LYS,D,65
MLH,MPL,D,70
MLH,MRS,D,70
MLH,NCE,D,65
MLH,NTE,D,85
MLH,ORY,D,70
MLH,PGF,D,80
MLH,PUF,D,90
MLH,RDZ,D,70
MLH,RNS,D,110
MLH,SXB,D,40
MLH,TLN,D,70
MLH,TLS,D,80
MLH,UIP,D,100
MLH,URO,D,70
MPL,AJA,D,65
MPL,AMS,C,105
MPL,AVN,D,40
MPL,BES,D,95
MPL,BIA,D,65
MPL,BIQ,D,65
MPL,BOD,D,60
MPL,CDG,D,90
MPL,CFE,D,50
MPL,CFR,D,85
MPL,CLY,D,65
MPL,ETZ,D,80
MPL,FSC,D,70
MPL,LDE,D,55
MPL,LEH,D,85
MPL,LGW,D,100
MPL,LIG,D,55
MPL,LIL,D,90
MPL,LRT,D,90
MPL,LYS,D,65
MPL,MLH,D,70
MPL,MRS,D,40
MPL,NCE,D,50
MPL,NTE,D,80
MPL,ORY,D,85
MPL,PGF,D,40
MPL,PUF,D,60
MPL,RDZ,D,45
MPL,RNS,D,80
MPL,SXB,D,80
MPL,TLN,D,45
MPL,TLS,D,50
MPL,UIP,D,90
MPL,URO,D,85
MRS,AJA,D,55
MRS,AMS,C,105
MRS,AVN,D,35
MRS,BES,D,100
MRS,BIA,D,55
MRS,BIQ,D,75
MRS,BOD,D,70
MRS,CDG,D,90
MRS,CFE,D,60
MRS,CFR,D,90
MRS,CLY,D,60
MRS,ETZ,D,100
MRS,FSC,D,75
MRS,LDE,D,65
MRS,LEH,D,90
MRS,LGW,D,105
MRS,LIG,D,65
MRS,LIL,D,95
MRS,LRT,D,95
MRS,LYS,D,60
MRS,MLH,D,70
MRS,MPL,D,40
MRS,NCE,D,45
MRS,NTE,D,85
MRS,ORY,D,80
MRS,PGF,D,45
MRS,PUF,D,65
MRS,RDZ,D,50
MRS,RNS,D,90
MRS,SXB,D,80
MRS,TLN,D,40
MRS,TLS,D,55
MRS,UIP,D,100
MRS,URO,D,85
NCE,AJA,D,55
NCE,AMS,C,105
NCE,AVN,D,45
NCE,BES,D,115
NCE,BIA,D,55
NCE,BIQ,D,80
NCE,BOD,D,85
NCE,CDG,D,95
NCE,CFE,D,75
NCE,CFR,D,95
NCE,CLY,D,45
NCE,ETZ,D,80
NCE,FSC,D,60
NCE,LDE,D,75
NCE,LEH,D,95
NCE,LGW,D,105
NCE,LIG,D,70
NCE,LIL,D,100
NCE,LRT,D,105
NCE,LYS,D,55
NCE,MLH,D,65
NCE,MPL,D,50
NCE,MRS,D,45
NCE,NTE,D,95
NCE,ORY,D,85
NCE,PGF,D,60
NCE,PUF,D,80
NCE,RDZ,D,60
NCE,RNS,D,100
NCE,SXB,D,80
NCE,TLN,D,40
NCE,TLS,D,85
NCE,UIP,D,105
NCE,URO,D,90
NTE,AJA,D,110
NTE,AMS,C,90
NTE,AVN,D,80
NTE,BES,D,40
NTE,BIA,D,110
NTE,BIQ,D,65
NTE,BOD,D,50
NTE,CDG,D,65
NTE,CFE,D,60
NTE,CFR,D,50
NTE,CLY,D,105
NTE,ETZ,D,80
NTE,FSC,D,110
NTE,LDE,D,65
NTE,LEH,D,55
NTE,LGW,D,65
NTE,LIG,D,50
NTE,LIL,D,65
NTE,LRT,D,45
NTE,LYS,D,75
NTE,MLH,D,85
NTE,MPL,D,80
NTE,MRS,D,80
NTE,NCE,D,90
NTE,ORY,D,60
NTE,PGF,D,75
NTE,PUF,D,65
NTE,RDZ,D,65
NTE,RNS,D,40
NTE,SXB,D,80
NTE,TLN,D,90
NTE,TLS,D,60
NTE,UIP,D,50
NTE,URO,D,55
ORY,AJA,D,100
ORY,AMS,C,65
ORY,AVN,D,75
ORY,BES,D,70
ORY,BIA,D,95
ORY,BIQ,D,75
ORY,BOD,D,65
ORY,CDG,D,35
ORY,CFE,D,55
ORY,CFR,D,50
ORY,CLY,D,95
ORY,ETZ,D,60
ORY,FSC,D,105
ORY,LDE,D,80
ORY,LEH,D,45
ORY,LGW,D,55
ORY,LIG,D,65
ORY,LIL,D,50
ORY,LRT,D,65
ORY,LYS,D,65
ORY,MLH,D,60
ORY,MPL,D,80
ORY,MRS,D,75
ORY,NCE,D,85
ORY,NTE,D,60
ORY,PGF,D,85
ORY,PUF,D,80
ORY,RDZ,D,65
ORY,RNS,D,60
ORY,SXB,D,60
ORY,TLN,D,85
ORY,TLS,D,80
ORY,UIP,D,70
ORY,URO,D,40
PGF,AJA,D,70
PGF,AMS,C,115
PGF,AVN,D,50
PGF,BES,D,95
PGF,BIA,D,75
PGF,BIQ,D,60
PGF,BOD,D,60
PGF,CDG,D,85
PGF,CFE,D,60
PGF,CFR,D,90
PGF,CLY,D,70
PGF,ETZ,D,90
PGF,FSC,D,75
PGF,LDE,D,50
PGF,LEH,D,90
PGF,LGW,D,105
PGF,LIG,D,60
PGF,LIL,D,95
PGF,LRT,D,90
PGF,LYS,D,60
PGF,MLH,D,80
PGF,MPL,D,40
PGF,MRS,D,45
PGF,NCE,D,60
PGF,NTE,D,75
PGF,ORY,D,85
PGF,PUF,D,55
PGF,RDZ,D,45
PGF,RNS,D,85
PGF,SXB,D,90
PGF,TLN,D,50
PGF,TLS,D,45
PGF,UIP,D,90
PGF,URO,D,90
PUF,AJA,D,90
PUF,AMS,C,115
PUF,AVN,D,65
PUF,BES,D,80
PUF,BIA,D,95
PUF,BIQ,D,40
PUF,BOD,D,45
PUF,CDG,D,90
PUF,CFE,D,60
PUF,CFR,D,80
PUF,CLY,D,90
PUF,ETZ,D,95
PUF,FSC,D,95
PUF,LDE,D,35
PUF,LEH,D,85
PUF,LGW,D,100
PUF,LIG,D,55
PUF,LIL,D,95
PUF,LRT,D,75
PUF,LYS,D,70
PUF,MLH,D,90
PUF,MPL,D,60
PUF,MRS,D,65
PUF,NCE,D,80
PUF,NTE,D,65
PUF,ORY,D,80
PUF,PGF,D,55
PUF,RDZ,D,50
PUF,RNS,D,75
PUF,SXB,D,95
PUF,TLN,D,70
PUF,TLS,D,45
PUF,UIP,D,75
PUF,URO,D,85
RDZ,AJA,D,75
RDZ,AMS,C,100
RDZ,AVN,D,45
RDZ,BES,D,85
RDZ,BIA,D,75
RDZ,BIQ,D,55
RDZ,BOD,D,50
RDZ,CDG,D,70
RDZ,CFE,D,45
RDZ,CFR,D,75
RDZ,CLY,D,75
RDZ,ETZ,D,75
RDZ,FSC,D,80
RDZ,LDE,D,50
RDZ,LEH,D,75
RDZ,LGW,D,90
RDZ,LIG,D,45
RDZ,LIL,D,85
RDZ,LRT,D,75
RDZ,LYS,D,50
RDZ,MLH,D,70
RDZ,MPL,D,45
RDZ,MRS,D,50
RDZ,NCE,D,60
RDZ,NTE,D,65
RDZ,ORY,D,75
RDZ,PGF,D,45
RDZ,PUF,D,50
RDZ,RNS,D,70
RDZ,SXB,D,80
RDZ,TLN,D,55
RDZ,TLS,D,40
RDZ,UIP,D,80
RDZ,URO,D,75
RNS,AJA,D,115
RNS,AMS,C,80
RNS,AVN,D,85
RNS,BES,D,45
RNS,BIA,D,110
RNS,BIQ,D,70
RNS,BOD,D,60
RNS,CDG,D,60
RNS,CFE,D,65
RNS,CFR,D,45
RNS,CLY,D,110
RNS,ETZ,D,75
RNS,FSC,D,115
RNS,LDE,D,75
RNS,LEH,D,50
RNS,LGW,D,60
RNS,LIG,D,55
RNS,LIL,D,65
RNS,LRT,D,40
RNS,LYS,D,75
RNS,MLH,D,100
RNS,MPL,D,75
RNS,MRS,D,85
RNS,NCE,D,95
RNS,NTE,D,40
RNS,ORY,D,65
RNS,PGF,D,85
RNS,PUF,D,75
RNS,RDZ,D,70
RNS,SXB,D,80
RNS,TLN,D,95
RNS,TLS,D,65
RNS,UIP,D,45
RNS,URO,D,50
SXB,AJA,D,90
SXB,AMS,C,65
SXB,AVN,D,75
SXB,BES,D,100
SXB,BIA,D,85
SXB,BIQ,D,100
SXB,BOD,D,85
SXB,CDG,D,70
SXB,CFE,D,80
SXB,CFR,D,75
SXB,CLY,D,85
SXB,ETZ,D,40
SXB,FSC,D,90
SXB,LDE,D,95
SXB,LEH,D,75
SXB,LGW,D,85
SXB,LIG,D,75
SXB,LIL,D,60
SXB,LRT,D,95
SXB,LYS,D,60
SXB,MLH,D,40
SXB,MPL,D,80
SXB,MRS,D,75
SXB,NCE,D,80
SXB,NTE,D,80
SXB,ORY,D,60
SXB,PGF,D,90
SXB,PUF,D,95
SXB,RDZ,D,80
SXB,RNS,D,80
SXB,TLN,D,80
SXB,TLS,D,85
SXB,UIP,D,100
SXB,URO,D,70
TLN,AJA,D,50
TLN,AMS,C,110
TLN,AVN,D,40
TLN,BES,D,110
TLN,BIA,D,55
TLN,BIQ,D,80
TLN,BOD,D,75
TLN,CDG,D,85
TLN,CFE,D,60
TLN,CFR,D,95
TLN,CLY,D,50
TLN,ETZ,D,80
TLN,FSC,D,55
TLN,LDE,D,70
TLN,LEH,D,95
TLN,LGW,D,110
TLN,LIG,D,70
TLN,LIL,D,95
TLN,LRT,D,100
TLN,LYS,D,55
TLN,MLH,D,70
TLN,MPL,D,45
TLN,MRS,D,40
TLN,NCE,D,40
TLN,NTE,D,90
TLN,ORY,D,90
TLN,PGF,D,50
TLN,PUF,D,70
TLN,RDZ,D,55
TLN,RNS,D,95
TLN,SXB,D,80
TLN,TLS,D,60
TLN,UIP,D,105
TLN,URO,D,90
TLS,AJA,D,80
TLS,AMS,C,135
TLS,AVN,D,55
TLS,BES,D,85
TLS,BIA,D,80
TLS,BIQ,D,50
TLS,BOD,D,50
TLS,CDG,D,90
TLS,CFE,D,55
TLS,CFR,D,80
TLS,CLY,D,80
TLS,ETZ,D,85
TLS,FSC,D,85
TLS,LDE,D,40
TLS,LEH,D,80
TLS,LGW,D,95
TLS,LIG,D,50
TLS,LIL,D,95
TLS,LRT,D,75
TLS,LYS,D,70
TLS,MLH,D,80
TLS,MPL,D,50
TLS,MRS,D,55
TLS,NCE,D,80
TLS,NTE,D,60
TLS,ORY,D,80
TLS,PGF,D,45
TLS,PUF,D,45
TLS,RDZ,D,40
TLS,RNS,D,70
TLS,SXB,D,90
TLS,TLN,D,60
TLS,UIP,D,80
TLS,URO,D,80
UIP,AJA,D,125
UIP,AMS,C,95
UIP,AVN,D,95
UIP,BES,D,35
UIP,BIA,D,125
UIP,BIQ,D,75
UIP,BOD,D,65
UIP,CDG,D,70
UIP,CFE,D,80
UIP,CFR,D,55
UIP,CLY,D,120
UIP,ETZ,D,90
UIP,FSC,D,130
UIP,LDE,D,80
UIP,LEH,D,60
UIP,LGW,D,65
UIP,LIG,D,65
UIP,LIL,D,75
UIP,LRT,D,35
UIP,LYS,D,85
UIP,MLH,D,100
UIP,MPL,D,90
UIP,MRS,D,100
UIP,NCE,D,105
UIP,NTE,D,50
UIP,ORY,D,70
UIP,PGF,D,90
UIP,PUF,D,75
UIP,RDZ,D,80
UIP,RNS,D,45
UIP,SXB,D,100
UIP,TLN,D,105
UIP,TLS,D,80
UIP,URO,D,65
