crew_id,MLH,ORY,URO
FXUFOFWD,1,1,1
DFAQAXNN,1,1,1
GDKVWPWS,1,1,1
FLJPMNRV,1,1,1
FVHEIPBS,1,1,1
NPLIIPER,1,1,1
DYYENNSB,1,1,1
WHAQFWCT,1,1,1
RLGGIXLY,1,1,1
OVTAHBHX,1,1,1
EPACOBZF,1,1,1
QKBIPDTC,1,1,1
UKJBUEGI,1,1,1
XWFAHNPD,1,1,1
UEDTFVXZ,1,1,1
OENOEZTW,1,1,1
PJYTSNPF,1,1,1
LAXNFILJ,1,1,1
WMYGQEZH,1,1,1
CAUIRGUX,1,1,1
CTYNVTKX,1,1,1
KWEZEGYJ,1,1,1
ZUZKFDDB,1,1,1
OBIIIZCF,1,1,1
PGEFUJXR,1,1,1
WITLOTXT,1,1,1
FJXDAJAL,1,1,1
ZIOAFXOV,1,1,1
TQYXLCMB,1,1,1
XBAWCYBQ,1,1,1
VBLMJLRO,1,1,1
LKTMUTMW,1,1,1
YBZNOBGI,1,1,1
LEQSOIIP,1,1,1
QVYMJAUF,1,1,1
MSVYFEFG,1,1,1
JFOWPKWW,1,1,1
IKBUJFKN,1,1,1
NEIFZGRM,1,1,1
AJYTDOCO,1,1,1
EHLMHIZM,1,1,1
LEQWIGDE,1,1,1
DIVUWDXP,1,1,1
TDRETOTO,1,1,1
PVNNYLPP,1,1,1
WUMTDOSI,1,1,1
KKIVKCEB,1,1,1
ZMWFPDMY,1,1,1
MZURQKVC,1,1,1
XDVTVOUK,1,1,1
MQYUGIAQ,1,1,1
CJCKTMQW,1,1,1
SSUTZNUU,1,1,1
KAJJEJJT,1,1,1
VPEDOMYA,1,1,1
BSPBSGUO,1,1,1
SWHPFHSL,1,1,1
WKXYZZMQ,1,1,1
OAKKDIDP,1,1,1
IKVCHACK,1,1,1
WLLTNPDO,1,1,1
XTSCVHRB,1,1,1
DAJMXVTG,1,1,1
MIZUEQBJ,1,1,1
BFCTVYDJ,1,1,1
BGJNLMPH,1,1,1
IJAWYIGP,1,1,1
KBWUAHSH,1,1,1
CPMZNPPH,1,1,1
MCBKKILP,1,1,1
QFNYQDFU,1,1,1
KTBYMRFA,1,1,1
NAKVVAQY,1,1,1
MXSKOZQO,1,1,1
VRXERCJS,1,1,1
XPZYPVAK,1,1,1
MQYZNWIY,1,1,1
CPAAIYZU,1,1,1
SXJBQITH,1,1,1
PNEHYUAZ,1,1,1
IDNNHSMX,1,1,1
DFOFIABP,1,1,1
KMCJHIWE,1,1,1
TVUXRXIT,1,1,1
TUMDBXUS,1,1,1
DGLVXMBO,1,1,1
MTQQJXAY,1,1,1
JNXSOSYF,1,1,1
WUOEDZLS,1,1,1
MILUDOGQ,1,1,1
SOSERYHA,1,1,1
JFFIKTEN,1,1,1
VHWFLQNM,1,1,1
UTYZHISR,1,1,1
MCSABXJT,1,1,1
TYSRZPLB,1,1,1
GQLWHIEO,1,1,1
JBGQAKYZ,1,1,1
WVNSGEZS,1,1,1
IQZTEPPV,1,1,1
IXZGMMWY,1,1,1
MKUSUWHD,1,1,1
IHONVQFT,1,1,1
NURGRMKL,1,1,1
WRNJQVTX,1,1,1
NPTUULCA,1,1,1
ZGIQAWJC,1,1,1
ZFEWLURI,1,1,1
ZMLZAKRF,1,1,1
XKQWJEXD,1,1,1
PPCKEKRN,1,1,1
RKFGGSSM,1,1,1
AFLAUVOI,1,1,1
KMIYZHBA,1,1,1
WUSNHBTL,1,1,1
APKLOOAV,1,1,1
QNWKDBHL,1,1,1
WNIAGNSG,1,1,1
EWNEJTXV,1,1,1
DAUNDPFZ,1,1,1
NOYVMAVH,1,1,1
IJWTEJMA,1,1,1
ZDVXKLRZ,1,1,1
JRPQCXWQ,1,1,1
GXKTWHIR,1,1,1
HMKJIYPK,1,1,1
UTQNBNQR,1,1,1
BTKAUCJZ,1,1,1
YDRZMKED,1,1,1
ETPFXATW,1,1,1
JCOPWESG,1,1,1
PVVROFYK,1,1,1
UIXYXLWK,1,1,1
PHVIJYWU,1,1,1
XTYFROUW,1,1,1
XPHFQOEU,1,1,1
TAERLIWR,1,1,1
IZOWNPAC,1,1,1
KHLGNCKW,1,1,1
BTMXQZBS,1,1,1
JXNUCXGK,1,1,1
NRPFPQGG,1,1,1
PVWTQHVU,1,1,1
INZBICMA,1,1,1
KQASLVGA,1,1,1
YHVGQUYS,1,1,1
XZHLOHUS,1,1,1
AQIBQREB,1,1,1
GRXPLWPU,1,1,1
CLQWGHDQ,1,1,1
GMLCHPRH,1,1,1
YVFXKYDA,1,1,1
HTBVUKUC,1,1,1
RWNQFMUC,1,1,1
TRWNSLKE,1,1,1
DAOFDEMA,1,1,1
RBTRCRUK,1,1,1
SIHKOKLA,1,1,1
YHVNPCIX,1,1,1
YJQSSBWB,1,1,1
JXUXYZJK,1,1,1
HPNOYGBK,1,1,1
JEIWMTOP,1,1,1
AFGZXAAW,1,1,1
YZZTSPVM,1,1,1
YCBXGTUA,1,1,1
PLDFPRMJ,1,1,1
RGTMQWPO,1,1,1
KFXMEOBM,1,1,1
WKIJZCVE,1,1,1
CVFOWGII,1,1,1
PSTEJUAN,1,1,1
JCHQTEYF,1,1,1
RFAAEWEW,1,1,1
CJDAELQG,1,1,1
JBIDSVNU,1,1,1
ADLDQXEO,1,1,1
PDVZWUVI,1,1,1
BZNGAXKQ,1,1,1
YYMCMUGW,1,1,1
XAIZEDEQ,1,1,1
MVKUMIXX,1,1,1
ULEYQRXU,1,1,1
ZSTDRENG,1,1,1
HDFKVHSK,1,1,1
JSMLFRMY,1,1,1
ZDXDLFPT,1,1,1
FHQTTIQC,1,1,1
KGPCRJWO,1,1,1
VZXOXYXG,1,1,1
DAQKEYFR,1,1,1
ZOYEONKU,1,1,1
GJBSLDEP,1,1,1
JNHDANVJ,1,1,1
KYKIXTCI,1,1,1
IAYUVWRY,1,1,1
SQPABOGI,1,1,1
GVAYEVEH,1,1,1
AFEWMHPH,1,1,1
ZSJNHECG,1,1,1
IOBRUBTG,1,1,1
FWOPFLEW,1,1,1
EXCOTKSY,1,1,1
MFBEYDNH,1,1,1
GXKOHQOY,1,1,1
NYAOOOSK,1,1,1
RPCPXLXA,1,1,1
UMETNIYQ,1,1,1
JPRRHOKR,1,1,1
OYJLMZLN,1,1,1
XDJUDVBS,1,1,1
KUVKHCTA,1,1,1
SYLLUTFR,1,1,1
EJMUEDYZ,1,1,1
NWHTVABG,1,1,1
TGMRYMHX,1,1,1
JGZJZVTU,1,1,1
EGSRSXWR,1,1,1
IOPRQTJT,1,1,1
BCSLEVYW,1,1,1
XAUFMJPY,1,1,1
RDPJZSWA,1,1,1
LIISUONF,1,1,1
PPFUHWPO,1,1,1
UPWYRXPS,1,1,1
DEULDMXV,1,1,1
NSPFFBRH,1,1,1
PJPDQRVG,1,1,1
GUEHSLLJ,1,1,1
ASKMTGHH,1,1,1
POXWRUWT,1,1,1
OTXILXQK,1,1,1
HCEAYAZG,1,1,1
TEXYVHUD,1,1,1
VCOVQMCM,1,1,1
PHNPWPWS,1,1,1
GPVXJHUE,1,1,1
KNMUKFDM,1,1,1
BAVHKMXV,1,1,1
LREMPBIN,1,1,1
VIXITVZA,1,1,1
QCLAMYNI,1,1,1
OYNRYIUD,1,1,1
KFBUHHLC,1,1,1
HHBLWGPS,1,1,1
EPCVHPMP,1,1,1
DKUWGDQO,1,1,1
GJSMXEZO,1,1,1
CRXKUYLM,1,1,1
KVXXBMFP,1,1,1
VRJESPTH,1,1,1
VZGOQRMF,1,1,1
BQVAKNYB,1,1,1
UKFZGQSY,1,1,1
UCTXQILA,1,1,1
NMULNYEO,1,1,1
DZBPLYMU,1,1,1
SANJVFZS,1,1,1
ONVFARMQ,1,1,1
FMVJIVSN,1,1,1
DTHVPNEZ,1,1,1
JVPQQSFM,1,1,1
BRXFQJUD,1,1,1
SMARPUVZ,1,1,1
XXGEXYFI,1,1,1
VQNGGWKC,1,1,1
HOAHPEOW,1,1,1
RDKHHTKG,1,1,1
XTYEFOTW,1,1,1
OMLNSSJU,1,1,1
SAFBOXAJ,1,1,1
BQFRXWQH,1,1,1
PWDUYNWL,1,1,1
AOAEPCOO,1,1,1
FRQKBVLS,1,1,1
VMUINROM,1,1,1
FOUESTJK,1,1,1
OZFWABSH,1,1,1
FOSBJDQY,1,1,1
DCAUUOGI,1,1,1
MEXDJJTH,1,1,1
DJPPYWQF,1,1,1
STVKSRTL,1,1,1
QKMGASUI,1,1,1
VSSKILHM,1,1,1
GRLMTPQL,1,1,1
EKFKNQJY,1,1,1
XXJIMICJ,1,1,1
JVZACWEF,1,1,1
QBITBLPZ,1,1,1
PEPONOPU,1,1,1
GJMULVGR,1,1,1
JKVZDKVB,1,1,1
GFQBFOQH,1,1,1
WXLHIXVJ,1,1,1
XJUEYIGL,1,1,1
YCJVNPJZ,1,1,1
WAKCWKJV,1,1,1
NBHMSEPG,1,1,1
CKLEOBOG,1,1,1
PZUDKCEW,1,1,1
DRMARIAF,1,1,1
OLLQAUDL,1,1,1
CLPNGPOP,1,1,1
ZFXFVNFU,1,1,1
PBRPMDFC,1,1,1
DGYTHNPE,1,1,1
GGSHLVCM,1,1,1
MLYXRBOX,1,1,1
MCOMZUEY,1,1,1
HYULIPAS,1,1,1
KIUBVGRS,1,1,1
CYWUDNBT,1,1,1
NFAIZWLE,1,1,1
CEHOJEQZ,1,1,1
UBGWNCCZ,1,1,1
AAPSHVAS,1,1,1
QFOBGRBI,1,1,1
SLLNJDKK,1,1,1
WDDLGDAM,1,1,1
UAIUZAAZ,1,1,1
BUIPZUXR,1,1,1
CWYDUTVT,1,1,1
MLFBGTDS,1,1,1
GJAMRQOY,1,1,1
NBJMYRVR,1,1,1
IPUEGUKR,1,1,1
WIQQFYWK,1,1,1
PBEIKACQ,1,1,1
MDJDQOCU,1,1,1
HARSIWER,1,1,1
LHCNUXIN,1,1,1
AKNNTWHI,1,1,1
SEOUBQEL,1,1,1
YUGMHWTN,1,1,1
YZMJJXPU,1,1,1
YHOBLEZI,1,1,1
IEYNEEGA,1,1,1
CCWQCVMX,1,1,1
FKHPXIKP,1,1,1
BSANEDRQ,1,1,1
FXZQMPIP,1,1,1
QCMAECWF,1,1,1
RMMRGHZI,1,1,1
ZGTUVHGC,1,1,1
LXNFHLNB,1,1,1
YQWQGRUQ,1,1,1
BRRMTHRV,1,1,1
KIDYQMDF,1,1,1
TILFBPHR,1,1,1
IYRHXWUL,1,1,1
NJLKLCXN,1,1,1
HJDIDXPI,1,1,1
YNXVBJAT,1,1,1
LTDOXIRI,1,1,1
RLJTUDQB,1,1,1
XTWXUBYE,1,1,1
GATIQKIW,1,1,1
FIUEYPSP,1,1,1
SVFCDUOT,1,1,1
SCWETWJJ,1,1,1
WQAKVXMH,1,1,1
WBSEMFDI,1,1,1
AYQVONDG,1,1,1
XSDOQKTG,1,1,1
IOUIFCQW,1,1,1
OTMGRXLH,1,1,1
BXIZCCZR,1,1,1
ILZVYGQG,1,1,1
UFTQDIRX,1,1,1
PPHHTHIH,1,1,1
PDFZGUFY,1,1,1
YNPHFCPL,1,1,1
QOKPKMSU,1,1,1
PSBALROX,1,1,1
LLRDQGUO,1,1,1
PIKRTIUE,1,1,1
GWJIUSPO,1,1,1
PELASEHH,1,1,1
CRZWLYXS,1,1,1
VIMKIGVV,1,1,1
NGEHUJPD,1,1,1
BHOYPVWQ,1,1,1
KLSBTAFT,1,1,1
PXYUVPXD,1,1,1
TGATIRZD,1,1,1
DBMQLXED,1,1,1
BYTHVRUT,1,1,1
WDTKRJST,1,1,1
SGSWHVPM,1,1,1
YWQLXFEV,1,1,1
XZXMKVRI,1,1,1
PRVLAGIH,1,1,1
FVJGKBJT,1,1,1
YYRIRYQM,1,1,1
XOXAJSLA,1,1,1
DARLMQEJ,1,1,1
CHSPXSHC,1,1,1
CDEUGYEU,1,1,1
AOWCGPXJ,1,1,1
YDAMPNQO,1,1,1
RDYNEPIH,1,1,1
TNFOWBSN,1,1,1
PZJQTGXZ,1,1,1
BKCWFJOL,1,1,1
QYJTZMHQ,1,1,1
DSENDHBC,1,1,1
WDBLZLQE,1,1,1
JLGYKQBY,1,1,1
GFSKDSZU,1,1,1
NFHVNCEG,1,1,1
XOQNVBGS,1,1,1
ZNALKSCL,1,1,1
IVHVDYHZ,1,1,1
HFAMKOWD,1,1,1
FBIQNJQE,1,1,1
FGKPXEVC,1,1,1
CHQUIJVC,1,1,1
ZCMMECZN,1,1,1
ZZOUQWYF,1,1,1
JAYBLLZZ,1,1,1
CQUULIKT,1,1,1
AULXJLYD,1,1,1
ACJZGLLZ,1,1,1
DHBRMWMG,1,1,1
ELJRWTDX,1,1,1
CJRJHRBW,1,1,1
IXVMWCNS,1,1,1
COQLYNYX,1,1,1
VQDFOTFW,1,1,1
NPQNPJKN,1,1,1
JIRQCVUK,1,1,1
XZLRLDOL,1,1,1
BKNXRLML,1,1,1
JKJIGSUB,1,1,1
TPTNLOAS,1,1,1
CEBSYBGZ,1,1,1
CMOGXCUX,1,1,1
HUDUTPTN,1,1,1
KYESJYDN,1,1,1
JAURLCTI,1,1,1
JVTFHOFN,1,1,1
XJUNKSDC,1,1,1
GNVNCIVR,1,1,1
WJTKMPOC,1,1,1
IKGKONSG,1,1,1
FSUKRIND,1,1,1
PKPTIGUM,1,1,1
VFRDVUFO,1,1,1
GVLRIKQQ,1,1,1
WCMHKKDN,1,1,1
SXBCEHSQ,1,1,1
QTLURXNI,1,1,1
SGMRBKTV,1,1,1
SMDUDWBD,1,1,1
ZFMDQHCG,1,1,1
GNSAMSFJ,1,1,1
FPQLLOBK,1,1,1
KYKCSTBF,1,1,1
SXCHMYTD,1,1,1
OWPUYFJU,1,1,1
DSAQOPZP,1,1,1
ZSEAJDEQ,1,1,1
QNGGWQGK,1,1,1
YTDKKWRD,1,1,1
YZMRPSPC,1,1,1
VVEUASVJ,1,1,1
SIRSPCSQ,1,1,1
MFTQDZVW,1,1,1
MXKKGLGO,1,1,1
KFGTCHDW,1,1,1
ULAUVCJG,1,1,1
ASWXAZIB,1,1,1
CYDAFBZE,1,1,1
UVEHROOT,1,1,1
PITLYBCT,1,1,1
JVLETEBT,1,1,1
NXJWNUFC,1,1,1
HZJFYHJD,1,1,1
RIKZOLEP,1,1,1
BMBUSOCL,1,1,1
PQROEWBZ,1,1,1
RUUSMNYN,1,1,1
OYZYATRT,1,1,1
ZLAXXJQA,1,1,1
HCJXTIMF,1,1,1
HWCGQHRT,1,1,1
QMBHBNHF,1,1,1
DZLIFESH,1,1,1
CBDLJUCK,1,1,1
BRLHGZZA,1,1,1
PBIOEWVG,1,1,1
EQGJPTFP,1,1,1
IFZFMIHE,1,1,1
PADHMRUD,1,1,1
MBSQWLOV,1,1,1
GONJRKKG,1,1,1
PXZLGVTH,1,1,1
ZWXUTAUG,1,1,1
REBUCISN,1,1,1
BPTIYDHQ,1,1,1
YSUTCFWE,1,1,1
GPDPANVX,1,1,1
ZUONLBKV,1,1,1
YYHNFYRI,1,1,1
EHVKPROZ,1,1,1
ZMHLNSDG,1,1,1
WDPUZDXT,1,1,1
LANHEHVN,1,1,1
PSDLCQPU,1,1,1
DXIJIGDY,1,1,1
WSHEDEKA,1,1,1
MOYEQMPH,1,1,1
QBMKAYJG,1,1,1
THQLIVVE,1,1,1
UKTLJPIE,1,1,1
PEOLJLDX,1,1,1
MMCYDRKZ,1,1,1
WAETFEOC,1,1,1
ZPKVYXBV,1,1,1
JJFVOPJG,1,1,1
JEOHLWRR,1,1,1
IDZUYOPG,1,1,1
AXCVCDLZ,1,1,1
FBSSIRGB,1,1,1
GJFOZIEC,1,1,1
WNALESIN,1,1,1
QSLDXSYY,1,1,1
IUZYMWCJ,1,1,1
SDNAVLVG,1,1,1
DVWABQLU,1,1,1
YLEWCKSK,1,1,1
PQYVWSRA,1,1,1
PTQQIVKW,1,1,1
THTGCNGL,1,1,1
EYFJBQDG,1,1,1
AMRDXARR,1,1,1
SVMTYRMN,1,1,1
BWHMVUBQ,1,1,1
WNGODJXZ,1,1,1
UUHOCDFY,1,1,1
FUZCYJVF,1,1,1
RXNRBAQK,1,1,1
JAKWKQJS,1,1,1
EQVEAWKA,1,1,1
HMMLOKKP,1,1,1
PEIXRSDV,1,1,1
GCEXPAQI,1,1,1
BWALZXLZ,1,1,1
KRMJCXKA,1,1,1
FYXLASID,1,1,1
PMABBFYJ,1,1,1
FYAHIDDW,1,1,1
HINXYGSA,1,1,1
KPWFIZSP,1,1,1
IPLQSVSN,1,1,1
BUDEWMVI,1,1,1
TUGSVDUS,1,1,1
SHZIJYZV,1,1,1
LKGADUWU,1,1,1
ZEJFHOQM,1,1,1
HRLTPILF,1,1,1
XGKVAXCS,1,1,1
IQLDHPML,1,1,1
UWTPNLHL,1,1,1
WNIGCQYD,1,1,1
OYXTXHPS,1,1,1
BGMGZAKY,1,1,1
XVSKXARL,1,1,1
SNNLIWXQ,1,1,1
YTOCZEPK,1,1,1
DCFYVEAJ,1,1,1
ODUBKXOU,1,1,1
ABDGTHDZ,1,1,1
YZIVANTW,1,1,1
DKLPAHBG,1,1,1
UXWLUVPT,1,1,1
ZELVLYFH,1,1,1
GJRYMBIE,1,1,1
ZEOHALLV,1,1,1
HKYGBULJ,1,1,1
JWLDZCQB,1,1,1
ZBJVAADZ,1,1,1
KYEWEUCA,1,1,1
ZUXCYWON,1,1,1
VDPPQHYP,1,1,1
NTBNLUHD,1,1,1
OFDPOYXC,1,1,1
XRHSULQC,1,1,1
VXFCFXKK,1,1,1
BFVMDCHD,1,1,1
FMXWMPVH,1,1,1
PELUINPI,1,1,1
HKSOZOSN,1,1,1
HKYKOMJS,1,1,1
HTMDTFEJ,1,1,1
UUGTIGVY,1,1,1
BOSNMKAE,1,1,1
TQEKJBBV,1,1,1
RCFMKCFW,1,1,1
WKHTGLCS,1,1,1
QAJCBUWD,1,1,1
XJZTCXGZ,1,1,1
MZLNQFVT,1,1,1
CGSRALNW,1,1,1
ARMBUOXC,1,1,1
XORHNNZW,1,1,1
HEAQZYXE,1,1,1
GUIDJKYR,1,1,1
LPJXSVKC,1,1,1
KRXJXVFB,1,1,1
BAMFJQMY,1,1,1
PSPNMOTQ,1,1,1
BBNVLOBM,1,1,1
LUMHLJMJ,1,1,1
KQICIVYX,1,1,1
EJYKRQOP,1,1,1
SWUEOZCL,1,1,1
SXQKCBRQ,1,1,1
FXOPBSPN,1,1,1
CNTJIFXD,1,1,1
TCROFOPY,1,1,1
GRJFAEQT,1,1,1
BRZPPDKJ,1,1,1
DTVMENBA,1,1,1
CTLVZZTN,1,1,1
TWDWVBSZ,1,1,1
DKDFBXYH,1,1,1
EOAAFKEO,1,1,1
JOGSHAZL,1,1,1
KMWBXHMV,1,1,1
TZXPCYFH,1,1,1
XGUBXMYM,1,1,1
JSUWEYUI,1,1,1
XVLUBJRL,1,1,1
ZUGMPHFR,1,1,1
PQDFTKYF,1,1,1
PYORQLJJ,1,1,1
XZHULIBT,1,1,1
XMIAPPQU,1,1,1
GRYOKTUJ,1,1,1
RAULXAXO,1,1,1
FETFPKKD,1,1,1
USDZIHFG,1,1,1
RBYPDJIF,1,1,1
HSJVFMLX,1,1,1
HJWMCKUS,1,1,1
OLOOKODN,1,1,1
CWQSCAAY,1,1,1
CZUAGHWR,1,1,1
APJQTERA,1,1,1
CATGJTKJ,1,1,1
IBAPEAAI,1,1,1
VZJHSKOY,1,1,1
FSYXRYGQ,1,1,1
FUMOLMGL,1,1,1
GLSKMMQV,1,1,1
HFOGSSUP,1,1,1
MCJTGOQE,1,1,1
WRTWKRGO,1,1,1
GOLMVLKY,1,1,1
HXBKAXAH,1,1,1
VDAYDVZV,1,1,1
TKAROQIU,1,1,1
NYUEDKMF,1,1,1
LBVEJNFF,1,1,1
KFYUJJRS,1,1,1
YRVDOZXP,1,1,1
ZVXBWYJK,1,1,1
ODOEACDC,1,1,1
JUECGUAH,1,1,1
ZRAFKADZ,1,1,1
WBKACJJW,1,1,1
FCFXXXLV,1,1,1
TCMBQRTR,1,1,1
LKOUNGGJ,1,1,1
RGVFNJAT,1,1,1
NFNNOTMS,1,1,1
MWRFWXBD,1,1,1
EUDAHCTH,1,1,1
JMFQSNII,1,1,1
EESNSWSZ,1,1,1
OJPIHVVG,1,1,1
AFWEAROK,1,1,1
ACQNQMTT,1,1,1
FQMLWPBC,1,1,1
LPIDYVUH,1,1,1
AKFLHEXW,1,1,1
LYIPPOQI,1,1,1
XYDGGHTD,1,1,1
ECIFWASC,1,1,1
QFMKWIPJ,1,1,1
WPTXAEIN,1,1,1
FLRFKLAZ,1,1,1
IUBMKAIZ,1,1,1
PEYIQNEL,1,1,1
PWQPAWAK,1,1,1
ECMYGOLB,1,1,1
YSBABSPX,1,1,1
RHMHZKNU,1,1,1
XSQZJNVH,1,1,1
SVBAMYXX,1,1,1
NXIEWUOH,1,1,1
UFSVTUPK,1,1,1
DMRYMZBC,1,1,1
ZNWNPKLA,1,1,1
SEHXZDJK,1,1,1
LWCXNZUH,1,1,1
MQUHJUBX,1,1,1
POCVHCTQ,1,1,1
NZJKRKHB,1,1,1
AEVSPOYT,1,1,1
QPCUJPGR,1,1,1
REBJFGKO,1,1,1
YDZWYGXQ,1,1,1
JCGYNHYQ,1,1,1
ZKZMWWYX,1,1,1
ETJOWRDA,1,1,1
EAKCCEFD,1,1,1
TLXYSOQR,1,1,1
TZNVMTIU,1,1,1
NJGUPKLX,1,1,1
WUSNPVKE,1,1,1
BQXLCSYR,1,1,1
VIIVVZGK,1,1,1
NFNKEDEO,1,1,1
MCKKQVMQ,1,1,1
EQSDIIUF,1,1,1
RJXGFBIC,1,1,1
ISSLBLYD,1,1,1
NUPAKRJL,1,1,1
SXINWHMT,1,1,1
DLQGOPNP,1,1,1
HBLQBIUK,1,1,1
ZBUMWVBC,1,1,1
WUPOYAUD,1,1,1
LRUFIPAN,1,1,1
KPHBRRVV,1,1,1
EHKAEATZ,1,1,1
SKCPEOFJ,1,1,1
XETPLZMS,1,1,1
ACFXBWYM,1,1,1
XJUGQKXD,1,1,1
THEQPOBR,1,1,1
HVMFEPOP,1,1,1
QEMNSCRH,1,1,1
LQFOAUDO,1,1,1
TRXSYEOA,1,1,1
NFHCKWWP,1,1,1
VAARXWSS,1,1,1
JYMUDBNM,1,1,1
MENMKNXI,1,1,1
IYYDDSUC,1,1,1
QELJLRRW,1,1,1
DBDZJKOI,1,1,1
EOQWXOVZ,1,1,1
QEAPMKHF,1,1,1
PXQDLSYZ,1,1,1
SAYQZAZI,1,1,1
BMIWPGTL,1,1,1
TEVGYUZB,1,1,1
ZJAJWDFC,1,1,1
KNTKOFVP,1,1,1
KWHSZKXA,1,1,1
MKMLDJIW,1,1,1
BDZCUMTT,1,1,1
FJHVGBKE,1,1,1
LITNJZBA,1,1,1
PEHDCFON,1,1,1
JJGKPUTH,1,1,1
COMULEHI,1,1,1
PQNWOVXF,1,1,1
AKJIOXTT,1,1,1
KDSVMQYE,1,1,1
MAIAJZMZ,1,1,1
XLTDOUAA,1,1,1
TXDMGPKV,1,1,1
XOGIKRKS,1,1,1
BPQRVMJD,1,1,1
QBLHDZAE,1,1,1
ONLFCCIW,1,1,1
NLSRYJTH,1,1,1
FHZCHONJ,1,1,1
YGQAOVSV,1,1,1
CWHPCCSX,1,1,1
QNHWSZSM,1,1,1
OMJAVKWL,1,1,1
JLJJAKUR,1,1,1
SLDOQGIE,1,1,1
OUXQGEEG,1,1,1
JEIMJGAB,1,1,1
CBUWUJPT,1,1,1
LLDWEQVE,1,1,1
QECGXGYD,1,1,1
MMLHGSQQ,1,1,1
ZUNQLMOO,1,1,1
BVHLFMQF,1,1,1
IEXIOOFX,1,1,1
DTNQZAFX,1,1,1
LZKEPKHL,1,1,1
KPUMJIEE,1,1,1
WPRHVTQI,1,1,1
KOICLSBP,1,1,1
UFTBCELB,1,1,1
USYSBWKF,1,1,1
JWLYIHZL,1,1,1
JMXQOTVG,1,1,1
ZXFZACQX,1,1,1
VYBILVFC,1,1,1
TWJURRII,1,1,1
DOWVLJYD,1,1,1
SJWIIQCM,1,1,1
UJGBIQAO,1,1,1
XAYCSJEX,1,1,1
PSTYJCFM,1,1,1
GJGRFFJH,1,1,1
PZDMJNAO,1,1,1
GOOSPNWC,1,1,1
CEIYTZKT,1,1,1
SPSGGQYM,1,1,1
POIQVWLQ,1,1,1
WFOBRWVQ,1,1,1
AQOJBALV,1,1,1
XHOQZCOE,1,1,1
GGNMLPXL,1,1,1
PILKDFKR,1,1,1
OJLJBYQA,1,1,1
SFHECIQT,1,1,1
SDMKTGWH,1,1,1
EZBRXQZW,1,1,1
APKBHJRU,1,1,1
FLHPDKUR,1,1,1
MRQPCEOP,1,1,1
SJZZZQKB,1,1,1
HZEFUUGF,1,1,1
CVHZQWRH,1,1,1
SQWYLYFP,1,1,1
WXPLZJDU,1,1,1
ICUVGEYY,1,1,1
BVKMLUCI,1,1,1
WKLYLQRR,1,1,1
VLOSYEQB,1,1,1
DWDDQOEK,1,1,1
VEBMEFQQ,1,1,1
YFVWJWTX,1,1,1
PWHZRTIW,1,1,1
VJKTQFXG,1,1,1
ARILIJKP,1,1,1
IZNTBHBA,1,1,1
SYTZBJME,1,1,1
FZTUGUFF,1,1,1
YDFFPGWX,1,1,1
RTKAWQFD,1,1,1
QBPTOLHA,1,1,1
LWUEEMFS,1,1,1
DARKVXZE,1,1,1
