id,position,base,acclimatization,duty_time_limit,flight_time_limit,earliest_start_duty,cpm_deadhead,is_reserve,cpm_reserve,specs
1844137836,ORY,ORY,ORY,600,480,2006-01-07T06:15,0,0,0,Airbus
134224868,MPL,MPL,MPL,980,480,2006-01-07T04:55,0,0,0,Airbus
1104652174,MRS,MRS,MRS,600,480,2006-01-07T04:35,0,0,0,Airbus
1127983490,MRS,MRS,MRS,775,480,2006-01-07T08:50,0,0,0,Airbus
585887566,CDG,CDG,CDG,600,480,2006-01-07T05:15,0,0,0,Airbus
2134161410,CDG,CDG,CDG,600,480,2006-01-07T10:35,0,0,0,Airbus
1484135457,LYS,LYS,LYS,600,480,2006-01-07T05:25,0,0,0,Airbus
830250430,LYS,LYS,LYS,705,480,2006-01-07T09:55,0,0,0,Airbus
932725007,BES,BES,BES,600,480,2006-01-07T04:35,0,0,0,Airbus
1450422331,BES,BES,BES,745,480,2006-01-07T09:05,0,0,0,Airbus
1454666067,AJA,AJA,AJA,600,480,2006-01-07T04:55,0,0,0,Airbus
1015490648,AJA,AJA,AJA,600,480,2006-01-07T13:40,0,0,0,Airbus
525100016,BIA,BIA,BIA,600,480,2006-01-07T04:55,0,0,0,Airbus
759101347,BIA,BIA,BIA,600,480,2006-01-07T10:00,0,0,0,Airbus
1130118952,MLH,MLH,MLH,600,480,2006-01-07T05:05,0,0,0,Airbus
363842328,MLH,MLH,MLH,730,480,2006-01-07T08:55,0,0,0,Airbus
744291659,ORY,ORY,ORY,965,510,2006-01-07T05:35,0,0,0,Airbus
1485403625,NTE,NTE,NTE,600,480,2006-01-07T04:35,0,0,0,Airbus
848563345,NTE,NTE,NTE,725,480,2006-01-07T09:00,0,0,0,Airbus
333461483,TLS,TLS,TLS,600,480,2006-01-07T04:40,0,0,0,Airbus
2039758977,TLS,TLS,TLS,740,480,2006-01-07T08:40,0,0,0,Airbus
182621155,ORY,ORY,ORY,600,480,2006-01-07T04:50,0,0,0,Airbus
2090911250,ORY,ORY,ORY,600,480,2006-01-07T08:50,0,0,0,Airbus
1048083132,ORY,ORY,ORY,600,480,2006-01-07T05:50,0,0,0,Airbus
1372239857,ORY,ORY,ORY,600,480,2006-01-07T09:50,0,0,0,Airbus
100621466,TLS,TLS,TLS,600,480,2006-01-07T05:40,0,0,0,Airbus
259488708,TLS,TLS,TLS,600,480,2006-01-07T09:40,0,0,0,Airbus
461272858,TLS,TLS,TLS,835,480,2006-01-07T07:10,0,0,0,Airbus
185012673,MRS,MRS,MRS,600,480,2006-01-07T05:30,0,0,0,Airbus
669806174,MRS,MRS,MRS,600,480,2006-01-07T09:30,0,0,0,Airbus
1178395817,SXB,SXB,SXB,600,480,2006-01-07T07:10,0,0,0,Airbus
658194566,SXB,SXB,SXB,600,480,2006-01-07T12:35,0,0,0,Airbus
2142954714,ORY,ORY,ORY,600,480,2006-01-07T07:10,0,0,0,Airbus
1880812379,ORY,ORY,ORY,600,480,2006-01-07T12:00,0,0,0,Airbus
1709706839,MLH,MLH,MLH,600,480,2006-01-07T04:30,0,0,0,Airbus
472931517,MLH,MLH,MLH,600,480,2006-01-07T09:05,0,0,0,Airbus
216794175,BOD,BOD,BOD,600,480,2006-01-07T06:25,0,0,0,Airbus
384385166,BOD,BOD,BOD,600,480,2006-01-07T11:35,0,0,0,Airbus
921209318,MRS,MRS,MRS,600,480,2006-01-07T06:30,0,0,0,Airbus
2052955920,MRS,MRS,MRS,600,480,2006-01-07T10:30,0,0,0,Airbus
863898425,BOD,BOD,BOD,600,480,2006-01-07T07:00,0,0,0,Airbus
1662778767,BOD,BOD,BOD,600,480,2006-01-07T11:45,0,0,0,Airbus
2035035283,TLS,TLS,TLS,875,480,2006-01-07T05:10,0,0,0,Airbus
263157300,NTE,NTE,NTE,600,480,2006-01-07T04:45,0,0,0,Airbus
1056745520,NTE,NTE,NTE,600,480,2006-01-07T09:10,0,0,0,Airbus
689146701,MRS,MRS,MRS,600,480,2006-01-07T05:35,0,0,0,Airbus
134667610,MRS,MRS,MRS,600,480,2006-01-07T11:05,0,0,0,Airbus
1008338748,NCE,NCE,NCE,600,480,2006-01-07T04:40,0,0,0,Airbus
773559890,NCE,NCE,NCE,600,480,2006-01-07T14:35,0,0,0,Airbus
830807798,MRS,MRS,MRS,600,480,2006-01-07T04:30,0,0,0,Airbus
794882901,MRS,MRS,MRS,600,480,2006-01-07T13:00,0,0,0,Airbus
16322739,NCE,NCE,NCE,600,480,2006-01-07T05:25,0,0,0,Airbus
1328157009,NCE,NCE,NCE,600,480,2006-01-07T11:00,0,0,0,Airbus
1796576214,TLS,TLS,TLS,600,480,2006-01-07T04:50,0,0,0,Airbus
1839244181,TLS,TLS,TLS,600,480,2006-01-07T08:35,0,0,0,Airbus
1661516681,LYS,LYS,LYS,600,480,2006-01-07T04:50,0,0,0,Airbus
190797265,LYS,LYS,LYS,675,480,2006-01-07T08:30,0,0,0,Airbus
56569042,BOD,BOD,BOD,600,480,2006-01-07T05:10,0,0,0,Airbus
1903227280,BOD,BOD,BOD,600,480,2006-01-07T09:05,0,0,0,Airbus
485266100,CDG,CDG,CDG,600,480,2006-01-07T05:20,0,0,0,Airbus
1874672702,CDG,CDG,CDG,600,480,2006-01-07T10:35,0,0,0,Airbus
1022862599,MPL,MPL,MPL,600,480,2006-01-07T07:05,0,0,0,Airbus
645237757,MPL,MPL,MPL,600,480,2006-01-07T11:20,0,0,0,Airbus
262918833,RDZ,RDZ,RDZ,600,480,2006-01-07T04:40,0,0,0,BAE
272026514,RNS,RNS,RNS,600,480,2006-01-07T06:00,0,0,0,BAE
796471501,LRT,LRT,LRT,600,480,2006-01-07T05:00,0,0,0,BAE
1020019581,LRT,LRT,LRT,600,480,2006-01-07T08:45,0,0,0,BAE
791771284,LIG,LIG,LIG,600,480,2006-01-07T04:30,0,0,0,BAE
1196878155,UIP,UIP,UIP,600,480,2006-01-07T04:45,0,0,0,BAE
657187435,SXB,SXB,SXB,600,480,2006-01-07T04:55,0,0,0,BAE
147048153,SXB,SXB,SXB,600,480,2006-01-07T09:30,0,0,0,BAE
359906493,BIQ,BIQ,BIQ,600,480,2006-01-07T04:50,0,0,0,CRJ
564194307,BIQ,BIQ,BIQ,600,480,2006-01-07T08:50,0,0,0,CRJ
943091072,FSC,FSC,FSC,600,480,2006-01-07T06:30,0,0,0,CRJ
1617046705,RNS,RNS,RNS,600,480,2006-01-07T05:40,0,0,0,CRJ
376980210,RNS,RNS,RNS,600,480,2006-01-07T08:50,0,0,0,CRJ
295069519,BOD,BOD,BOD,600,480,2006-01-07T04:50,0,0,0,CRJ
1827753950,BOD,BOD,BOD,600,480,2006-01-07T10:25,0,0,0,CRJ
2138821259,TLS,TLS,TLS,600,480,2006-01-07T04:05,0,0,0,CRJ
683093156,TLS,TLS,TLS,720,520,2006-01-07T10:00,0,0,0,CRJ
2113437503,RNS,RNS,RNS,600,480,2006-01-07T04:30,0,0,0,CRJ
1398633607,RNS,RNS,RNS,600,480,2006-01-07T11:35,0,0,0,CRJ
1835196615,NCE,NCE,NCE,600,480,2006-01-07T04:45,0,0,0,CRJ
1501688522,BES,BES,BES,600,480,2006-01-07T04:25,0,0,0,ERJ
2022406920,LEH,LEH,LEH,950,480,2006-01-07T04:00,0,0,0,ERJ
1162073078,AVN,AVN,AVN,600,480,2006-01-07T04:30,0,0,0,ERJ
1477521204,LDE,LDE,LDE,600,480,2006-01-07T05:30,0,0,0,ERJ
346378500,CFE,CFE,CFE,600,480,2006-01-07T04:35,0,0,0,ERJ
41568198,CFE,CFE,CFE,755,480,2006-01-07T07:55,0,0,0,ERJ
48190158,CFR,CFR,CFR,600,480,2006-01-07T04:25,0,0,0,ERJ
282134252,CFR,CFR,CFR,600,480,2006-01-07T11:30,0,0,0,ERJ
160225133,NCE,NCE,NCE,600,480,2006-01-07T04:40,0,0,0,ERJ
628641533,NCE,NCE,NCE,600,480,2006-01-07T08:50,0,0,0,ERJ
435943218,BES,BES,BES,600,480,2006-01-07T05:00,0,0,0,Fokker
178283218,SXB,SXB,SXB,600,480,2006-01-07T04:50,0,0,0,Fokker
1988519473,SXB,SXB,SXB,600,480,2006-01-07T08:15,0,0,0,Fokker
1017541010,NTE,NTE,NTE,600,480,2006-01-07T06:25,0,0,0,Fokker
1772116450,ORY,ORY,ORY,600,480,2006-01-07T06:30,0,0,0,Fokker
2138614433,PUF,PUF,PUF,600,480,2006-01-07T04:25,0,0,0,Fokker
260274019,PUF,PUF,PUF,770,480,2006-01-07T08:45,0,0,0,Fokker
1816610767,RNS,RNS,RNS,930,480,2006-01-07T04:25,0,0,0,Fokker
1958944240,ORY,ORY,ORY,600,480,2006-01-07T14:00,60,1,60,Airbus
385065937,MRS,MRS,MRS,600,480,2006-01-07T14:00,80,1,80,Airbus
65231430,TLS,TLS,TLS,600,480,2006-01-07T14:30,60,1,60,Airbus
1291032882,CDG,CDG,CDG,600,480,2006-01-07T14:00,70,1,80,Airbus
750203086,NCE,NCE,NCE,600,480,2006-01-07T14:30,50,1,90,Airbus
128251089,BOD,BOD,BOD,600,480,2006-01-07T14:30,90,1,80,Airbus
1836623164,NTE,NTE,NTE,600,480,2006-01-07T15:00,70,1,60,Airbus
1718824160,MPL,MPL,MPL,600,480,2006-01-07T14:30,80,1,80,Airbus
166848991,BES,BES,BES,600,480,2006-01-07T14:30,60,1,90,Airbus
1849727770,MLH,MLH,MLH,480,390,2006-01-07T14:00,90,1,80,Airbus
941323722,RNS,RNS,RNS,600,480,2006-01-07T14:30,60,1,60,CRJ
696936625,LYS,LYS,LYS,600,480,2006-01-07T14:00,80,1,90,Airbus
2102824771,SXB,SXB,SXB,600,480,2006-01-07T14:00,60,1,50,Airbus
1763809118,TLS,TLS,TLS,540,360,2006-01-07T14:00,70,1,80,CRJ
