airport,incomming,outgoing,changing_comp,min_con_time
CDG,C,D,1,30
CDG,C,C,0,25
CDG,C,C,1,30
CDG,C,I,0,30
CDG,C,I,1,35
CDG,I,D,0,30
CDG,I,D,1,35
CDG,I,C,0,30
CDG,I,C,1,35
CDG,I,I,0,30
CDG,I,I,1,35
CFE,D,D,0,25
CFE,D,D,1,30
CFE,D,C,0,25
CFE,D,C,1,30
CFE,D,I,0,30
CFE,D,I,1,35
CFE,C,D,0,25
CFE,C,D,1,30
CFE,C,C,0,25
CFE,C,C,1,30
CFE,C,I,0,30
CFE,C,I,1,35
CFE,I,D,0,30
CFE,I,D,1,35
CFE,I,C,0,30
CFE,I,C,1,35
CFE,I,I,0,30
CFE,I,I,1,35
CFR,D,D,0,25
CFR,D,D,1,30
CFR,D,C,0,25
CFR,D,C,1,30
CFR,D,I,0,30
CFR,D,I,1,35
CFR,C,D,0,25
CFR,C,D,1,30
CFR,C,C,0,25
CFR,C,C,1,30
CFR,C,I,0,30
CFR,C,I,1,35
CFR,I,D,0,30
CFR,I,D,1,35
CFR,I,C,0,30
CFR,I,C,1,35
CFR,I,I,0,30
CFR,I,I,1,35
CLY,D,D,0,25
CLY,D,D,1,30
CLY,D,C,0,25
CLY,D,C,1,30
CLY,D,I,0,30
CLY,D,I,1,35
CLY,C,D,0,25
CLY,C,D,1,30
CLY,C,C,0,25
CLY,C,C,1,30
CLY,C,I,0,30
CLY,C,I,1,35
CLY,I,D,0,30
CLY,I,D,1,35
CLY,I,C,0,30
CLY,I,C,1,35
CLY,I,I,0,30
CLY,I,I,1,35
ETZ,D,D,0,25
ETZ,D,D,1,30
ETZ,D,C,0,25
ETZ,D,C,1,30
ETZ,D,I,0,30
ETZ,D,I,1,35
ETZ,C,D,0,25
ETZ,C,D,1,30
ETZ,C,C,0,25
ETZ,C,C,1,30
ETZ,C,I,0,30
ETZ,C,I,1,35
ETZ,I,D,0,30
ETZ,I,D,1,35
ETZ,I,C,0,30
ETZ,I,C,1,35
ETZ,I,I,0,30
ETZ,I,I,1,35
FSC,D,D,0,25
FSC,D,D,1,30
FSC,D,C,0,25
FSC,D,C,1,30
FSC,D,I,0,30
FSC,D,I,1,35
FSC,C,D,0,25
FSC,C,D,1,30
FSC,C,C,0,25
FSC,C,C,1,30
FSC,C,I,0,30
FSC,C,I,1,35
FSC,I,D,0,30
FSC,I,D,1,35
FSC,I,C,0,30
FSC,I,C,1,35
FSC,I,I,0,30
FSC,I,I,1,35
LDE,D,D,0,25
LDE,D,D,1,30
LDE,D,C,0,25
LDE,D,C,1,30
LDE,D,I,0,30
LDE,D,I,1,35
LDE,C,D,0,25
LDE,C,D,1,30
LDE,C,C,0,25
LDE,C,C,1,30
LDE,C,I,0,30
LDE,C,I,1,35
LDE,I,D,0,30
LDE,I,D,1,35
LDE,I,C,0,30
LDE,I,C,1,35
LDE,I,I,0,30
LDE,I,I,1,35
LEH,D,D,0,25
LEH,D,D,1,30
LEH,D,C,0,25
LEH,D,C,1,30
LEH,D,I,0,30
LEH,D,I,1,35
LEH,C,D,0,25
LEH,C,D,1,30
LEH,C,C,0,25
LEH,C,C,1,30
LEH,C,I,0,30
LEH,C,I,1,35
LEH,I,D,0,30
LEH,I,D,1,35
LEH,I,C,0,30
LEH,I,C,1,35
LEH,I,I,0,30
LEH,I,I,1,35
LGW,D,D,0,25
LGW,D,D,1,30
LGW,D,C,0,25
LGW,D,C,1,30
LGW,D,I,0,30
LGW,D,I,1,35
LGW,C,D,0,25
LGW,C,D,1,30
LGW,C,C,0,25
LGW,C,C,1,30
LGW,C,I,0,30
LGW,C,I,1,35
LGW,I,D,0,30
LGW,I,D,1,35
LGW,I,C,0,30
LGW,I,C,1,35
LGW,I,I,0,30
LGW,I,I,1,35
LIG,D,D,0,25
LIG,D,D,1,30
LIG,D,C,0,25
LIG,D,C,1,30
LIG,D,I,0,30
LIG,D,I,1,35
LIG,C,D,0,25
LIG,C,D,1,30
LIG,C,C,0,25
LIG,C,C,1,30
LIG,C,I,0,30
LIG,C,I,1,35
LIG,I,D,0,30
LIG,I,D,1,35
LIG,I,C,0,30
LIG,I,C,1,35
LIG,I,I,0,30
LIG,I,I,1,35
LIL,D,D,0,25
LIL,D,D,1,30
LIL,D,C,0,25
LIL,D,C,1,30
LIL,D,I,0,30
LIL,D,I,1,35
LIL,C,D,0,25
LIL,C,D,1,30
LIL,C,C,0,25
LIL,C,C,1,30
LIL,C,I,0,30
LIL,C,I,1,35
LIL,I,D,0,30
LIL,I,D,1,35
LIL,I,C,0,30
LIL,I,C,1,35
LIL,I,I,0,30
LIL,I,I,1,35
LRT,D,D,0,25
LRT,D,D,1,30
LRT,D,C,0,25
LRT,D,C,1,30
LRT,D,I,0,30
LRT,D,I,1,35
LRT,C,D,0,25
LRT,C,D,1,30
LRT,C,C,0,25
LRT,C,C,1,30
LRT,C,I,0,30
LRT,C,I,1,35
LRT,I,D,0,30
LRT,I,D,1,35
LRT,I,C,0,30
LRT,I,C,1,35
LRT,I,I,0,30
LRT,I,I,1,35
LYS,D,D,0,25
LYS,D,D,1,30
LYS,D,C,0,25
LYS,D,C,1,30
LYS,D,I,0,30
LYS,D,I,1,35
LYS,C,D,0,25
LYS,C,D,1,30
LYS,C,C,0,25
LYS,C,C,1,30
LYS,C,I,0,30
LYS,C,I,1,35
LYS,I,D,0,30
LYS,I,D,1,35
LYS,I,C,0,30
LYS,I,C,1,35
LYS,I,I,0,30
LYS,I,I,1,35
MLH,D,D,0,25
MLH,D,D,1,30
MLH,D,C,0,25
MLH,D,C,1,30
MLH,D,I,0,30
MLH,D,I,1,35
MLH,C,D,0,25
MLH,C,D,1,30
MLH,C,C,0,25
MLH,C,C,1,30
MLH,C,I,0,30
MLH,C,I,1,35
MLH,I,D,0,30
MLH,I,D,1,35
MLH,I,C,0,30
MLH,I,C,1,35
MLH,I,I,0,30
MLH,I,I,1,35
MPL,D,D,0,25
MPL,D,D,1,30
MPL,D,C,0,25
MPL,D,C,1,30
MPL,D,I,0,30
MPL,D,I,1,35
MPL,C,D,0,25
MPL,C,D,1,30
MPL,C,C,0,25
MPL,C,C,1,30
MPL,C,I,0,30
MPL,C,I,1,35
MPL,I,D,0,30
MPL,I,D,1,35
MPL,I,C,0,30
MPL,I,C,1,35
MPL,I,I,0,30
MPL,I,I,1,35
MRS,D,D,0,25
MRS,D,D,1,30
MRS,D,C,0,25
MRS,D,C,1,30
MRS,D,I,0,30
MRS,D,I,1,35
MRS,C,D,0,25
MRS,C,D,1,30
MRS,C,C,0,25
MRS,C,C,1,30
MRS,C,I,0,30
MRS,C,I,1,35
MRS,I,D,0,30
MRS,I,D,1,35
MRS,I,C,0,30
MRS,I,C,1,35
MRS,I,I,0,30
MRS,I,I,1,35
NCE,D,D,0,25
NCE,D,D,1,30
NCE,D,C,0,25
NCE,D,C,1,30
NCE,D,I,0,30
NCE,D,I,1,35
NCE,C,D,0,25
NCE,C,D,1,30
NCE,C,C,0,25
NCE,C,C,1,30
NCE,C,I,0,30
NCE,C,I,1,35
NCE,I,D,0,30
NCE,I,D,1,35
NCE,I,C,0,30
NCE,I,C,1,35
NCE,I,I,0,30
NCE,I,I,1,35
NTE,D,D,0,25
NTE,D,D,1,30
NTE,D,C,0,25
NTE,D,C,1,30
NTE,D,I,0,30
NTE,D,I,1,35
NTE,C,D,0,25
NTE,C,D,1,30
NTE,C,C,0,25
NTE,C,C,1,30
NTE,C,I,0,30
NTE,C,I,1,35
NTE,I,D,0,30
NTE,I,D,1,35
NTE,I,C,0,30
NTE,I,C,1,35
NTE,I,I,0,30
NTE,I,I,1,35
ORY,D,D,0,25
ORY,D,D,1,30
ORY,D,C,0,25
ORY,D,C,1,30
ORY,D,I,0,30
ORY,D,I,1,35
ORY,C,D,0,25
ORY,C,D,1,30
ORY,C,C,0,25
ORY,C,C,1,30
ORY,C,I,0,30
ORY,C,I,1,35
ORY,I,D,0,30
ORY,I,D,1,35
ORY,I,C,0,30
ORY,I,C,1,35
ORY,I,I,0,30
ORY,I,I,1,35
PGF,D,D,0,25
PGF,D,D,1,30
PGF,D,C,0,25
PGF,D,C,1,30
PGF,D,I,0,30
PGF,D,I,1,35
PGF,C,D,0,25
PGF,C,D,1,30
PGF,C,C,0,25
PGF,C,C,1,30
PGF,C,I,0,30
PGF,C,I,1,35
PGF,I,D,0,30
PGF,I,D,1,35
PGF,I,C,0,30
PGF,I,C,1,35
PGF,I,I,0,30
PGF,I,I,1,35
PUF,D,D,0,25
PUF,D,D,1,30
PUF,D,C,0,25
PUF,D,C,1,30
PUF,D,I,0,30
PUF,D,I,1,35
PUF,C,D,0,25
PUF,C,D,1,30
PUF,C,C,0,25
PUF,C,C,1,30
PUF,C,I,0,30
PUF,C,I,1,35
PUF,I,D,0,30
PUF,I,D,1,35
PUF,I,C,0,30
PUF,I,C,1,35
PUF,I,I,0,30
PUF,I,I,1,35
RDZ,D,D,0,25
RDZ,D,D,1,30
RDZ,D,C,0,25
RDZ,D,C,1,30
RDZ,D,I,0,30
RDZ,D,I,1,35
RDZ,C,D,0,25
RDZ,C,D,1,30
RDZ,C,C,0,25
RDZ,C,C,1,30
RDZ,C,I,0,30
RDZ,C,I,1,35
RDZ,I,D,0,30
RDZ,I,D,1,35
RDZ,I,C,0,30
RDZ,I,C,1,35
RDZ,I,I,0,30
RDZ,I,I,1,35
RNS,D,D,0,25
RNS,D,D,1,30
RNS,D,C,0,25
RNS,D,C,1,30
RNS,D,I,0,30
RNS,D,I,1,35
RNS,C,D,0,25
RNS,C,D,1,30
RNS,C,C,0,25
RNS,C,C,1,30
RNS,C,I,0,30
RNS,C,I,1,35
RNS,I,D,0,30
RNS,I,D,1,35
RNS,I,C,0,30
RNS,I,C,1,35
RNS,I,I,0,30
RNS,I,I,1,35
SXB,D,D,0,25
SXB,D,D,1,30
SXB,D,C,0,25
SXB,D,C,1,30
SXB,D,I,0,30
SXB,D,I,1,35
SXB,C,D,0,25
SXB,C,D,1,30
SXB,C,C,0,25
SXB,C,C,1,30
SXB,C,I,0,30
SXB,C,I,1,35
SXB,I,D,0,30
SXB,I,D,1,35
SXB,I,C,0,30
SXB,I,C,1,35
SXB,I,I,0,30
SXB,I,I,1,35
TLN,D,D,0,25
TLN,D,D,1,30
TLN,D,C,0,25
TLN,D,C,1,30
TLN,D,I,0,30
TLN,D,I,1,35
TLN,C,D,0,25
TLN,C,D,1,30
TLN,C,C,0,25
TLN,C,C,1,30
TLN,C,I,0,30
TLN,C,I,1,35
TLN,I,D,0,30
TLN,I,D,1,35
TLN,I,C,0,30
TLN,I,C,1,35
TLN,I,I,0,30
TLN,I,I,1,35
TLS,D,D,0,25
TLS,D,D,1,30
TLS,D,C,0,25
TLS,D,C,1,30
TLS,D,I,0,30
TLS,D,I,1,35
TLS,C,D,0,25
TLS,C,D,1,30
TLS,C,C,0,25
TLS,C,C,1,30
TLS,C,I,0,30
TLS,C,I,1,35
TLS,I,D,0,30
TLS,I,D,1,35
TLS,I,C,0,30
TLS,I,C,1,35
TLS,I,I,0,30
TLS,I,I,1,35
UIP,D,D,0,25
UIP,D,D,1,30
UIP,D,C,0,25
UIP,D,C,1,30
UIP,D,I,0,30
UIP,D,I,1,35
UIP,C,D,0,25
UIP,C,D,1,30
UIP,C,C,0,25
UIP,C,C,1,30
UIP,C,I,0,30
UIP,C,I,1,35
UIP,I,D,0,30
UIP,I,D,1,35
UIP,I,C,0,30
UIP,I,C,1,35
UIP,I,I,0,30
UIP,I,I,1,35
URO,D,D,0,25
URO,D,D,1,30
URO,D,C,0,25
URO,D,C,1,30
URO,D,I,0,30
URO,D,I,1,35
URO,C,D,0,25
URO,C,D,1,30
URO,C,C,0,25
URO,C,C,1,30
URO,C,I,0,30
URO,C,I,1,35
URO,I,D,0,30
URO,I,D,1,35
URO,I,C,0,30
URO,I,C,1,35
URO,I,I,0,30
URO,I,I,1,35
