crew_id,AMS,BIQ,BOD,MLH,RNS
OTSPTYXG,1,1,1,1,1
FBDWDQEK,1,1,1,1,1
NGPZIAUG,1,1,1,1,1
HFVAHIEZ,1,1,1,1,1
QBHFJXRW,1,1,1,1,1
DTUZIFBF,1,1,1,1,1
YYEWYXEI,1,1,1,1,1
OQNOFQIH,1,1,1,1,1
VZKGAMEV,1,1,1,1,1
OPDBVEBD,1,1,1,1,1
MEULXYFS,1,1,1,1,1
VIDWHHTJ,1,1,1,1,1
CZHBWFCO,1,1,1,1,1
SXEJBVBN,1,1,1,1,1
NKGZDNHV,1,1,1,1,1
GUPTYMJO,1,1,1,1,1
BPWZPZTB,1,1,1,1,1
MWAYFFKB,1,1,1,1,1
WDSGWYRZ,1,1,1,1,1
TIKSNQNF,1,1,1,1,1
IKRIFKGH,1,1,1,1,1
GVPBBXKS,1,1,1,1,1
SOHQAFQP,1,1,1,1,1
WLVETORW,1,1,1,1,1
CZHOOPSU,1,1,1,1,1
DSTKDAJN,1,1,1,1,1
KZRZLKFK,1,1,1,1,1
PQQFYCXK,1,1,1,1,1
HYQSEAFS,1,1,1,1,1
NJGFGNTT,1,1,1,1,1
ZHCCJIYI,1,1,1,1,1
LDRPKSZK,1,1,1,1,1
HUCLGRZE,1,1,1,1,1
JXFWHZPP,1,1,1,1,1
QJXZCKWL,1,1,1,1,1
JHMNIPSD,1,1,1,1,1
PXVKRXVP,1,1,1,1,1
LXUHGJCK,1,1,1,1,1
WYXBLISN,1,1,1,1,1
CFQUNMAR,1,1,1,1,1
NIEVAUGH,1,1,1,1,1
ALYRHTRG,1,1,1,1,1
LHIEFEXZ,1,1,1,1,1
FBDBUDHS,1,1,1,1,1
JQGYHETY,1,1,1,1,1
CIYPUXUB,1,1,1,1,1
HAQYHBDB,1,1,1,1,1
RXBMAOBR,1,1,1,1,1
YHFPTQKY,1,1,1,1,1
ZUNIDPTB,1,1,1,1,1
UAEBVFIT,1,1,1,1,1
NRGSURSC,1,1,1,1,1
WXEGALHA,1,1,1,1,1
HMAJEVOG,1,1,1,1,1
AASIRBTT,1,1,1,1,1
VNRJYFWN,1,1,1,1,1
RZKMHRLP,1,1,1,1,1
YEAUYDUG,1,1,1,1,1
OIUCNMSG,1,1,1,1,1
JWFDLAFT,1,1,1,1,1
VTJIENKW,1,1,1,1,1
UJSWGVCC,1,1,1,1,1
HFAWHREX,1,1,1,1,1
AFXAIAOF,1,1,1,1,1
SYHYSKRV,1,1,1,1,1
JNALDLNB,1,1,1,1,1
NKTCNAKD,1,1,1,1,1
QMADYPVO,1,1,1,1,1
NCIWLVRH,1,1,1,1,1
MADTSTLU,1,1,1,1,1
TAMFNJDI,1,1,1,1,1
YQPXGEHM,1,1,1,1,1
LCAYZISR,1,1,1,1,1
MFSNTYEC,1,1,1,1,1
AHPQKHNK,1,1,1,1,1
EPCPMFYF,1,1,1,1,1
IIVUZVCC,1,1,1,1,1
KQOIEMMV,1,1,1,1,1
GHWSEQMC,1,1,1,1,1
AWGEYPMP,1,1,1,1,1
JVITHBMG,1,1,1,1,1
GMIQUWDY,1,1,1,1,1
VSOMCVZR,1,1,1,1,1
TGKAYQSD,1,1,1,1,1
DIHSSCFU,1,1,1,1,1
TGBFZILC,1,1,1,1,1
VIMUDPDR,1,1,1,1,1
MGMFQOHH,1,1,1,1,1
TZUNCROV,1,1,1,1,1
DDKFPOXN,1,1,1,1,1
WDESHKSU,1,1,1,1,1
HWPODHYC,1,1,1,1,1
ZHMYCMSJ,1,1,1,1,1
BOTRVQYG,1,1,1,1,1
MWNKPVVU,1,1,1,1,1
XJNIEABB,1,1,1,1,1
GPUEEILM,1,1,1,1,1
ZTGCYLXP,1,1,1,1,1
GSGZPIWW,1,1,1,1,1
QAYUXLNS,1,1,1,1,1
MZURYETW,1,1,1,1,1
BGCFTWDE,1,1,1,1,1
FQAWKSDX,1,1,1,1,1
UNMESHWO,1,1,1,1,1
YEKKJAYY,1,1,1,1,1
KZRYYTWL,1,1,1,1,1
WEUNKZLM,1,1,1,1,1
ESWZCPGS,1,1,1,1,1
RYVBMZBK,1,1,1,1,1
YNBTJPUX,1,1,1,1,1
QKKPEGMU,1,1,1,1,1
WVLOBBDY,1,1,1,1,1
OWTFZDKJ,1,1,1,1,1
DSLDPDNR,1,1,1,1,1
YAFJHZJZ,1,1,1,1,1
UHKXZAAE,1,1,1,1,1
AFEDONVB,1,1,1,1,1
KJTKHJMV,1,1,1,1,1
XGUQYSMG,1,1,1,1,1
ZWYCMGYE,1,1,1,1,1
PDTUBRKK,1,1,1,1,1
UTWJZXTX,1,1,1,1,1
RULGKNQK,1,1,1,1,1
UKVXKQWZ,1,1,1,1,1
RYTKQEQH,1,1,1,1,1
SIPIIMDE,1,1,1,1,1
EWVANKEB,1,1,1,1,1
GNBLVDEG,1,1,1,1,1
IUVKFQHO,1,1,1,1,1
FJECWTWJ,1,1,1,1,1
CSYLELAZ,1,1,1,1,1
KNVVVIOM,1,1,1,1,1
YJFWIUPA,1,1,1,1,1
WAQUICBV,1,1,1,1,1
VGICICFM,1,1,1,1,1
JRYUYSMI,1,1,1,1,1
BNZGDOET,1,1,1,1,1
NVTJYRMK,1,1,1,1,1
PYMONPKW,1,1,1,1,1
FMWFOZMO,1,1,1,1,1
WKJJRXBB,1,1,1,1,1
BQGLJVUA,1,1,1,1,1
XISHIIAG,1,1,1,1,1
VGAMBTSS,1,1,1,1,1
EVODGOTH,1,1,1,1,1
VRFGJVBV,1,1,1,1,1
ZXOUMAVX,1,1,1,1,1
WZVMSOXJ,1,1,1,1,1
FXRXUXIH,1,1,1,1,1
TSUCVYKR,1,1,1,1,1
SOBHNBQC,1,1,1,1,1
BPOBTTWV,1,1,1,1,1
BYAULWIC,1,1,1,1,1
WIQZOAJU,1,1,1,1,1
HLIRTYNR,1,1,1,1,1
BJMVLULY,1,1,1,1,1
RLLWULGZ,1,1,1,1,1
MGVAHPLX,1,1,1,1,1
AMSGUHQK,1,1,1,1,1
VLIPLVXL,1,1,1,1,1
CNYGZSZR,1,1,1,1,1
GVNMGURW,1,1,1,1,1
RXDPOTQS,1,1,1,1,1
ZXDXXYES,1,1,1,1,1
AAPRZIEE,1,1,1,1,1
XEIPEAGY,1,1,1,1,1
KZUTYZZQ,1,1,1,1,1
ZGQZWUIN,1,1,1,1,1
WDOUHRYT,1,1,1,1,1
CWNEYCNL,1,1,1,1,1
IRVVTJWP,1,1,1,1,1
EFOPNKHU,1,1,1,1,1
EHBCXEOI,1,1,1,1,1
QUKZWIOI,1,1,1,1,1
RZEBZBRL,1,1,1,1,1
UYTLKATE,1,1,1,1,1
TQCBMRHH,1,1,1,1,1
ULMUJZSW,1,1,1,1,1
WPBERWOE,1,1,1,1,1
NPCGFDTA,1,1,1,1,1
DXMPZSBW,1,1,1,1,1
CTAIANIX,1,1,1,1,1
RZHICPUE,1,1,1,1,1
PZZZPZLW,1,1,1,1,1
KHIEGEJN,1,1,1,1,1
DHDRKJRP,1,1,1,1,1
XZVEKGQF,1,1,1,1,1
NMLKAMLC,1,1,1,1,1
JHVYIPWC,1,1,1,1,1
AMPGMPUF,1,1,1,1,1
XMBCILVA,1,1,1,1,1
LGEFOAGX,1,1,1,1,1
KDXSHXPE,1,1,1,1,1
CFDXKKWN,1,1,1,1,1
MCMCXORY,1,1,1,1,1
GEKLXCIM,1,1,1,1,1
SENRQDUL,1,1,1,1,1
DSDFAURD,1,1,1,1,1
PZTRAOIB,1,1,1,1,1
ONSPAIJJ,1,1,1,1,1
NGDLYHCQ,1,1,1,1,1
AAFGNZEK,1,1,1,1,1
LEBXSZSE,1,1,1,1,1
IMKXTQEV,1,1,1,1,1
FBNTMMUP,1,1,1,1,1
OKNDKIMM,1,1,1,1,1
BBBGPXMN,1,1,1,1,1
HTOLSRAM,1,1,1,1,1
YMDHLHSB,1,1,1,1,1
KPFIIQYG,1,1,1,1,1
RRVQMRTK,1,1,1,1,1
XZRRALJE,1,1,1,1,1
DNBDMESJ,1,1,1,1,1
IBYYGEGY,1,1,1,1,1
MHVSREHX,1,1,1,1,1
DNFNJPXX,1,1,1,1,1
FJQZNUOW,1,1,1,1,1
NWMPLTBP,1,1,1,1,1
TJNWRLVI,1,1,1,1,1
GJWUJNLF,1,1,1,1,1
OOSUNWGB,1,1,1,1,1
RGXIRZTG,1,1,1,1,1
AAUDOQPQ,1,1,1,1,1
QVPSHWYA,1,1,1,1,1
VHRZSNWA,1,1,1,1,1
HQOIRUGH,1,1,1,1,1
CEIMWYWK,1,1,1,1,1
GPQKNRDX,1,1,1,1,1
GFKTZHSZ,1,1,1,1,1
IAWIYARN,1,1,1,1,1
MXMIZFTZ,1,1,1,1,1
IDFRIBAP,1,1,1,1,1
RRDWDQDQ,1,1,1,1,1
WQZZGJXL,1,1,1,1,1
OBIICXAB,1,1,1,1,1
IEBPNZMW,1,1,1,1,1
LUPAAVWL,1,1,1,1,1
QVBGHXQN,1,1,1,1,1
PGJKUNCM,1,1,1,1,1
LDTUXBLQ,1,1,1,1,1
DPBRWDPT,1,1,1,1,1
AVRAGCKV,1,1,1,1,1
ESCQDCRV,1,1,1,1,1
JXHPMALD,1,1,1,1,1
WLGQJRDR,1,1,1,1,1
VJDEMKER,1,1,1,1,1
WEXIPUOH,1,1,1,1,1
RYCSFAMR,1,1,1,1,1
WLDXFQGY,1,1,1,1,1
EHLZPOGR,1,1,1,1,1
IEWLYNRE,1,1,1,1,1
CZKLIYRD,1,1,1,1,1
ZTVFEVJC,1,1,1,1,1
CKAYKBDZ,1,1,1,1,1
CNCBZLXT,1,1,1,1,1
WASWEIHQ,1,1,1,1,1
EGDAQWFT,1,1,1,1,1
LUPJPCQF,1,1,1,1,1
MLQCDDES,1,1,1,1,1
QWSZPUAH,1,1,1,1,1
MUYDSSHY,1,1,1,1,1
IXUIRNMM,1,1,1,1,1
NFJMBXMC,1,1,1,1,1
FCLICMNG,1,1,1,1,1
THYFLAWW,1,1,1,1,1
KKVDPVGJ,1,1,1,1,1
TGUQFKIX,1,1,1,1,1
QHODBAZX,1,1,1,1,1
NXEYLDKO,1,1,1,1,1
XBAFAGZB,1,1,1,1,1
OEPBSTKG,1,1,1,1,1
YFNOASZT,1,1,1,1,1
VIULYNYU,1,1,1,1,1
WMXKILWK,1,1,1,1,1
ZLSSWPFC,1,1,1,1,1
EUOTBYPV,1,1,1,1,1
WODAEOHP,1,1,1,1,1
OPKFQDAD,1,1,1,1,1
AEJDQJIF,1,1,1,1,1
ZKIYTMIW,1,1,1,1,1
HWEWOAAU,1,1,1,1,1
PSBWTYNB,1,1,1,1,1
YOKOLTQF,1,1,1,1,1
DOUHEDFH,1,1,1,1,1
ZZARMDJP,1,1,1,1,1
RIDKOCJG,1,1,1,1,1
TMJZFHJV,1,1,1,1,1
ANNOQFOA,1,1,1,1,1
NLHEWLFK,1,1,1,1,1
LVPGTZDZ,1,1,1,1,1
UIMCZLUQ,1,1,1,1,1
FMOUZERZ,1,1,1,1,1
BIKENYSK,1,1,1,1,1
ELIQHRRK,1,1,1,1,1
IIPNMGZZ,1,1,1,1,1
ICDVOTXP,1,1,1,1,1
JGQEFQRQ,1,1,1,1,1
AGVLNYUA,1,1,1,1,1
ZMQLHXTA,1,1,1,1,1
UQOXEJAT,1,1,1,1,1
LXQRBKCJ,1,1,1,1,1
QBTSYQXM,1,1,1,1,1
LYDEDJDY,1,1,1,1,1
VFOUGWIO,1,1,1,1,1
YJFBMYDZ,1,1,1,1,1
JZIHERWZ,1,1,1,1,1
KWBXVDGY,1,1,1,1,1
YNULNDJB,1,1,1,1,1
LWETEKPY,1,1,1,1,1
PAEFKGXV,1,1,1,1,1
PJOOGQYP,1,1,1,1,1
QINPSJPJ,1,1,1,1,1
CDOXCZMY,1,1,1,1,1
YZPNKQIT,1,1,1,1,1
XTYYFLWB,1,1,1,1,1
YQCTQVTR,1,1,1,1,1
DFTRUPVE,1,1,1,1,1
XZBOFPEM,1,1,1,1,1
CGZUFLXY,1,1,1,1,1
XLQRWOGW,1,1,1,1,1
FNCLHCGO,1,1,1,1,1
MQXVFPEV,1,1,1,1,1
PCLQDPYL,1,1,1,1,1
TDIDBPRW,1,1,1,1,1
GCKHXNPE,1,1,1,1,1
KTYJLPQP,1,1,1,1,1
RGPRJQIY,1,1,1,1,1
LTDFVNDQ,1,1,1,1,1
KAPVZBPS,1,1,1,1,1
DLUGJCDD,1,1,1,1,1
MSMLOUZU,1,1,1,1,1
WHVQUFBJ,1,1,1,1,1
EULAQSUH,1,1,1,1,1
RXIHVQEE,1,1,1,1,1
ENSRCSDI,1,1,1,1,1
NKJRHHCM,1,1,1,1,1
ZNATSGSY,1,1,1,1,1
HBWYDYCU,1,1,1,1,1
FCYENFVX,1,1,1,1,1
MHEEXWMR,1,1,1,1,1
PUDHIAGP,1,1,1,1,1
LIPFTQIR,1,1,1,1,1
LCSYQPIM,1,1,1,1,1
OJGPXWRA,1,1,1,1,1
CXZNVBCV,1,1,1,1,1
DNRGYEZE,1,1,1,1,1
HKLEXOSK,1,1,1,1,1
CLNGVCQD,1,1,1,1,1
RKICATFH,1,1,1,1,1
UFVFCAGO,1,1,1,1,1
CIMOOFPZ,1,1,1,1,1
XWXDVLOB,1,1,1,1,1
BANKHUMP,1,1,1,1,1
ETDDIQCI,1,1,1,1,1
ETZRNXHT,1,1,1,1,1
BFKMJEGG,1,1,1,1,1
FROIYEEN,1,1,1,1,1
HDTWSPSP,1,1,1,1,1
PQUJOEPZ,1,1,1,1,1
JUJUOTZU,1,1,1,1,1
QGRDEOYU,1,1,1,1,1
ZACIDBEB,1,1,1,1,1
CQVZIHNL,1,1,1,1,1
AZMYMXSC,1,1,1,1,1
LXGEYDJS,1,1,1,1,1
GKTPCKRG,1,1,1,1,1
EHBIKFGG,1,1,1,1,1
MVUYJMNU,1,1,1,1,1
SIWDPFPG,1,1,1,1,1
WYAWFMFH,1,1,1,1,1
FWWIYBYY,1,1,1,1,1
LZJKWEET,1,1,1,1,1
IOIVZNVH,1,1,1,1,1
SLUNVAKJ,1,1,1,1,1
TWEDJEOZ,1,1,1,1,1
ILWXUIWU,1,1,1,1,1
RKQBFVDW,1,1,1,1,1
GGCKVVDN,1,1,1,1,1
RCBJLWMZ,1,1,1,1,1
IWAEKWXO,1,1,1,1,1
HPCHKNRF,1,1,1,1,1
VVODCOCI,1,1,1,1,1
FMOUTAIM,1,1,1,1,1
UFQGQQWY,1,1,1,1,1
UKZXWMXS,1,1,1,1,1
NMKEYKWM,1,1,1,1,1
VRWTFAUX,1,1,1,1,1
AIGNLPTF,1,1,1,1,1
UWIBZPPG,1,1,1,1,1
BRGKESCW,1,1,1,1,1
TNBMXOHU,1,1,1,1,1
RGRZITNI,1,1,1,1,1
APXZSYWV,1,1,1,1,1
CSEMMHEC,1,1,1,1,1
ZSDFTRVZ,1,1,1,1,1
DNRAASAY,1,1,1,1,1
FORNMVXU,1,1,1,1,1
WGDMNEYD,1,1,1,1,1
UNKSXOBT,1,1,1,1,1
GMKSVHRT,1,1,1,1,1
LVBRAOJY,1,1,1,1,1
YECTMRTX,1,1,1,1,1
YEONZWAH,1,1,1,1,1
ZLIUJBOR,1,1,1,1,1
NSAPSNPH,1,1,1,1,1
BZXQUIBB,1,1,1,1,1
AIHKPLIA,1,1,1,1,1
FUBXJNLL,1,1,1,1,1
LPXSXPCN,1,1,1,1,1
DHFWMPQP,1,1,1,1,1
PSAJJQAM,1,1,1,1,1
HJRGBSVY,1,1,1,1,1
CLBWPWKY,1,1,1,1,1
ODYUGUGA,1,1,1,1,1
BOFGSZBH,1,1,1,1,1
HYOHSIVX,1,1,1,1,1
UXGGNRHF,1,1,1,1,1
HYOVVUXK,1,1,1,1,1
JVEALBCF,1,1,1,1,1
MQWBEMXE,1,1,1,1,1
FAFFDNZM,1,1,1,1,1
KPPBUSFY,1,1,1,1,1
DBVIFGSE,1,1,1,1,1
KQSFQJRT,1,1,1,1,1
ZKFBDWVX,1,1,1,1,1
DROXHMIC,1,1,1,1,1
TNMHCZCQ,1,1,1,1,1
AHETZFBE,1,1,1,1,1
CFAICXHO,1,1,1,1,1
NUPJPKPR,1,1,1,1,1
RZOQSWQV,1,1,1,1,1
BDYZFNSS,1,1,1,1,1
KCCMZSUN,1,1,1,1,1
PLPHXNAX,1,1,1,1,1
VDTZQNKE,1,1,1,1,1
JXCDKOTA,1,1,1,1,1
CMVZAYKN,1,1,1,1,1
XZANFNPD,1,1,1,1,1
ITVOZNUA,1,1,1,1,1
PGKXFJAQ,1,1,1,1,1
GUVDURXX,1,1,1,1,1
JVIZJKNJ,1,1,1,1,1
ZHJIRIML,1,1,1,1,1
THUVLYJI,1,1,1,1,1
WERIJSVS,1,1,1,1,1
DEQMYPWR,1,1,1,1,1
NZWVHGCS,1,1,1,1,1
HTELVWVE,1,1,1,1,1
ORQGKVBI,1,1,1,1,1
GEKNFFDU,1,1,1,1,1
HOUEWDFM,1,1,1,1,1
EOLUYRRV,1,1,1,1,1
MEXYQAHJ,1,1,1,1,1
RJYJIDRF,1,1,1,1,1
YJDNMJBB,1,1,1,1,1
OHNGMOOL,1,1,1,1,1
GEWSHUFZ,1,1,1,1,1
MDQMUQRV,1,1,1,1,1
KGIYQOCG,1,1,1,1,1
KTPVFDJG,1,1,1,1,1
RKUUKLRC,1,1,1,1,1
SGIWYGBM,1,1,1,1,1
RBJNVHYG,1,1,1,1,1
BNLLJYKD,1,1,1,1,1
KCULJJJS,1,1,1,1,1
FXXQPWIA,1,1,1,1,1
BOLLQWJT,1,1,1,1,1
RWRBXXLQ,1,1,1,1,1
JUEIGSUF,1,1,1,1,1
KMQBEXXZ,1,1,1,1,1
DTXFOCQP,1,1,1,1,1
CUQPTFCX,1,1,1,1,1
RMJBLRXD,1,1,1,1,1
IOUKINHJ,1,1,1,1,1
KTYTPSGE,1,1,1,1,1
BWSYGUBP,1,1,1,1,1
YOZTDRMJ,1,1,1,1,1
JWIHSJNT,1,1,1,1,1
VMSYOJXA,1,1,1,1,1
OLMAKZXK,1,1,1,1,1
GRWUCLZO,1,1,1,1,1
ZKMWTXTF,1,1,1,1,1
WZXLWLZA,1,1,1,1,1
LEQDTFTT,1,1,1,1,1
LIVUCMLS,1,1,1,1,1
GFXWWXKP,1,1,1,1,1
YARFGQTC,1,1,1,1,1
HKARVTPX,1,1,1,1,1
WVVOMMFL,1,1,1,1,1
QSKXKLXD,1,1,1,1,1
VFJGVFDF,1,1,1,1,1
CKXXCPKR,1,1,1,1,1
HPOQTRWW,1,1,1,1,1
DLNXBLLD,1,1,1,1,1
HIXIEQRH,1,1,1,1,1
XJEBPRHT,1,1,1,1,1
YQOABGCR,1,1,1,1,1
CRNHEXQB,1,1,1,1,1
SZXWJPWI,1,1,1,1,1
CZDQJNLV,1,1,1,1,1
IVMGTBTM,1,1,1,1,1
YKITABDD,1,1,1,1,1
PXKVNXGE,1,1,1,1,1
IIMODNJT,1,1,1,1,1
RONGUUIZ,1,1,1,1,1
NTHCPUAA,1,1,1,1,1
HAFNPBIH,1,1,1,1,1
NWYIDLHP,1,1,1,1,1
GRZIYGDP,1,1,1,1,1
IVCSCOJV,1,1,1,1,1
MWQCLTLX,1,1,1,1,1
OVJICWNY,1,1,1,1,1
JWVEITXG,1,1,1,1,1
GFDOCTQF,1,1,1,1,1
SPDGOJZE,1,1,1,1,1
HTWMPRIR,1,1,1,1,1
LVSHSULC,1,1,1,1,1
UQXEYCDR,1,1,1,1,1
INHCJDPW,1,1,1,1,1
LIUUUCIM,1,1,1,1,1
RLDLONXY,1,1,1,1,1
XXPOOZOG,1,1,1,1,1
WNYEIRHB,1,1,1,1,1
JQETRTPC,1,1,1,1,1
NJEAGUMB,1,1,1,1,1
ABSGXOBT,1,1,1,1,1
VGSQLCAL,1,1,1,1,1
PXZMVUBP,1,1,1,1,1
DHKEDJTU,1,1,1,1,1
KDRHQRAE,1,1,1,1,1
TJYBVRFV,1,1,1,1,1
QOXRMVQR,1,1,1,1,1
PUPDPEAY,1,1,1,1,1
QNCWMGQA,1,1,1,1,1
EHOEIXMV,1,1,1,1,1
UGKFRUFB,1,1,1,1,1
MDACVZNN,1,1,1,1,1
ICBWUCXF,1,1,1,1,1
XAGHUPJB,1,1,1,1,1
IFDDFOHF,1,1,1,1,1
IVTTSBXH,1,1,1,1,1
GYAHFHZP,1,1,1,1,1
NYGODQQC,1,1,1,1,1
PRGIFKZR,1,1,1,1,1
FDSEEIEH,1,1,1,1,1
BWIKIDMW,1,1,1,1,1
SFZZSTTV,1,1,1,1,1
ECSCYJCV,1,1,1,1,1
BXYUWYXA,1,1,1,1,1
PXZMZFDG,1,1,1,1,1
TXAIWPFQ,1,1,1,1,1
VAJZXQGR,1,1,1,1,1
IGXFTEIX,1,1,1,1,1
YUPSPRLL,1,1,1,1,1
HHWGEULT,1,1,1,1,1
AKULZQGN,1,1,1,1,1
TSECMSDI,1,1,1,1,1
JIMPHODQ,1,1,1,1,1
XXDDKEAA,1,1,1,1,1
IUQNYXZW,1,1,1,1,1
BWICLHQO,1,1,1,1,1
ROBPWBAH,1,1,1,1,1
OPBGGLLS,1,1,1,1,1
TFTYJLWV,1,1,1,1,1
SXQMKSAF,1,1,1,1,1
IIDDWXAR,1,1,1,1,1
LMCPCVUD,1,1,1,1,1
DOVFSNJD,1,1,1,1,1
HNNXQHLL,1,1,1,1,1
QRQPXRCC,1,1,1,1,1
FOHUJZCQ,1,1,1,1,1
AQQMPRRF,1,1,1,1,1
RAPRODUD,1,1,1,1,1
AIOBRJCO,1,1,1,1,1
WXRFFJWU,1,1,1,1,1
IOTZETKA,1,1,1,1,1
WSGWARUR,1,1,1,1,1
MIVPMHQI,1,1,1,1,1
FYWJQZJC,1,1,1,1,1
ZJLJKGHM,1,1,1,1,1
VLQODGHH,1,1,1,1,1
MRPAFIUT,1,1,1,1,1
ZSSWCVKJ,1,1,1,1,1
LHOZEYLL,1,1,1,1,1
IOBGUGGT,1,1,1,1,1
EHOPWKVB,1,1,1,1,1
SEOYCZLH,1,1,1,1,1
SVQPWZRR,1,1,1,1,1
FPUFAWIK,1,1,1,1,1
ZLVVPGKP,1,1,1,1,1
OZJBJLQD,1,1,1,1,1
QBJVOQFA,1,1,1,1,1
RQBGSBXL,1,1,1,1,1
DKFSRFAY,1,1,1,1,1
YUZIFQAD,1,1,1,1,1
PWRLZNPQ,1,1,1,1,1
SYGRRJKZ,1,1,1,1,1
MIHHFYMT,1,1,1,1,1
QTUPJBJB,1,1,1,1,1
OMFEIRBZ,1,1,1,1,1
UVCJXSJW,1,1,1,1,1
OXXHLTDZ,1,1,1,1,1
BEVFHOHX,1,1,1,1,1
ABWOXXPX,1,1,1,1,1
IWDPXCED,1,1,1,1,1
ILJZVMXY,1,1,1,1,1
FDEDGFKI,1,1,1,1,1
HBVKHCGA,1,1,1,1,1
CHBJZOOQ,1,1,1,1,1
WRVYPBVX,1,1,1,1,1
ZQDTZDGP,1,1,1,1,1
OWELVCSI,1,1,1,1,1
NHPYVNFL,1,1,1,1,1
XFKVDPVK,1,1,1,1,1
LWJUJVOT,1,1,1,1,1
