crew_id,BIA,LDE
IPUAKBAU,1,1
IWQKBPTG,1,1
CVAISFYN,1,1
KFFOMDZC,1,1
COZBYFBH,1,1
ZOIHFUBY,1,1
HFKYPSRJ,1,1
BAQCMSJG,1,1
JDMCNPMV,1,1
HKPZSXZI,1,1
ZYMRDZPV,1,1
WSLDQVRO,1,1
NJOINSCH,1,1
RRGGUPFT,1,1
FRKITIMM,1,1
WKYYMPRL,1,1
EHQNYJUS,1,1
EPYBOOPR,1,1
UCAOYRNB,1,1
VMVRHAGB,1,1
TOSGNTQG,1,1
LPRPKGIW,1,1
USJZQDHN,1,1
ITSRAXJJ,1,1
KRTCRVGD,1,1
BMPGGSSO,1,1
PJUPFRWD,1,1
BRUWDNPK,1,1
APIEXILG,1,1
UCPRVTER,1,1
NTHOROLN,1,1
WOOLJGGH,1,1
PRDFTFYG,1,1
QYIRSERE,1,1
QSDZQBAW,1,1
BWOYDESV,1,1
MOABBMXI,1,1
FSKHXKAQ,1,1
KCSESROI,1,1
YGQOTQWR,1,1
QACJJQYC,1,1
AOTREEMR,1,1
TFLGNMHP,1,1
HQAIFVBM,1,1
HNLBDKNL,1,1
QPPATPWV,1,1
YZBPETFH,1,1
YYBOBYCY,1,1
UQWICVWX,1,1
DCOTHAGF,1,1
ANMRBGGW,1,1
UKSZBRPU,1,1
QPTVKXWL,1,1
YYCNNFNX,1,1
JLXQMTIN,1,1
VMOOJFYQ,1,1
KUHQTDEZ,1,1
WDTFPYZE,1,1
GQNBMPVI,1,1
ZTFYIQOX,1,1
SMHQKFDQ,1,1
GIEQFWOV,1,1
HTGQLDJT,1,1
RBBNXARM,1,1
YSZXHPPG,1,1
SQTZQFOE,1,1
GXCZQDKY,1,1
STHXDAGV,1,1
PCKLBIAX,1,1
CGLQWMAJ,1,1
ALKZEYQN,1,1
WVPMXXJA,1,1
GZDPNNCM,1,1
JMLSDLSN,1,1
JVVUGUDZ,1,1
MUVKQBAV,1,1
VXFLKZDH,1,1
CXAFVAIV,1,1
UOJIHSZZ,1,1
FJZTTLVE,1,1
QDTVMWNK,1,1
UXYMJDFA,1,1
MPGOODIS,1,1
VJHIGKJL,1,1
GJRIUWDV,1,1
CMFVYDBV,1,1
QKTBUCUJ,1,1
YTGURHKT,1,1
ZKAKQVVI,1,1
KZZRKRQX,1,1
LHCLHERO,1,1
QRKSDMVL,1,1
NLRVIGUK,1,1
KAXDSDMY,1,1
BKPEERAB,1,1
QRLUQKST,1,1
HDZYKLGN,1,1
DSIPJAOG,1,1
ZVEBUZQN,1,1
WHKIYZBC,1,1
BWEYMYZT,1,1
VMIFJVUO,1,1
UXKIRDTP,1,1
VLPBTDEZ,1,1
FGOHKXFD,1,1
VMGBOJAO,1,1
UJKCCEEO,1,1
LFDZSQQN,1,1
WYCYMRZF,1,1
TVQZJGOP,1,1
MXUPAFQP,1,1
PQRYYMBO,1,1
OLGVWHTK,1,1
PUBLEKDU,1,1
PYMLKVJZ,1,1
OGCMUNGS,1,1
SBTPSBPS,1,1
RINNIMEV,1,1
LGAHFTAG,1,1
HOOXYNLM,1,1
MNZIVKCR,1,1
IRANYGKU,1,1
JVUHELFC,1,1
MMJXVMRO,1,1
VCDQUSLG,1,1
ASLQVSAG,1,1
XGKRFVDK,1,1
KRCOQKTJ,1,1
ZMPPLAFL,1,1
CXYHXMLO,1,1
GQIRRPBO,1,1
SZCBWWCK,1,1
VXTWGDYY,1,1
EXBGKDMT,1,1
TILUBZJQ,1,1
YQESXHMS,1,1
MPMNNALO,1,1
UJLSFLDK,1,1
IMQXSZMX,1,1
WLJMXLXT,1,1
DTAXZYOY,1,1
IPQFMWNW,1,1
QUWRNRHT,1,1
MWELPNYS,1,1
DXQZAGXN,1,1
WHCRCYKR,1,1
VVXTGGSM,1,1
SQGSPKOU,1,1
RNVRUWPR,1,1
NTTSFBXO,1,1
ZEAWXTDN,1,1
WVTHSFOH,1,1
QISUQOCU,1,1
EAUSIEZE,1,1
NAEDYWIM,1,1
ZDXAYEQY,1,1
WTWXXGOT,1,1
TXVZUEQZ,1,1
PFNSUYZA,1,1
DRPIFAFS,1,1
ATIRRBSP,1,1
FKRWHLCH,1,1
FCWTLFGS,1,1
JBWVKSFE,1,1
FXCAJKUV,1,1
NWNYHUJO,1,1
LNUZZYPX,1,1
TITKWNVQ,1,1
WYHTXVVJ,1,1
VPYDVYOC,1,1
GPDABHQW,1,1
SEIANDFR,1,1
VZYMDVHS,1,1
MTHOGZIE,1,1
AZPLZNIF,1,1
QGOZILOE,1,1
CNLVJPZP,1,1
BSWRXRCA,1,1
NQHSBWOL,1,1
CRHQIGLE,1,1
WHCNQOAH,1,1
WNOGOABT,1,1
WMZCZMPH,1,1
FCEJOOWZ,1,1
PKCYUPQY,1,1
MNDCGZYU,1,1
KJJFNEIR,1,1
VEHSFNHD,1,1
GTNMUTDV,1,1
JHPAEWSD,1,1
GSMCPOFR,1,1
JUNRSWAJ,1,1
VAUVQYNH,1,1
AWCNZTCL,1,1
AOJPDHQA,1,1
HAXOLWVC,1,1
DCRRSAYV,1,1
BKHJPRGV,1,1
FARRBXQI,1,1
MMOMSVZZ,1,1
POAQMULL,1,1
JAMFXDPP,1,1
UWNMOQEC,1,1
TLGJMFGX,1,1
DGNVWKAV,1,1
EVOPRTCL,1,1
EONCCPIW,1,1
PHUZYQPF,1,1
EGCHRQRA,1,1
WGVMFFGP,1,1
XKQGABSA,1,1
JQIRMZDK,1,1
PTSJIMKJ,1,1
JIOXIEWW,1,1
NIWCEBAC,1,1
ZPKWRAOF,1,1
TMPJYEJH,1,1
GKSCGFZH,1,1
LQZDGDGF,1,1
LAXEEMOI,1,1
XTLXSGIQ,1,1
HMFXCVNZ,1,1
EXOWFVZF,1,1
LRFLSAXS,1,1
WMWDEBGD,1,1
OXALHSUV,1,1
FBIWVWOU,1,1
CWJXYEEG,1,1
HDSYSWDV,1,1
WTMCFTWH,1,1
AZPJDZRK,1,1
NRINUWWL,1,1
HFDWFMLV,1,1
RWCAPSMB,1,1
LSIKQQKX,1,1
JERHYHHU,1,1
SCCCBPJZ,1,1
HHRQUKIC,1,1
GTUUNLQQ,1,1
FINBYKUK,1,1
TFEWBXNW,1,1
TPJBVUEX,1,1
KSVZGZDP,1,1
CFRGWXWL,1,1
NNKFYAVF,1,1
WBSOBRHC,1,1
TCQMZIPS,1,1
UHXTQHNU,1,1
GXIRDVNG,1,1
QBHEKXOH,1,1
WDOUACES,1,1
LVNVVXOJ,1,1
ACXKADJF,1,1
EGIEECWN,1,1
JXQXWEBZ,1,1
ZJDUCOCQ,1,1
PXYFMTAX,1,1
VRCTRNBZ,1,1
AKNELYBM,1,1
AGTVHWTR,1,1
WEBEKRXJ,1,1
JFTBHBDP,1,1
OGUTQSRW,1,1
PDREEZDV,1,1
QGGBEXMV,1,1
JKNBTCGG,1,1
KLSTTWVY,1,1
QPPVMFUU,1,1
DSRDLSIB,1,1
VZBKNCZL,1,1
GGAGUXYJ,1,1
IRXHSJQP,1,1
JMNMVQAN,1,1
QIZUAOTE,1,1
NMENQFLK,1,1
ALKQXBGD,1,1
GWHSMAPN,1,1
GPUTMFVG,1,1
RHOGUZXP,1,1
XWCXTPJD,1,1
ITNUJZQD,1,1
EFQOBRBV,1,1
UFUFOBDM,1,1
EVSGUNLV,1,1
JCWDAUEW,1,1
IUCEMUPH,1,1
NCIEXPYS,1,1
DPYZTRKU,1,1
BUQWZSGE,1,1
TJNBAVBF,1,1
REPQIIMY,1,1
DMNBEFTC,1,1
UTWSFWDC,1,1
ZOSCVEEM,1,1
VHOZZWDD,1,1
DWLSIQOT,1,1
IFIXHDNR,1,1
DDYEGAXV,1,1
SREHNURY,1,1
DWNEBELO,1,1
PRZOZSYS,1,1
QNIFHMYL,1,1
UJJJUQIT,1,1
COJBCXJC,1,1
MIULHTKR,1,1
JXPFVUMA,1,1
OLTHNRWS,1,1
FGGADUQH,1,1
FVALLXFJ,1,1
DVXOIMMI,1,1
GHJRTFGM,1,1
UBOAXDTK,1,1
KKKTCIXK,1,1
LSWSGRXX,1,1
PFGPMECP,1,1
BAFIHGHL,1,1
VJSYJIFH,1,1
BRDLLPMQ,1,1
IHALONQC,1,1
SYJGMZOT,1,1
WXQZEQDE,1,1
QOGFLMYS,1,1
YLVESQRL,1,1
PGQELXKK,1,1
NWWLHDBN,1,1
HQTLXAWF,1,1
TDTEDNKG,1,1
FCRDMWKJ,1,1
ERIHFTSI,1,1
CWUFRXOU,1,1
WXGCIKZH,1,1
DRPKKPWN,1,1
CXXOMPJZ,1,1
RDQRRFXU,1,1
COLKSIWX,1,1
BDKBGRLN,1,1
JIFTSYKP,1,1
JNZUXODC,1,1
XHDVCBLS,1,1
PDLUOIZL,1,1
VSYUDDFC,1,1
ZLXKOQKR,1,1
PGAGOJKQ,1,1
IBKOYDZJ,1,1
XCYSJWVR,1,1
OIBNNINS,1,1
ZHKVIJMR,1,1
RORZMPSU,1,1
CCZOVBHN,1,1
IDMTDPGC,1,1
JOMVBNHS,1,1
QNWTLQUT,1,1
NQUGBSPO,1,1
SDSXGNGG,1,1
GEPJCYTD,1,1
VDFTTCNC,1,1
NESRFLCP,1,1
UQSMMKHY,1,1
MYHHQYEB,1,1
PSFDWTZS,1,1
DMJDGFZJ,1,1
RSKMSMEB,1,1
ZEHTPIDD,1,1
WYOPEMFD,1,1
YHTFEVRS,1,1
OSHITZDM,1,1
SRNXIQTX,1,1
JYZFBXJO,1,1
UFKATKVJ,1,1
VNIGLJAT,1,1
GBBKOKNG,1,1
FKHJGGPO,1,1
VMEIXIXI,1,1
TDTTUQDY,1,1
PIPVDOND,1,1
GTYYVGXK,1,1
DBFTAWCF,1,1
ZAZSSKMS,1,1
OEJHBJXQ,1,1
BSNJHSWU,1,1
DZAIEATJ,1,1
ATWWSVIL,1,1
BWWKSEEJ,1,1
HHUABLFI,1,1
EVKWRKPK,1,1
PISEPLWB,1,1
ZJUCWYVG,1,1
EZAPTYPL,1,1
UVOEWEGD,1,1
WGPUTZEP,1,1
NQFOZPXZ,1,1
PHDGAACP,1,1
ZBYKPNLO,1,1
XGBLPUIK,1,1
ZUMLLROM,1,1
HVBEWQRI,1,1
SIMWWVOM,1,1
LMXOECHE,1,1
AGQXORCV,1,1
ZOMXBAXR,1,1
BRMKHPKK,1,1
WBBFALSP,1,1
JVMUVXVT,1,1
MSHFPWNU,1,1
GORYETKU,1,1
VZTNEHOL,1,1
JXITAPHY,1,1
NGZKAOJL,1,1
SFNKYJUL,1,1
CBNYVDCJ,1,1
QAOTOBTU,1,1
WOQSBGWW,1,1
TZHQGIIC,1,1
OIBWOCLR,1,1
OWQKBVXS,1,1
NDUWMCKL,1,1
FDVNGICX,1,1
RLICJMZX,1,1
YKVMAMDT,1,1
KVRKHFYA,1,1
PJAYPQHM,1,1
AHXHPWYC,1,1
OOPTOQSM,1,1
MKSTQUHX,1,1
GFJKMDRN,1,1
YUFSJACE,1,1
KVDGCMTJ,1,1
FETTKJRM,1,1
CFUCAGSH,1,1
RJWCUJAW,1,1
MMTOENVC,1,1
YZJWLNOQ,1,1
ZEGNLUAA,1,1
EDRUHKBK,1,1
NJAYEHNW,1,1
LKWTEGJP,1,1
MNTRGNAU,1,1
PRDIAQIQ,1,1
PMRLFZGB,1,1
JHSFGXSD,1,1
XWTJZJGQ,1,1
DQFMMPEA,1,1
HLBGBINO,1,1
SMWBBSTI,1,1
FJOJXZAP,1,1
ODRLEXBA,1,1
TJDVSCIS,1,1
JMEPWPFO,1,1
KYSHHNJG,1,1
CTXTUPLP,1,1
XPALRKXR,1,1
GWBSGFTE,1,1
MFRHDDXF,1,1
ZJWYCDWN,1,1
CCZYBFYV,1,1
OYSUVIVI,1,1
YCGFCXEI,1,1
XUMFZGGB,1,1
BOUDVKSJ,1,1
IHFTTCWD,1,1
GXGMAEPM,1,1
CNBKCDJW,1,1
PYWYQDUE,1,1
NIYYPAQJ,1,1
SDHROEPG,1,1
ZOAWNWEX,1,1
FHQJDLBG,1,1
CQTXNITZ,1,1
STACBHUY,1,1
BBSLEMCH,1,1
WIKMAFTX,1,1
KRIGZRBN,1,1
HRQECCGY,1,1
SLPBNMCD,1,1
DBOSGDWK,1,1
HJKYTVBA,1,1
ONAMIJNL,1,1
JEDXNRDI,1,1
BOVVEUJU,1,1
WNLCYGFF,1,1
EIQXAXSI,1,1
EMUJVFAE,1,1
NJUXUKGU,1,1
CQVWTZME,1,1
GSINPXRU,1,1
DOOXPAZZ,1,1
OREKBUCP,1,1
XEAYHBYL,1,1
XBRFMUJZ,1,1
WSOYKMFE,1,1
MVOCGIDV,1,1
GRIGKZYY,1,1
WQFLTDAM,1,1
XOCHVEJB,1,1
YIRYPVGF,1,1
MXGSYNBW,1,1
LIVQGHOQ,1,1
YCHLHMXM,1,1
DPAEEQAM,1,1
XPKZZDVH,1,1
AFNEPYSO,1,1
NMMUISPA,1,1
FLBCKKHC,1,1
VSOZDEMP,1,1
GITOTRSZ,1,1
HNLEHCKR,1,1
PFHBLQCM,1,1
ELVKKEZQ,1,1
SERALVIZ,1,1
EVWNOPJR,1,1
BBSLZXJC,1,1
JBDGYPMD,1,1
WEMOVBFJ,1,1
SLJQLBZK,1,1
LZDRFPLO,1,1
ETGWVQEW,1,1
PAKBVAYI,1,1
IPHXLYWH,1,1
RZFTRYHI,1,1
YJNPVCPE,1,1
WJXFIKQH,1,1
BPZRSIII,1,1
JKMRCYQV,1,1
SGCONQUJ,1,1
ZENZMOTX,1,1
ZGTAYVWV,1,1
FIDIQSNI,1,1
ZJDYBFZP,1,1
ZKWNUSWD,1,1
BLFONJPO,1,1
LCBZSCJT,1,1
HESEBKXQ,1,1
QHBZWOJQ,1,1
ZQPXQAKF,1,1
JZMWEOUT,1,1
TMGVSZUR,1,1
TWEEWVFD,1,1
PTYRDPPZ,1,1
HMLPEHYY,1,1
BPNYKPHC,1,1
CRMEZMOE,1,1
EJVVIJFN,1,1
MYMVSOZN,1,1
PQBHTURG,1,1
GSRNMENY,1,1
KDRDROKD,1,1
WJWEPPDX,1,1
AVCKUGRZ,1,1
TYFQTKOF,1,1
NOZRCQAX,1,1
HWFLWUWO,1,1
OLZNLIZL,1,1
NSAZQAGI,1,1
POCSYOON,1,1
RPMHBSOL,1,1
QQLYQRUG,1,1
CLUPFNTF,1,1
FLRSKDPM,1,1
SDJVZAXI,1,1
MGFIWLNU,1,1
DNFIBYQO,1,1
VTUCCNKE,1,1
KLGASOTZ,1,1
JMUDOVQI,1,1
HFYDSLDP,1,1
KSHNYNOJ,1,1
KDPBGAJT,1,1
JOAWUZWS,1,1
IKWVLLXI,1,1
HKXKASWA,1,1
VXMNGEUH,1,1
CJDNFYMH,1,1
DBLJMKUS,1,1
UCOUGJCY,1,1
RXPCVFMW,1,1
QFUYRJXL,1,1
CDANIFYA,1,1
RRXAPWPR,1,1
SRDQIEGH,1,1
FGTMEKMD,1,1
KZNXLKRE,1,1
FOTMFPRJ,1,1
KNRNKHLR,1,1
IQOCAIOY,1,1
DAFKSIIA,1,1
NLGLHRBY,1,1
DHWBWONR,1,1
YNXGCFIO,1,1
SRNKIKXH,1,1
UJICCXYT,1,1
SNEDRMIX,1,1
EANPLMLQ,1,1
GBDDRVLD,1,1
SEWRTLCN,1,1
CKWUZOKI,1,1
YITKXIME,1,1
ELUFCMXZ,1,1
QGIWDKHB,1,1
VSLPBUQY,1,1
TELGHLAY,1,1
YGEFVMDZ,1,1
ZZPDRIFX,1,1
SSBNOEVG,1,1
RWTHSOYT,1,1
OZZMQTXL,1,1
NLCILRLP,1,1
XTPTNRYG,1,1
QNHNWHFW,1,1
VUDVXNGL,1,1
WDQBMTTH,1,1
SJBXJPNQ,1,1
LVCYLWHI,1,1
DTDSBPTM,1,1
IOLRTKOD,1,1
UXUQWWOZ,1,1
RKHLJYAK,1,1
DVGNQGBJ,1,1
NJTFKUXB,1,1
ZWWWZFJU,1,1
HHISMCNP,1,1
ELCVLMYW,1,1
SOONAORN,1,1
IRTWUBKO,1,1
TPPDTATL,1,1
XERSGATC,1,1
OBSCKWEL,1,1
GIOOJDCH,1,1
VHFGXJYZ,1,1
IOFDJVIJ,1,1
VUKAMMXJ,1,1
JDFITPPE,1,1
QTVIPLQN,1,1
DPZVPWND,1,1
SDRMKMWE,1,1
RUNVPLHG,1,1
SIXQONIA,1,1
XKZTVZYV,1,1
VUQOAZFA,1,1
WWAZUCDQ,1,1
KAZCJNMR,1,1
XMFUJOXM,1,1
ALQHAAAH,1,1
VIGNKRYK,1,1
CNHDTVLO,1,1
PSWIDVPZ,1,1
WFMMBBWG,1,1
PVLIQGUH,1,1
HAZJKTMM,1,1
CRCNYOOZ,1,1
HSRMNASM,1,1
MQWJBJHA,1,1
RTLJLGTO,1,1
QVPMPCYH,1,1
TGJMEVJY,1,1
NTTOJQFY,1,1
FEJSZEYC,1,1
CJTTLQSR,1,1
VLPLYMUJ,1,1
FHNCCBXC,1,1
XECKZZFY,1,1
MAQNOKEE,1,1
HUKBRTJM,1,1
LTYNQHTX,1,1
IUWDQTMH,1,1
WJLMCJQK,1,1
FZLUGLAS,1,1
ZLWUJEWS,1,1
BIIEIKWV,1,1
YMPULSJY,1,1
RVSEMNOF,1,1
PIKJZTYB,1,1
IGJYBHSF,1,1
RTKGNMNH,1,1
YGTOJYKF,1,1
QPQAIHPT,1,1
QYAULYLI,1,1
HYSWGRNB,1,1
ZUXTXAAX,1,1
KPYZVPWW,1,1
FRQWRXMP,1,1
DMMHKVNR,1,1
OXODCLDA,1,1
ZKONCLBW,1,1
BLVRGBUJ,1,1
VVDNKIKI,1,1
VFQHTBLL,1,1
LSVFTTKO,1,1
XUVQABRO,1,1
VICJMSRX,1,1
UHRRVARF,1,1
HYMFNDXX,1,1
KLAJPDTX,1,1
REJYJXAF,1,1
UANNUOQT,1,1
SRDRDYAL,1,1
YZJGJJAT,1,1
NKLLHMVT,1,1
TFLGZPVZ,1,1
QFGSGQJI,1,1
HBGDCUIR,1,1
GCNWJUCY,1,1
SXHTBNAW,1,1
JQKBVNNJ,1,1
AKMMVGEX,1,1
NCSESSJQ,1,1
POMQMEJI,1,1
TIAIEAHU,1,1
TOSZHDDZ,1,1
JSEZJFDD,1,1
AXTSNAKQ,1,1
SZCRBJET,1,1
AXEKNWOB,1,1
POOFRWGR,1,1
HOTNCTVN,1,1
ANRUJBCB,1,1
MLTKQROW,1,1
JUESDPOO,1,1
VNARSMCN,1,1
IUDJGGYF,1,1
CJRURYQK,1,1
YUCAFSEB,1,1
FTIUVBVY,1,1
JAYGYRCT,1,1
FUDEOAAP,1,1
PZMRYQTQ,1,1
KPUPBFOK,1,1
ZNKGDVBP,1,1
YKRZHPKT,1,1
NFVKUNXQ,1,1
XHHPLKLP,1,1
RFEKCTAM,1,1
QDSVLLLU,1,1
FFJQRKOL,1,1
NYBQBQDH,1,1
FZJTCTLS,1,1
FQSPSZWG,1,1
RZHPUATC,1,1
NFXRXTNV,1,1
FLEMIWIA,1,1
MQJUTBKT,1,1
WGTGDTAJ,1,1
XHQXXWTK,1,1
TJVCHSMB,1,1
NVNCQNLZ,1,1
YWCEAACA,1,1
VTBLZYVF,1,1
DMHHGFNI,1,1
MLLNBOCJ,1,1
OLTVKSRM,1,1
RBNAZDCZ,1,1
CCIGMJJG,1,1
MJGACLVK,1,1
XWOZWMRA,1,1
SCWCQVFA,1,1
TFJQQPKK,1,1
GQNSNEKQ,1,1
OMMLDZYH,1,1
BQJBYOPY,1,1
MXPYAUJR,1,1
IIIPYIPQ,1,1
MKECEEYC,1,1
UTBGWOHD,1,1
WHNXAQRP,1,1
DHVMBJDJ,1,1
MKOLKAZA,1,1
KQUMVFLF,1,1
ZCXODAQH,1,1
UFCGFEIW,1,1
PVXLBLTJ,1,1
RJDFXGBM,1,1
UVVCRSRX,1,1
IUDKHZOB,1,1
MMKPRSWO,1,1
LUVUDMKH,1,1
DDPRUTLE,1,1
DVWWZTVI,1,1
VQPSMWFG,1,1
KUWOCRSS,1,1
SAXCUPZT,1,1
WGFYHZAH,1,1
HYBRFYEJ,1,1
TEWYUZBY,1,1
MSWKSWQT,1,1
LPWJFJJC,1,1
NPLVBNUI,1,1
JOSIDQNS,1,1
SLPLMKGE,1,1
MRVUVMGC,1,1
FHCGFSBT,1,1
KRFQRVHY,1,1
ECBEZBVF,1,1
XKTJIPLK,1,1
MSZEEVEB,1,1
OYHSEKQG,1,1
IKCHLSEM,1,1
ISPOSBOU,1,1
QNWEJXQF,1,1
KBMNQBLI,1,1
BEWJXGSF,1,1
FLSUHNYN,1,1
ZWIXPGTT,1,1
WEGGOQMB,1,1
EWQOJUVE,1,1
GFNSQPQI,1,1
KVXAMZEE,1,1
LWZYVPQB,1,1
CGGTXOBM,1,1
DJOPUNMG,1,1
NWQLBSBU,1,1
CMVSOUHT,1,1
IKGSXZHS,1,1
MUQWEIDY,1,1
TEAMKYJU,1,1
FZJSAMQP,1,1
YBDSJXCJ,1,1
FSBGAWHT,1,1
BZZCSEWL,1,1
EJFVZETO,1,1
LIBXPDGC,1,1
EHSQBGAC,1,1
SDUNJMVE,1,1
YMPLOHTP,1,1
OIFFDEIG,1,1
PTOEAUAE,1,1
NLHVEHIJ,1,1
SFIRHFNB,1,1
SOFLEBOT,1,1
HUCWJEGL,1,1
KJZCDEUT,1,1
ZQTQIIZR,1,1
SLNTKENB,1,1
GAUQKPTH,1,1
XPGXPYBS,1,1
FUIWLGMF,1,1
WBQBUHAA,1,1
KDFUXZXY,1,1
AVBNGLST,1,1
EKALGYBH,1,1
ONYEEOPO,1,1
QKZKSVJJ,1,1
EENUZAWT,1,1
RBFXQCLP,1,1
OYQMRVGU,1,1
WVUIAMYV,1,1
TJGMWMIF,1,1
QHTFXRJK,1,1
MMAAWLMV,1,1
TNAPRKCA,1,1
GSURGGAK,1,1
JGOLRGJE,1,1
HRXTVUIZ,1,1
WBASTJXU,1,1
SGHVFAFU,1,1
GNZRQLXB,1,1
BHKXODEP,1,1
HPOTNWAX,1,1
ALGYEIYO,1,1
KIPNUXVU,1,1
LTAZUMGX,1,1
XCWMMPBJ,1,1
PPYJNTPB,1,1
PIZWNIVX,1,1
ACPHPUUG,1,1
OVULHLXP,1,1
FAWXYNJG,1,1
EPSJRCYN,1,1
OELOPJVV,1,1
WCGVPFNA,1,1
LMOQRQGZ,1,1
KAVYJEAF,1,1
MEPATYTZ,1,1
AWGRTFCQ,1,1
MQCXKMYM,1,1
SGPQROTQ,1,1
SFWBGQLU,1,1
XMMZFZDP,1,1
HHBICAOA,1,1
EXXDZOTI,1,1
ZIOHOQYO,1,1
PJTJXNFD,1,1
QWEVLBHO,1,1
UOMMQSWR,1,1
BBBXWLSG,1,1
NXSAXFLZ,1,1
UHUKUUGX,1,1
UNEIDCKS,1,1
LXXGJBMA,1,1
IMQINMHX,1,1
TQYBWKVM,1,1
BFUVQNED,1,1
HKGFIXIS,1,1
HPIXJFRD,1,1
KGGUEACQ,1,1
QRDAJDBG,1,1
AJQJBRCJ,1,1
PPDQSGEG,1,1
TECWJJFE,1,1
JISZCDIT,1,1
FOLKWJZE,1,1
UPMMQUJE,1,1
XCEEFDRI,1,1
OMYLNJTF,1,1
QRSFYBIW,1,1
KRZILAOH,1,1
JONZGUOH,1,1
DZZDOMKY,1,1
FXCEVZLJ,1,1
FNUNVGUL,1,1
WGEOPPCS,1,1
EAHJQCHH,1,1
BXWRUGFL,1,1
APTDUDDR,1,1
WBILOKVC,1,1
CVFCRMRQ,1,1
BDBBZPXK,1,1
PYWVFWNU,1,1
LYRWPFKJ,1,1
WQXZRUOC,1,1
HXNYMKKD,1,1
ZIFXIRCL,1,1
FVFXHGAE,1,1
FIMCDSSN,1,1
UIOZXVBK,1,1
NJTJBRDF,1,1
NVPAWIPI,1,1
ZQZUGRUQ,1,1
BAPUYGTY,1,1
OEEALDRL,1,1
RSJIAOCJ,1,1
XPLPZKTJ,1,1
QKXNCWNA,1,1
KNFZXNVC,1,1
AJBWSLGQ,1,1
QAGBKVCL,1,1
UUEDLOMV,1,1
DYZNJRSR,1,1
WJGRCFYL,1,1
TTVRVFPY,1,1
OYLAYNHE,1,1
SBMQYPLW,1,1
KOTDKCIU,1,1
TRMEVMYW,1,1
FSUUOHQV,1,1
NBTXODHO,1,1
EVFVTNVV,1,1
IVGOVZDM,1,1
MVHJLQIO,1,1
WCSVPDIA,1,1
KQVEJFIS,1,1
MOMDOXFV,1,1
ZEJPROBC,1,1
TVPGNUFY,1,1
JSDVIDCU,1,1
BNGIFCXX,1,1
TQFDIZMT,1,1
CMJBQVKA,1,1
VZYVSHMQ,1,1
FBXXNGKP,1,1
FEIAYIAZ,1,1
LBYKDRTP,1,1
WIFJNHCM,1,1
YYXIIURZ,1,1
ZSJMHAYL,1,1
CBFJWYSP,1,1
YYQDNGOK,1,1
HVUFFZOE,1,1
RVTHHATI,1,1
GIRMCSME,1,1
