crew_id,AJA,BOD,CFE,ETZ,LIG,MLH,MRS,URO
OKLQEGFK,1,1,1,1,1,1,1,1
VCOBUYCY,1,1,1,1,1,1,1,1
QNSUTVIM,1,1,1,1,1,1,1,1
VAYIXGPL,1,1,1,1,1,1,1,1
DZYGEQQS,1,1,1,1,1,1,1,1
UDJZOEJI,1,1,1,1,1,1,1,1
ROACSNXS,1,1,1,1,1,1,1,1
HPWIDXLW,1,1,1,1,1,1,1,1
QZZYXIHP,1,1,1,1,1,1,1,1
UIJQNPEV,1,1,1,1,1,1,1,1
WHIGPXAW,1,1,1,1,1,1,1,1
PESADUJH,1,1,1,1,1,1,1,1
XJUOBGIU,1,1,1,1,1,1,1,1
AATUFIQF,1,1,1,1,1,1,1,1
PZPWVEAN,1,1,1,1,1,1,1,1
RDQEZYXH,1,1,1,1,1,1,1,1
CBFZABUU,1,1,1,1,1,1,1,1
QUELNVUI,1,1,1,1,1,1,1,1
ASHSHGFY,1,1,1,1,1,1,1,1
IENVGLGR,1,1,1,1,1,1,1,1
XCZNLAMA,1,1,1,1,1,1,1,1
ANYTGHQO,1,1,1,1,1,1,1,1
VJQKXCYS,1,1,1,1,1,1,1,1
OSZJZCDB,1,1,1,1,1,1,1,1
AOEOYSFX,1,1,1,1,1,1,1,1
WQOUHZIS,1,1,1,1,1,1,1,1
JRYCSFIA,1,1,1,1,1,1,1,1
DGRVGAUL,1,1,1,1,1,1,1,1
XHTGSVBI,1,1,1,1,1,1,1,1
CILYGXIT,1,1,1,1,1,1,1,1
HOTPWGJK,1,1,1,1,1,1,1,1
GJOLRKTX,1,1,1,1,1,1,1,1
GUGLQQJN,1,1,1,1,1,1,1,1
MBEKLKTP,1,1,1,1,1,1,1,1
DEOIFCQU,1,1,1,1,1,1,1,1
RCNBGMFB,1,1,1,1,1,1,1,1
VVCBWXPL,1,1,1,1,1,1,1,1
ZTMMQUPJ,1,1,1,1,1,1,1,1
VCZBINMA,1,1,1,1,1,1,1,1
LKOJIDPC,1,1,1,1,1,1,1,1
CERKCLTA,1,1,1,1,1,1,1,1
MNMQDVTK,1,1,1,1,1,1,1,1
DUJLEKRE,1,1,1,1,1,1,1,1
DSAMAQSP,1,1,1,1,1,1,1,1
TSYTNBPI,1,1,1,1,1,1,1,1
ZBHSWBXF,1,1,1,1,1,1,1,1
QAPEPEFL,1,1,1,1,1,1,1,1
WEBCMSOR,1,1,1,1,1,1,1,1
URSKHVNG,1,1,1,1,1,1,1,1
JAUFUYLF,1,1,1,1,1,1,1,1
YOPQLEPR,1,1,1,1,1,1,1,1
INEILGEJ,1,1,1,1,1,1,1,1
UWLRNXTQ,1,1,1,1,1,1,1,1
UCQYNGYL,1,1,1,1,1,1,1,1
EBPRFBVG,1,1,1,1,1,1,1,1
BHXSTMMV,1,1,1,1,1,1,1,1
ZLCFTQZG,1,1,1,1,1,1,1,1
WPUOVDKY,1,1,1,1,1,1,1,1
KVQKZRYF,1,1,1,1,1,1,1,1
YXAWQYEK,1,1,1,1,1,1,1,1
INNSOPUS,1,1,1,1,1,1,1,1
VNOUGTGD,1,1,1,1,1,1,1,1
MKAROCHD,1,1,1,1,1,1,1,1
QZRYOOSU,1,1,1,1,1,1,1,1
XZTRNKEQ,1,1,1,1,1,1,1,1
DCNOYXBA,1,1,1,1,1,1,1,1
GFQBHBDQ,1,1,1,1,1,1,1,1
ZIQRWICR,1,1,1,1,1,1,1,1
RSNHJFCT,1,1,1,1,1,1,1,1
YGGNERNO,1,1,1,1,1,1,1,1
RYZAYPGC,1,1,1,1,1,1,1,1
LTVXCGWK,1,1,1,1,1,1,1,1
RVVNLOIZ,1,1,1,1,1,1,1,1
NMYHFELW,1,1,1,1,1,1,1,1
JCDYEDXB,1,1,1,1,1,1,1,1
EPBSMYLS,1,1,1,1,1,1,1,1
LWMJCBYW,1,1,1,1,1,1,1,1
DLSVTRER,1,1,1,1,1,1,1,1
JDJNYHDP,1,1,1,1,1,1,1,1
ULVVCRYQ,1,1,1,1,1,1,1,1
DMXOBIPJ,1,1,1,1,1,1,1,1
WVGGTZXZ,1,1,1,1,1,1,1,1
SRXBEBKB,1,1,1,1,1,1,1,1
WRGSVQNB,1,1,1,1,1,1,1,1
NMKJUZEQ,1,1,1,1,1,1,1,1
IZBDUPUN,1,1,1,1,1,1,1,1
VDLBYYTD,1,1,1,1,1,1,1,1
NIAFPPLQ,1,1,1,1,1,1,1,1
YYYCQPJU,1,1,1,1,1,1,1,1
BCYYSOVS,1,1,1,1,1,1,1,1
FMVZZSVZ,1,1,1,1,1,1,1,1
OYOIOJFA,1,1,1,1,1,1,1,1
AMZCHZIR,1,1,1,1,1,1,1,1
DCNUOQEF,1,1,1,1,1,1,1,1
DJGZOWME,1,1,1,1,1,1,1,1
ZFQKQHFG,1,1,1,1,1,1,1,1
OHJFZQOJ,1,1,1,1,1,1,1,1
EHTUODEG,1,1,1,1,1,1,1,1
DYXEVHBB,1,1,1,1,1,1,1,1
BCYXVMZJ,1,1,1,1,1,1,1,1
QCPVINRW,1,1,1,1,1,1,1,1
NHZJODCT,1,1,1,1,1,1,1,1
SVKVLZKB,1,1,1,1,1,1,1,1
KDRVUZLT,1,1,1,1,1,1,1,1
ODVESLQL,1,1,1,1,1,1,1,1
QHDVEXLL,1,1,1,1,1,1,1,1
TBVTPFCM,1,1,1,1,1,1,1,1
BJBMOSRN,1,1,1,1,1,1,1,1
DGBUEOHX,1,1,1,1,1,1,1,1
THUAMATF,1,1,1,1,1,1,1,1
NALRLMMS,1,1,1,1,1,1,1,1
EHPFKTNC,1,1,1,1,1,1,1,1
SVPPVAQL,1,1,1,1,1,1,1,1
LQWZQFGY,1,1,1,1,1,1,1,1
ZSPUIDYO,1,1,1,1,1,1,1,1
JUKKGSZU,1,1,1,1,1,1,1,1
YIKNVCVM,1,1,1,1,1,1,1,1
RENIPCQY,1,1,1,1,1,1,1,1
BEANNOXK,1,1,1,1,1,1,1,1
CQKIOPKW,1,1,1,1,1,1,1,1
NHIEOHJE,1,1,1,1,1,1,1,1
YTNEQIMB,1,1,1,1,1,1,1,1
QATZJKLB,1,1,1,1,1,1,1,1
WSJHAEGX,1,1,1,1,1,1,1,1
IZKYFKJF,1,1,1,1,1,1,1,1
JXJDHAQU,1,1,1,1,1,1,1,1
FRGGXDNN,1,1,1,1,1,1,1,1
QAVZVGCY,1,1,1,1,1,1,1,1
SQHORYQZ,1,1,1,1,1,1,1,1
HMKGTOAS,1,1,1,1,1,1,1,1
VKUUPTRM,1,1,1,1,1,1,1,1
AYERIHOZ,1,1,1,1,1,1,1,1
AEJRIQAR,1,1,1,1,1,1,1,1
UQPJIMRZ,1,1,1,1,1,1,1,1
YQPHLQQR,1,1,1,1,1,1,1,1
HDYLZMKW,1,1,1,1,1,1,1,1
RIQMZVDL,1,1,1,1,1,1,1,1
YTLGABTI,1,1,1,1,1,1,1,1
CLMNYNDM,1,1,1,1,1,1,1,1
GQHKFNKG,1,1,1,1,1,1,1,1
DRVTQCVZ,1,1,1,1,1,1,1,1
WFIJNEJC,1,1,1,1,1,1,1,1
ZVJEBKBQ,1,1,1,1,1,1,1,1
LXCCOCMK,1,1,1,1,1,1,1,1
GFHGQMKI,1,1,1,1,1,1,1,1
RURRTXER,1,1,1,1,1,1,1,1
THJJJDXL,1,1,1,1,1,1,1,1
DMYICNXW,1,1,1,1,1,1,1,1
FAGRJLDG,1,1,1,1,1,1,1,1
HXSGPJUL,1,1,1,1,1,1,1,1
QOYKLXRZ,1,1,1,1,1,1,1,1
QASCIEHW,1,1,1,1,1,1,1,1
XRWCOLDH,1,1,1,1,1,1,1,1
FBVWYFTA,1,1,1,1,1,1,1,1
ZCWXMFDS,1,1,1,1,1,1,1,1
XSHWOKBS,1,1,1,1,1,1,1,1
RXYYQXQZ,1,1,1,1,1,1,1,1
SJDVPRFM,1,1,1,1,1,1,1,1
VVHBYEUU,1,1,1,1,1,1,1,1
MCCKYAPS,1,1,1,1,1,1,1,1
OUAESEOO,1,1,1,1,1,1,1,1
XCXFIRPS,1,1,1,1,1,1,1,1
MWZLPBWM,1,1,1,1,1,1,1,1
HVQSBOOX,1,1,1,1,1,1,1,1
JERMSDBZ,1,1,1,1,1,1,1,1
YLDKPVRD,1,1,1,1,1,1,1,1
PUUMVYCK,1,1,1,1,1,1,1,1
PIMZJIEQ,1,1,1,1,1,1,1,1
AWIAGZWX,1,1,1,1,1,1,1,1
BRWZYXTF,1,1,1,1,1,1,1,1
EZOAFGOD,1,1,1,1,1,1,1,1
BAQPSITF,1,1,1,1,1,1,1,1
SWWLAXGJ,1,1,1,1,1,1,1,1
ESLYFLBV,1,1,1,1,1,1,1,1
IKKXODGD,1,1,1,1,1,1,1,1
KGKHLELW,1,1,1,1,1,1,1,1
WRDKIWFS,1,1,1,1,1,1,1,1
EZTCHDYD,1,1,1,1,1,1,1,1
SMZIGVZD,1,1,1,1,1,1,1,1
NXUIUNVK,1,1,1,1,1,1,1,1
JPNRMIKF,1,1,1,1,1,1,1,1
WZEZYAHL,1,1,1,1,1,1,1,1
EVXHIXRS,1,1,1,1,1,1,1,1
RZTYYRNT,1,1,1,1,1,1,1,1
GURCJPEF,1,1,1,1,1,1,1,1
DPHOCWDP,1,1,1,1,1,1,1,1
SIFLHWEB,1,1,1,1,1,1,1,1
DYOIDPCU,1,1,1,1,1,1,1,1
QGWOQMJQ,1,1,1,1,1,1,1,1
PBAQGQJJ,1,1,1,1,1,1,1,1
TMQTNTUJ,1,1,1,1,1,1,1,1
PFHIJHUB,1,1,1,1,1,1,1,1
DFHRGYJF,1,1,1,1,1,1,1,1
IQJLLAQH,1,1,1,1,1,1,1,1
CZHREMMY,1,1,1,1,1,1,1,1
CFZCEUYM,1,1,1,1,1,1,1,1
GWSNXXRY,1,1,1,1,1,1,1,1
KAMEWHEB,1,1,1,1,1,1,1,1
CPNACACK,1,1,1,1,1,1,1,1
XMMSVGJD,1,1,1,1,1,1,1,1
SAXMCIXB,1,1,1,1,1,1,1,1
BSSPVJVU,1,1,1,1,1,1,1,1
XRKACTLI,1,1,1,1,1,1,1,1
LVVSGBYP,1,1,1,1,1,1,1,1
KTRJTDAJ,1,1,1,1,1,1,1,1
TGUJQGFD,1,1,1,1,1,1,1,1
QAOUDQBJ,1,1,1,1,1,1,1,1
JJUDYFOK,1,1,1,1,1,1,1,1
BMABKDCI,1,1,1,1,1,1,1,1
LSSBDMSR,1,1,1,1,1,1,1,1
URMETNJF,1,1,1,1,1,1,1,1
LNXIDBTG,1,1,1,1,1,1,1,1
SSTTMCYS,1,1,1,1,1,1,1,1
MCYRVOHZ,1,1,1,1,1,1,1,1
ZPLAEYSR,1,1,1,1,1,1,1,1
QBPWWNLH,1,1,1,1,1,1,1,1
HWBEUMWX,1,1,1,1,1,1,1,1
UWGZPCCV,1,1,1,1,1,1,1,1
POESUNRW,1,1,1,1,1,1,1,1
WUZLGTPU,1,1,1,1,1,1,1,1
TBZRHFRT,1,1,1,1,1,1,1,1
LKWXYFGY,1,1,1,1,1,1,1,1
MEPYCFHE,1,1,1,1,1,1,1,1
ETLXFDQV,1,1,1,1,1,1,1,1
LCKDNWGA,1,1,1,1,1,1,1,1
PZBSTCIG,1,1,1,1,1,1,1,1
LQCPOUQC,1,1,1,1,1,1,1,1
YIRZPJBM,1,1,1,1,1,1,1,1
FNEQMIIG,1,1,1,1,1,1,1,1
ZEGFPEUY,1,1,1,1,1,1,1,1
HIDHLFAV,1,1,1,1,1,1,1,1
PRNSZDRO,1,1,1,1,1,1,1,1
CVPPDRPQ,1,1,1,1,1,1,1,1
OKDLBPSM,1,1,1,1,1,1,1,1
XEGKGCRH,1,1,1,1,1,1,1,1
DRETGEVT,1,1,1,1,1,1,1,1
OTHFZNMN,1,1,1,1,1,1,1,1
QFBSCKEG,1,1,1,1,1,1,1,1
PWFQQSPU,1,1,1,1,1,1,1,1
DVTPICQK,1,1,1,1,1,1,1,1
HVEOWVJI,1,1,1,1,1,1,1,1
DQAOUSIR,1,1,1,1,1,1,1,1
KCWXHHVS,1,1,1,1,1,1,1,1
UYFAIZJK,1,1,1,1,1,1,1,1
KJBPCBLA,1,1,1,1,1,1,1,1
JGYZYKHG,1,1,1,1,1,1,1,1
KZXKVWWV,1,1,1,1,1,1,1,1
AAGOKUTG,1,1,1,1,1,1,1,1
ZIJOJCLE,1,1,1,1,1,1,1,1
QKNRHSHO,1,1,1,1,1,1,1,1
BFTPFDCT,1,1,1,1,1,1,1,1
AVZPFKHY,1,1,1,1,1,1,1,1
CCWPUHDO,1,1,1,1,1,1,1,1
GRBBYOOB,1,1,1,1,1,1,1,1
PRKWZJHR,1,1,1,1,1,1,1,1
XFWDOAYB,1,1,1,1,1,1,1,1
GRZBXCPZ,1,1,1,1,1,1,1,1
HWSAAHSJ,1,1,1,1,1,1,1,1
THWIVNQY,1,1,1,1,1,1,1,1
IDTFSPMX,1,1,1,1,1,1,1,1
GGOUXYEY,1,1,1,1,1,1,1,1
GLMGETHY,1,1,1,1,1,1,1,1
PDLHMRXA,1,1,1,1,1,1,1,1
LQNNLPDU,1,1,1,1,1,1,1,1
HYHLURBS,1,1,1,1,1,1,1,1
JNCHOLFF,1,1,1,1,1,1,1,1
ZOJFPZAR,1,1,1,1,1,1,1,1
VBJBRIGO,1,1,1,1,1,1,1,1
ZFKWMHUT,1,1,1,1,1,1,1,1
GFCEBFHB,1,1,1,1,1,1,1,1
OVPIWDOP,1,1,1,1,1,1,1,1
JEZBVRBK,1,1,1,1,1,1,1,1
UNQOWQJO,1,1,1,1,1,1,1,1
YIYJDCBV,1,1,1,1,1,1,1,1
WGJWIOYS,1,1,1,1,1,1,1,1
GXHWFSJT,1,1,1,1,1,1,1,1
IDOCZBOJ,1,1,1,1,1,1,1,1
LQDHMNAT,1,1,1,1,1,1,1,1
DUAMSZWZ,1,1,1,1,1,1,1,1
URUUBHME,1,1,1,1,1,1,1,1
FXDAGQOX,1,1,1,1,1,1,1,1
RJVUWYBT,1,1,1,1,1,1,1,1
JIWGOAMT,1,1,1,1,1,1,1,1
DHZMLBPJ,1,1,1,1,1,1,1,1
YVHXDKXL,1,1,1,1,1,1,1,1
OJESZUUV,1,1,1,1,1,1,1,1
REISNPTC,1,1,1,1,1,1,1,1
TNFOPTWO,1,1,1,1,1,1,1,1
UUBMHMKJ,1,1,1,1,1,1,1,1
HUVDMVZO,1,1,1,1,1,1,1,1
WGDYNQFJ,1,1,1,1,1,1,1,1
MXDXWFBC,1,1,1,1,1,1,1,1
RRKTGDST,1,1,1,1,1,1,1,1
NJFHKIVU,1,1,1,1,1,1,1,1
WHBPBUUB,1,1,1,1,1,1,1,1
HGGUPOKJ,1,1,1,1,1,1,1,1
SFFJNANT,1,1,1,1,1,1,1,1
OQEFMZGA,1,1,1,1,1,1,1,1
YLQENQPD,1,1,1,1,1,1,1,1
IQOBEFMT,1,1,1,1,1,1,1,1
INPIHTKB,1,1,1,1,1,1,1,1
AEJBXXPL,1,1,1,1,1,1,1,1
GPINCOPZ,1,1,1,1,1,1,1,1
DNHJOATW,1,1,1,1,1,1,1,1
KVRAALYB,1,1,1,1,1,1,1,1
ZLVSENDB,1,1,1,1,1,1,1,1
WRTHFFFX,1,1,1,1,1,1,1,1
TVMSMSAF,1,1,1,1,1,1,1,1
KPRUYAVC,1,1,1,1,1,1,1,1
NRMPZABJ,1,1,1,1,1,1,1,1
OGYIEJJK,1,1,1,1,1,1,1,1
QLPUNJFL,1,1,1,1,1,1,1,1
GWBRHATL,1,1,1,1,1,1,1,1
IMNWDGCG,1,1,1,1,1,1,1,1
ZYXSQJJH,1,1,1,1,1,1,1,1
FDKSOYHE,1,1,1,1,1,1,1,1
JODDXUWB,1,1,1,1,1,1,1,1
VBHLHGYC,1,1,1,1,1,1,1,1
TPCIDVCK,1,1,1,1,1,1,1,1
DVFSVSBJ,1,1,1,1,1,1,1,1
YHRECIRM,1,1,1,1,1,1,1,1
JVSFCOHE,1,1,1,1,1,1,1,1
OHSUEDQI,1,1,1,1,1,1,1,1
KKDYNSIM,1,1,1,1,1,1,1,1
TXZRQPOP,1,1,1,1,1,1,1,1
AUQCMAAJ,1,1,1,1,1,1,1,1
ZVFQKXCB,1,1,1,1,1,1,1,1
VNEXDPJX,1,1,1,1,1,1,1,1
NIOFGWKG,1,1,1,1,1,1,1,1
LZPOWAOW,1,1,1,1,1,1,1,1
DWRKNABK,1,1,1,1,1,1,1,1
LWFUDBYC,1,1,1,1,1,1,1,1
WZSPVMUZ,1,1,1,1,1,1,1,1
TDMNWZDI,1,1,1,1,1,1,1,1
SQMTAAHR,1,1,1,1,1,1,1,1
DWCMDUPL,1,1,1,1,1,1,1,1
SPBFCEFG,1,1,1,1,1,1,1,1
VSSIPSVV,1,1,1,1,1,1,1,1
CWCDRDSO,1,1,1,1,1,1,1,1
KLJGYCXH,1,1,1,1,1,1,1,1
QRVBUMHE,1,1,1,1,1,1,1,1
LUSSQKWF,1,1,1,1,1,1,1,1
EVMUDNNO,1,1,1,1,1,1,1,1
HTQCGTBZ,1,1,1,1,1,1,1,1
QXLJBGXZ,1,1,1,1,1,1,1,1
EOCUAION,1,1,1,1,1,1,1,1
ZICDDUOU,1,1,1,1,1,1,1,1
VVPYJYAQ,1,1,1,1,1,1,1,1
ODHCYIXE,1,1,1,1,1,1,1,1
GIATQTRS,1,1,1,1,1,1,1,1
VTOUFGJQ,1,1,1,1,1,1,1,1
TTCISUVZ,1,1,1,1,1,1,1,1
MASIWJBO,1,1,1,1,1,1,1,1
TGKUSJJL,1,1,1,1,1,1,1,1
KHDPIQIY,1,1,1,1,1,1,1,1
JCSSLSLJ,1,1,1,1,1,1,1,1
IBSFNCUH,1,1,1,1,1,1,1,1
VTQQSSBJ,1,1,1,1,1,1,1,1
LRXJLPHZ,1,1,1,1,1,1,1,1
HXEYLWME,1,1,1,1,1,1,1,1
XARAREAO,1,1,1,1,1,1,1,1
JZHCHQCE,1,1,1,1,1,1,1,1
MHREWSNG,1,1,1,1,1,1,1,1
QTCCFNXY,1,1,1,1,1,1,1,1
OYQPIPLL,1,1,1,1,1,1,1,1
AFPXPSQA,1,1,1,1,1,1,1,1
HJXPCLSC,1,1,1,1,1,1,1,1
NGTHQHRF,1,1,1,1,1,1,1,1
UILSPDHJ,1,1,1,1,1,1,1,1
UNYKFRGY,1,1,1,1,1,1,1,1
WGXYJLAZ,1,1,1,1,1,1,1,1
PXCOZTHY,1,1,1,1,1,1,1,1
YUCNBQHU,1,1,1,1,1,1,1,1
RSATJGMM,1,1,1,1,1,1,1,1
RJFGFTPG,1,1,1,1,1,1,1,1
QONPQIBO,1,1,1,1,1,1,1,1
NECHCMPG,1,1,1,1,1,1,1,1
TLSKPLFI,1,1,1,1,1,1,1,1
LBJYJCFM,1,1,1,1,1,1,1,1
EKOIAGCT,1,1,1,1,1,1,1,1
OVGNNBAA,1,1,1,1,1,1,1,1
GDRSKMZN,1,1,1,1,1,1,1,1
OPIHYTAK,1,1,1,1,1,1,1,1
HRMMRUGI,1,1,1,1,1,1,1,1
CPVWBCKN,1,1,1,1,1,1,1,1
NRWFESRG,1,1,1,1,1,1,1,1
ZYURDSJL,1,1,1,1,1,1,1,1
IMDQFINX,1,1,1,1,1,1,1,1
SKDGDQCW,1,1,1,1,1,1,1,1
CCIYFINK,1,1,1,1,1,1,1,1
OMRLGSTS,1,1,1,1,1,1,1,1
MYKMKQYY,1,1,1,1,1,1,1,1
DNDIGBKT,1,1,1,1,1,1,1,1
OUQMXVBG,1,1,1,1,1,1,1,1
LFVULWPX,1,1,1,1,1,1,1,1
QQSOUHIG,1,1,1,1,1,1,1,1
UTDRGCCS,1,1,1,1,1,1,1,1
SZZMUWHI,1,1,1,1,1,1,1,1
BOMFCWTR,1,1,1,1,1,1,1,1
LRLUJFTE,1,1,1,1,1,1,1,1
AAOKBOZG,1,1,1,1,1,1,1,1
YGYSTPUN,1,1,1,1,1,1,1,1
ROLPKWXI,1,1,1,1,1,1,1,1
EHDZBWQG,1,1,1,1,1,1,1,1
WJAOEPSQ,1,1,1,1,1,1,1,1
QKIYDZMJ,1,1,1,1,1,1,1,1
OLQTUKLW,1,1,1,1,1,1,1,1
URJFJTFS,1,1,1,1,1,1,1,1
EVTXPTRS,1,1,1,1,1,1,1,1
UABBNEBL,1,1,1,1,1,1,1,1
KUQFVRKG,1,1,1,1,1,1,1,1
RHYXVCFQ,1,1,1,1,1,1,1,1
QUEYGDCN,1,1,1,1,1,1,1,1
MERJKTCE,1,1,1,1,1,1,1,1
EROFOVWQ,1,1,1,1,1,1,1,1
FMKADMZJ,1,1,1,1,1,1,1,1
CIXUKYXG,1,1,1,1,1,1,1,1
JVTKFRAW,1,1,1,1,1,1,1,1
NPMLJMFN,1,1,1,1,1,1,1,1
ZRUDFDYF,1,1,1,1,1,1,1,1
GZMZEKPU,1,1,1,1,1,1,1,1
MKVLUBMT,1,1,1,1,1,1,1,1
GQONQFNN,1,1,1,1,1,1,1,1
YWDCVUFN,1,1,1,1,1,1,1,1
ZRWTXSMG,1,1,1,1,1,1,1,1
DRLEUVDF,1,1,1,1,1,1,1,1
VRXIHYBD,1,1,1,1,1,1,1,1
PHQNUKZP,1,1,1,1,1,1,1,1
ZGJEKMXD,1,1,1,1,1,1,1,1
YOQUGNYJ,1,1,1,1,1,1,1,1
AUSQVAUQ,1,1,1,1,1,1,1,1
NQWTJRKF,1,1,1,1,1,1,1,1
ZNUHJYGB,1,1,1,1,1,1,1,1
RLDSIIWW,1,1,1,1,1,1,1,1
YNSDBEDM,1,1,1,1,1,1,1,1
ITQWBIZB,1,1,1,1,1,1,1,1
NDQTRFJY,1,1,1,1,1,1,1,1
LKQBRJXC,1,1,1,1,1,1,1,1
LOHKMRJP,1,1,1,1,1,1,1,1
DDMRNZIC,1,1,1,1,1,1,1,1
UCRFHGIL,1,1,1,1,1,1,1,1
XFZEGRCN,1,1,1,1,1,1,1,1
XYLAVLZU,1,1,1,1,1,1,1,1
FWBMQHMV,1,1,1,1,1,1,1,1
PYMIKCSZ,1,1,1,1,1,1,1,1
AJNZQPWI,1,1,1,1,1,1,1,1
TOMCMRQL,1,1,1,1,1,1,1,1
LOIWLNZX,1,1,1,1,1,1,1,1
ZDSBMBHK,1,1,1,1,1,1,1,1
KWYDSBRQ,1,1,1,1,1,1,1,1
WTDMYNHB,1,1,1,1,1,1,1,1
VPCARIAM,1,1,1,1,1,1,1,1
RBTNTUBL,1,1,1,1,1,1,1,1
FYJQKAFS,1,1,1,1,1,1,1,1
FBKWLDPM,1,1,1,1,1,1,1,1
EHEQQNHV,1,1,1,1,1,1,1,1
ARXNWRWK,1,1,1,1,1,1,1,1
QJFXGOWH,1,1,1,1,1,1,1,1
XAEUKEWF,1,1,1,1,1,1,1,1
TGEXDSRA,1,1,1,1,1,1,1,1
OVMSMXBF,1,1,1,1,1,1,1,1
SBUFJTFY,1,1,1,1,1,1,1,1
UBFYAAMB,1,1,1,1,1,1,1,1
YODHRZEG,1,1,1,1,1,1,1,1
GYQJEPJK,1,1,1,1,1,1,1,1
FOJQMGIR,1,1,1,1,1,1,1,1
WALVYLYT,1,1,1,1,1,1,1,1
RSHLTRIU,1,1,1,1,1,1,1,1
QQPONTKX,1,1,1,1,1,1,1,1
QWXVZALO,1,1,1,1,1,1,1,1
XUNDYUUZ,1,1,1,1,1,1,1,1
ESYENYLJ,1,1,1,1,1,1,1,1
QOBNPSQP,1,1,1,1,1,1,1,1
EOGTKLWE,1,1,1,1,1,1,1,1
WFNPTLSL,1,1,1,1,1,1,1,1
BMYDXNXD,1,1,1,1,1,1,1,1
BHZINPWN,1,1,1,1,1,1,1,1
DXSXLBTA,1,1,1,1,1,1,1,1
RJHTUYLB,1,1,1,1,1,1,1,1
UAMNIUPC,1,1,1,1,1,1,1,1
COAMMWGL,1,1,1,1,1,1,1,1
VYEBVECM,1,1,1,1,1,1,1,1
GTLSUKHU,1,1,1,1,1,1,1,1
JQUCZVGW,1,1,1,1,1,1,1,1
JNOHWZDH,1,1,1,1,1,1,1,1
PNBVWMUO,1,1,1,1,1,1,1,1
YIXZTXPT,1,1,1,1,1,1,1,1
BKMHCBCT,1,1,1,1,1,1,1,1
GZCGQJSR,1,1,1,1,1,1,1,1
FBHISIXK,1,1,1,1,1,1,1,1
ZVKLREPM,1,1,1,1,1,1,1,1
XIYFWNDA,1,1,1,1,1,1,1,1
WCNHCENX,1,1,1,1,1,1,1,1
XEDLCUGC,1,1,1,1,1,1,1,1
CYZFKNKF,1,1,1,1,1,1,1,1
GUKPEEOB,1,1,1,1,1,1,1,1
EANDFPHL,1,1,1,1,1,1,1,1
PVORISQC,1,1,1,1,1,1,1,1
UZDULFOM,1,1,1,1,1,1,1,1
BJNKBZBJ,1,1,1,1,1,1,1,1
TQVGZDAR,1,1,1,1,1,1,1,1
MYDANGXZ,1,1,1,1,1,1,1,1
UDJNKBOU,1,1,1,1,1,1,1,1
IABTVQLZ,1,1,1,1,1,1,1,1
XFRDUPPZ,1,1,1,1,1,1,1,1
AOWTEENH,1,1,1,1,1,1,1,1
RFPOCKDP,1,1,1,1,1,1,1,1
MYDRJEVJ,1,1,1,1,1,1,1,1
XAKYIXPK,1,1,1,1,1,1,1,1
XFRJEXYZ,1,1,1,1,1,1,1,1
QKWDKRMX,1,1,1,1,1,1,1,1
MVWBNYPC,1,1,1,1,1,1,1,1
UUEANJBI,1,1,1,1,1,1,1,1
HTZIWLUT,1,1,1,1,1,1,1,1
FEZFKTDZ,1,1,1,1,1,1,1,1
OQBYHKLE,1,1,1,1,1,1,1,1
LSPQIJIO,1,1,1,1,1,1,1,1
CSPSYWCD,1,1,1,1,1,1,1,1
YHDJIUZP,1,1,1,1,1,1,1,1
