crew_id,BIQ,CDG,LYS
BVOGVFER,1,1,1
XQEEUMNE,1,1,1
SQXOPMTZ,1,1,1
HNRZICOL,1,1,1
HKRYLPDE,1,1,1
VZIRMVOI,1,1,1
LUYLEIPP,1,1,1
ULQNTCNE,1,1,1
JEKELDUP,1,1,1
AUZJMFNV,1,1,1
CENEBAIZ,1,1,1
YCYRNPEA,1,1,1
JJYGQCAV,1,1,1
LTTBJFGP,1,1,1
OWETNRBQ,1,1,1
RRHCULEG,1,1,1
UQSPCUIP,1,1,1
ULNQSCNV,1,1,1
PVJGRCFN,1,1,1
QNBJOSYH,1,1,1
QTWFBRXH,1,1,1
FJWYULKD,1,1,1
FQMXLNHK,1,1,1
SVOJDVSM,1,1,1
LEPGOAAE,1,1,1
CTAYENHP,1,1,1
KYKZIZNQ,1,1,1
SCGXBOMO,1,1,1
FDDTUDFD,1,1,1
PRZSAZQZ,1,1,1
HPHEUATH,1,1,1
WRGOFHYG,1,1,1
XVBEPDOX,1,1,1
IULMBIVQ,1,1,1
WILFJCBR,1,1,1
SQIFLZOI,1,1,1
KMSHNDLN,1,1,1
EDOBSBMC,1,1,1
WUDAXBPU,1,1,1
BPXGIPQM,1,1,1
UGQJPGPD,1,1,1
LYSAOBIK,1,1,1
NULTVBPX,1,1,1
SRGZMOJW,1,1,1
YMPMRADL,1,1,1
PHHYVJDV,1,1,1
ZUYKIIIZ,1,1,1
YPWFEDEA,1,1,1
MYDAVAJE,1,1,1
GQUQYBNJ,1,1,1
ZJVTMXPR,1,1,1
UFQFQBET,1,1,1
WUTVQNHR,1,1,1
NFDAWXQW,1,1,1
FQDHTOVZ,1,1,1
BHUWDHNN,1,1,1
XRCBBBPE,1,1,1
RNTYZMRF,1,1,1
CVYHSWHR,1,1,1
GNBFSEQC,1,1,1
LQNUIVIT,1,1,1
BRNAROVS,1,1,1
WUBEPXYB,1,1,1
VZTRRFNQ,1,1,1
MPKBJQVB,1,1,1
CLXSWYSL,1,1,1
UZSQNISV,1,1,1
MOBQCODE,1,1,1
DAZQCKSP,1,1,1
AWXVTLTP,1,1,1
GYQXCFSX,1,1,1
AQZKNOZL,1,1,1
ZIZLBPAB,1,1,1
RBKLNMJR,1,1,1
QFURDIOW,1,1,1
FCECQNTQ,1,1,1
ROWNOGWY,1,1,1
KFNBMKDC,1,1,1
LMXBKDMU,1,1,1
GPRNGHEM,1,1,1
LWVNCVOU,1,1,1
KOHXDLQQ,1,1,1
XORCMJBA,1,1,1
FYQWTULF,1,1,1
RFLWLDIA,1,1,1
QRZQANZE,1,1,1
ITULFVWL,1,1,1
NTRCYNJB,1,1,1
GELEPEGR,1,1,1
QNTRSIUU,1,1,1
ZJDMRWBW,1,1,1
YSJTNQQO,1,1,1
KIJVJBKD,1,1,1
JFQZEUYS,1,1,1
AQSBMPNF,1,1,1
BXROAFHH,1,1,1
YDEZPGWH,1,1,1
ZCBJHSFL,1,1,1
AWAALFHR,1,1,1
AAFZIHZS,1,1,1
RKHAWZOP,1,1,1
EPOGJVOO,1,1,1
GOBHNWQS,1,1,1
UZGUCAQT,1,1,1
MOGQNSWR,1,1,1
SWDIEXQZ,1,1,1
AMYLACFL,1,1,1
DOBGNRPP,1,1,1
CGSUQDOQ,1,1,1
QHVFEONK,1,1,1
PZHUVHNW,1,1,1
YQKPRCXO,1,1,1
LQHMPFTQ,1,1,1
WVTGUUUE,1,1,1
LZGPEUYX,1,1,1
ETDQGDIY,1,1,1
MBBPHOOV,1,1,1
ZIAKMRPV,1,1,1
QZWJLAIW,1,1,1
OOWQZCXQ,1,1,1
HCCPIBOT,1,1,1
PAVZBZZP,1,1,1
OMSWFMDW,1,1,1
CHGCETLX,1,1,1
JQHLLUKG,1,1,1
GJOFTOVJ,1,1,1
VDKSXKND,1,1,1
CDMPDOZC,1,1,1
WZVTANIZ,1,1,1
DSSCPYMI,1,1,1
GHGZLVGI,1,1,1
IIAICYJE,1,1,1
OIANKLMS,1,1,1
NXLPJEGJ,1,1,1
QPKXGMHG,1,1,1
YYIWRHHN,1,1,1
BQOPAGFP,1,1,1
UKPJPBUB,1,1,1
DWHNQUSY,1,1,1
SNHSKWVL,1,1,1
XVDTQTOP,1,1,1
DLPYROMA,1,1,1
RDUWWKNG,1,1,1
WMVVWOPL,1,1,1
IMLYXFCX,1,1,1
AOJMTVFW,1,1,1
VXZKJNAI,1,1,1
PBCGGLZI,1,1,1
TRIQILPA,1,1,1
JHCHFDEE,1,1,1
EPUBXDDX,1,1,1
IQEZVEDQ,1,1,1
XVFHZVMN,1,1,1
EQCIWQCD,1,1,1
KCRIAQMM,1,1,1
WVIQBPCD,1,1,1
APGDXURB,1,1,1
IYWXMEAO,1,1,1
DRFEIRXP,1,1,1
PZHSOIVG,1,1,1
MZKWRXNE,1,1,1
IXKJYGMV,1,1,1
RBVDTDGS,1,1,1
EDGHXIUE,1,1,1
LXTTNAVX,1,1,1
BEXHQOUO,1,1,1
RTJEYFEL,1,1,1
GJSDBJHT,1,1,1
WTYBDVKW,1,1,1
MABOBFQW,1,1,1
VUKESAAW,1,1,1
OWQSYGFN,1,1,1
POYICHYL,1,1,1
JYCFETJA,1,1,1
QIENBXZQ,1,1,1
MVBFMEGL,1,1,1
FSKBBNTY,1,1,1
PIOBHELK,1,1,1
LZDFCQSG,1,1,1
VTMPSFSB,1,1,1
HPNQXZBQ,1,1,1
ZZDMQWJV,1,1,1
ZXMIDDUA,1,1,1
BVWFSRWM,1,1,1
QSOBNKJK,1,1,1
WIIGVECH,1,1,1
KSJMBHNU,1,1,1
MTNISCUJ,1,1,1
YLGJIOLC,1,1,1
YRQTZGRW,1,1,1
MDCVRNPS,1,1,1
FGKCXYIN,1,1,1
XPDSKSHT,1,1,1
WYQQFJWX,1,1,1
IJUNUIDB,1,1,1
DDLBMEJX,1,1,1
MUXSHRVN,1,1,1
VJJLGOEE,1,1,1
QDIWMPQS,1,1,1
RGCYZFRP,1,1,1
YFTORIWB,1,1,1
FFWCJTDP,1,1,1
XKYCEUCZ,1,1,1
KVOLRZKA,1,1,1
ITALPZFO,1,1,1
ORLXRFVG,1,1,1
TECALLGG,1,1,1
QIXNGYEU,1,1,1
JFZGIZJN,1,1,1
XGCVDKEW,1,1,1
XSJEGNVW,1,1,1
OVIRVUWW,1,1,1
LGNJKDGP,1,1,1
TVASFVGB,1,1,1
JPQZSOBH,1,1,1
KGTCLJAA,1,1,1
BGSEWJAR,1,1,1
QUVONNBJ,1,1,1
QZELSSWJ,1,1,1
NMMQINHZ,1,1,1
IHBIFELX,1,1,1
WMFFRHTB,1,1,1
PPUGIATQ,1,1,1
TBHHELNY,1,1,1
LFCUYAWE,1,1,1
IVVBLUDA,1,1,1
QHBBURPI,1,1,1
REEEZDBX,1,1,1
MLALLCVM,1,1,1
GVZNAGGY,1,1,1
KONGNJEQ,1,1,1
JHCGXHYT,1,1,1
WKKAXGOT,1,1,1
HAXRXHKH,1,1,1
HFJAVGEG,1,1,1
IRQMFOAJ,1,1,1
XYYVGBGP,1,1,1
BVYCLYLH,1,1,1
CXRAEGKV,1,1,1
RGXSADUX,1,1,1
DEDOCTLN,1,1,1
RRJCEPGM,1,1,1
KKWAVJWW,1,1,1
EOHLIMLV,1,1,1
XTMNCWFF,1,1,1
OCSELDTF,1,1,1
QLAUPOEP,1,1,1
VBCXIPTH,1,1,1
XWAWRXFF,1,1,1
EYJEDYTD,1,1,1
SKOARMOR,1,1,1
YVCEFYGH,1,1,1
TZHMKYHV,1,1,1
CMGMXODZ,1,1,1
CGXCSPHC,1,1,1
UWOAYSDL,1,1,1
EXKHZURY,1,1,1
IKJUNYJY,1,1,1
HJTWURXO,1,1,1
MDDSPNMM,1,1,1
RATVVQRH,1,1,1
XRXTPVFH,1,1,1
CEVYVMAA,1,1,1
MZAMJTCO,1,1,1
OBUOMOJO,1,1,1
HGPETRPL,1,1,1
LZYRKSAP,1,1,1
EUWUUASI,1,1,1
DWNFMXLR,1,1,1
TOKRIXGK,1,1,1
KXCXJGBA,1,1,1
REPXIAXW,1,1,1
AVOFTBRF,1,1,1
XSNULILQ,1,1,1
DGUEVMZE,1,1,1
WWDHFYZF,1,1,1
OGUEBBNG,1,1,1
HEFRWBIB,1,1,1
YAVJJIIT,1,1,1
BHXTMHEP,1,1,1
RZCPBQML,1,1,1
ZLOXACKG,1,1,1
MAKUQOUD,1,1,1
QNOXZCBM,1,1,1
XCAZFPNB,1,1,1
IYMCOKHK,1,1,1
KJDISCCA,1,1,1
DWTAGHYM,1,1,1
GLYIFLUO,1,1,1
XMGHABWZ,1,1,1
PRBHCLCO,1,1,1
PCDODQDH,1,1,1
BZAIANKF,1,1,1
YMPQXJIE,1,1,1
VQYVFIRH,1,1,1
AKFQSRRL,1,1,1
MOOUUWJH,1,1,1
OZIMKAIU,1,1,1
LQGQVTVE,1,1,1
CSTKKGVE,1,1,1
NWZGJUSS,1,1,1
MOMYEGTC,1,1,1
SUHZILBD,1,1,1
IDUEIEYA,1,1,1
VTQOOZKO,1,1,1
DZKSRIRV,1,1,1
CODMIRTO,1,1,1
PFQFCXXO,1,1,1
UWPHTHIH,1,1,1
UFPFKFVG,1,1,1
ECJPPIVN,1,1,1
FLBVKMLA,1,1,1
QHEPIEWZ,1,1,1
ACTNUKUU,1,1,1
MUGKRKZI,1,1,1
QYEJEGZC,1,1,1
GUGUFEKA,1,1,1
WJLSTAFR,1,1,1
PRFECELB,1,1,1
ANZNJDYF,1,1,1
QUZGLNGE,1,1,1
NEKKRYDN,1,1,1
VDNFZUGM,1,1,1
BNMXJXDU,1,1,1
VYTGAHHT,1,1,1
MVVOGKLP,1,1,1
FMOLVVNL,1,1,1
ZDSUEXOW,1,1,1
EVXOVJGB,1,1,1
LOSAQDKZ,1,1,1
EBLAQFJS,1,1,1
BATUVPIT,1,1,1
ZWDAQPZU,1,1,1
PWYUHXIF,1,1,1
XDLEOFXB,1,1,1
FRTDDLKK,1,1,1
LBDLSQJC,1,1,1
LVLIRLHU,1,1,1
OLLEJXDN,1,1,1
KFNSZWAY,1,1,1
LWCWPUSA,1,1,1
ADOTUUTJ,1,1,1
JSAVFHUO,1,1,1
KGLCVOVH,1,1,1
KMQQJUAQ,1,1,1
JUFBUTAB,1,1,1
CXOTFDQZ,1,1,1
HEDXJNJO,1,1,1
POVQWINI,1,1,1
SDZLOSSR,1,1,1
BUTXPIDL,1,1,1
JKQHHBBO,1,1,1
IROVMFPK,1,1,1
OEKBAGSD,1,1,1
JFQZGTGH,1,1,1
GLBPRMHN,1,1,1
PGQBIACM,1,1,1
BNHSXUBX,1,1,1
QIZSCSOQ,1,1,1
AMQKOHSP,1,1,1
ZUXKREWG,1,1,1
DBZSDCCE,1,1,1
OBTYPBGH,1,1,1
OBAKGORI,1,1,1
BVBMNSUQ,1,1,1
GYUPBPUS,1,1,1
ZJTWTUVN,1,1,1
GIRPIICS,1,1,1
UAZWFUID,1,1,1
WGJJTYDD,1,1,1
EGGSUXWD,1,1,1
YYNVYQTB,1,1,1
VJNYONDF,1,1,1
DKXOMAIR,1,1,1
PYSZHHNA,1,1,1
OCUELISJ,1,1,1
SXUVBFQY,1,1,1
NZBVBQRT,1,1,1
VQYYGHXL,1,1,1
UNJLURGR,1,1,1
RJTAFZUZ,1,1,1
ZHRSRBLF,1,1,1
YTUHYJEZ,1,1,1
OVVPRXUN,1,1,1
AIFLXNHQ,1,1,1
CANKBEGS,1,1,1
DTZMRJMP,1,1,1
DVHZPHYK,1,1,1
BFKVLEKL,1,1,1
KSMEWAJT,1,1,1
DUBJEKWN,1,1,1
IAPXEHHH,1,1,1
DOSJKBSB,1,1,1
PIGOWERJ,1,1,1
HAZIDFZL,1,1,1
DWCARDPS,1,1,1
MIGNWOCB,1,1,1
UUGVHDLL,1,1,1
UFSZDZDM,1,1,1
EWBZOQAO,1,1,1
UFKZXEMW,1,1,1
ZLGGJUIW,1,1,1
OWNBVJRC,1,1,1
QBFDBGRS,1,1,1
ZCWANOOT,1,1,1
WRHUTNLA,1,1,1
OBJIXLSV,1,1,1
ENEJPISF,1,1,1
USJMVCYK,1,1,1
FDAIEHSF,1,1,1
KDRTDLRB,1,1,1
FNMJGVWL,1,1,1
XDZFHAGK,1,1,1
OLJQNFXK,1,1,1
KSTYZWBH,1,1,1
YDAFEDZY,1,1,1
QCVCWYOM,1,1,1
DZEHKMIP,1,1,1
TEOCWMDP,1,1,1
FZWZBKYU,1,1,1
NYBEGJRS,1,1,1
ZEXRDIXH,1,1,1
TNMSDHEQ,1,1,1
JQZIEBZO,1,1,1
UUBOEKDE,1,1,1
NVVRDYLO,1,1,1
MDUWEOBF,1,1,1
KZQKYJFC,1,1,1
EPILGLRK,1,1,1
XIUQOHLF,1,1,1
PLCFBPIX,1,1,1
OXSIZLMP,1,1,1
EJIBCOWD,1,1,1
BXUOUJMC,1,1,1
MONVHTVD,1,1,1
AMHBWYKX,1,1,1
LIOZJQMN,1,1,1
FDECJXCH,1,1,1
MPEZRFGI,1,1,1
BIFIKEEW,1,1,1
NLWEHXSF,1,1,1
EBKDSNNW,1,1,1
SJWPQWBS,1,1,1
ARVULUYN,1,1,1
MKZTJQSK,1,1,1
QEQLNGXV,1,1,1
JTFETTDF,1,1,1
YIEGNOZS,1,1,1
YVQDMJAL,1,1,1
BJCFNEYB,1,1,1
RYXXLMXB,1,1,1
IHJBPKPA,1,1,1
UEMHXTXE,1,1,1
WYZIEBJL,1,1,1
IOUWSSZE,1,1,1
NHLKXIDP,1,1,1
OKBWIDBT,1,1,1
YTCZZORK,1,1,1
DTZRECYX,1,1,1
QVLQCXUB,1,1,1
PRAIFLQL,1,1,1
SPSEXXJI,1,1,1
ZNFDIRGD,1,1,1
KQPARVWS,1,1,1
BUUDGOWT,1,1,1
TKDWKZYE,1,1,1
WGCGLFMD,1,1,1
JILCLOGB,1,1,1
TIUVXYHF,1,1,1
ITMHFITC,1,1,1
DPXLJSOS,1,1,1
DEONLSQC,1,1,1
CGBCZYEZ,1,1,1
QPWLJPPM,1,1,1
VKHCQQFF,1,1,1
MCLVKVMG,1,1,1
ESJMQOSI,1,1,1
FWDQTXDC,1,1,1
VMBOZEUT,1,1,1
LRWSWPQY,1,1,1
MIBBEAKK,1,1,1
GYEJJFQJ,1,1,1
OPUSFXPX,1,1,1
ZJSHQLPT,1,1,1
XYQGGRIP,1,1,1
RMZYWEIQ,1,1,1
FGAXEIID,1,1,1
HDMAPETS,1,1,1
BJVNQBPU,1,1,1
WRIZMEMB,1,1,1
CNSOSITB,1,1,1
QBRZGUIR,1,1,1
SNXVSLXN,1,1,1
DBGBDNXI,1,1,1
BXNAZDVN,1,1,1
GDPMWEEP,1,1,1
MSWFGJWE,1,1,1
YMIYPDIH,1,1,1
QISYTRUF,1,1,1
EJUDDYFH,1,1,1
LDCJTOPF,1,1,1
WDZFTEKO,1,1,1
TWZVWUGG,1,1,1
ZYNTYTVC,1,1,1
YTRKYKNW,1,1,1
SCXFAGPO,1,1,1
KCJPMTGA,1,1,1
SFEUCUMJ,1,1,1
XIFBVQTZ,1,1,1
YTSDFJMC,1,1,1
EEAGJPEY,1,1,1
ZSFGVUSD,1,1,1
ZWABHISQ,1,1,1
IPHUEUEC,1,1,1
AOZICDID,1,1,1
CEUAXGBM,1,1,1
SYNOGLMQ,1,1,1
ZTMNQRSO,1,1,1
EYJLBVGJ,1,1,1
EELLOHMJ,1,1,1
QMOTLRTK,1,1,1
BSNXFMCA,1,1,1
EPGHTLXH,1,1,1
BSNMJSVY,1,1,1
JXCOPKPE,1,1,1
TEXKQZSB,1,1,1
AFOTRDXY,1,1,1
ZBOLOTJQ,1,1,1
UDZPFLXL,1,1,1
XEEOINKN,1,1,1
QCNNHEGW,1,1,1
JQYUITAS,1,1,1
PPBZDGPP,1,1,1
JLXMLHGX,1,1,1
NDXNIWRP,1,1,1
EQEXZJDC,1,1,1
YSTZNLJY,1,1,1
VNEEQFKF,1,1,1
LIEJILSI,1,1,1
IOBOLBKM,1,1,1
VPRBAFGE,1,1,1
HBOAILBQ,1,1,1
PKPSSWGR,1,1,1
ZGSWMGEJ,1,1,1
DKMTGMFY,1,1,1
WXRJXSCM,1,1,1
TVOEYFEQ,1,1,1
ULZCFMTG,1,1,1
PSXVVSHW,1,1,1
ZBTHRPVX,1,1,1
YZPHLACH,1,1,1
TQZAAQVT,1,1,1
DTXNUSND,1,1,1
DAQEELNK,1,1,1
MHSARCAY,1,1,1
KUKIENOB,1,1,1
JNEMVJDR,1,1,1
JDXIWYLF,1,1,1
GOBDVVAH,1,1,1
HJQMAOHD,1,1,1
DGUNOCKM,1,1,1
XAMYWZNT,1,1,1
SYZRRBSU,1,1,1
YCXVFTGD,1,1,1
KNXKMVCG,1,1,1
KSBUTGWJ,1,1,1
CPALSONI,1,1,1
XLLSEQMJ,1,1,1
LFFFZDIH,1,1,1
TRDLJHZB,1,1,1
MIAJZIEK,1,1,1
OOTWOAQE,1,1,1
RTFLBVRG,1,1,1
HCSKCVKC,1,1,1
NFUXOZIB,1,1,1
PUMETIVD,1,1,1
IDXPVAML,1,1,1
RWWSXXLF,1,1,1
HAPMQHSD,1,1,1
NFWSKAMZ,1,1,1
YOHAYMRN,1,1,1
BWDXYVDE,1,1,1
XBWAKSIX,1,1,1
WGZNIEVG,1,1,1
XMDUGPSB,1,1,1
RTDJCJLE,1,1,1
GDWNUQFB,1,1,1
ZLCTRGCE,1,1,1
IXDJMACT,1,1,1
KQAOVAEV,1,1,1
MMQTFQGL,1,1,1
EAOPBPXW,1,1,1
VGEQRGJM,1,1,1
PHFLFZEU,1,1,1
OYRWROQU,1,1,1
KPGBTCFF,1,1,1
TBPFKRCE,1,1,1
LXPGZGUI,1,1,1
DZVEVURC,1,1,1
IZVDSWZX,1,1,1
ETAFJKMB,1,1,1
UODJBDUW,1,1,1
LMFYUBBO,1,1,1
MFYVHWFX,1,1,1
JLAHBJNP,1,1,1
GWKYYUBZ,1,1,1
EEHZYNLD,1,1,1
BLSNECWT,1,1,1
YTAWDBYM,1,1,1
TFPSUVXH,1,1,1
PBOIJWRH,1,1,1
PPKLZHOQ,1,1,1
PSKKMECL,1,1,1
WVOJQRDP,1,1,1
VYNPQGGU,1,1,1
PYEMZJSL,1,1,1
UTAXPEPW,1,1,1
RCXGYUDI,1,1,1
YHMGGWKY,1,1,1
OFVQDPEL,1,1,1
KTAIFTKY,1,1,1
ZLSXQYRE,1,1,1
VPMSJCWT,1,1,1
EQIWEMWL,1,1,1
UBCQYMWZ,1,1,1
FNMSQXOL,1,1,1
WVGGZRNA,1,1,1
MJOIHSCF,1,1,1
XQUABXBI,1,1,1
OWRCWOIC,1,1,1
DNGLFVXP,1,1,1
VGKROQTJ,1,1,1
VKDYQFAY,1,1,1
SSPHRJQA,1,1,1
DJRXOGJB,1,1,1
HHRWAPVL,1,1,1
NIQPEQIX,1,1,1
VWDXQWGZ,1,1,1
SDVHTNYS,1,1,1
IYZQAHBC,1,1,1
BDSGWCZW,1,1,1
VCDXAPIZ,1,1,1
MDIQEWYD,1,1,1
YRQNOPYH,1,1,1
BGRDHPZA,1,1,1
OMMSYSZQ,1,1,1
DTGIBMOX,1,1,1
VITDFAAM,1,1,1
CDGYQRWJ,1,1,1
HUWPPHUP,1,1,1
AKQHOXMV,1,1,1
RCRKOIXH,1,1,1
LOEYXGVT,1,1,1
LIXRHWUE,1,1,1
XNNGYLZA,1,1,1
GHNSZAIN,1,1,1
JBZMDOED,1,1,1
NGOTDTRV,1,1,1
VONAWEKH,1,1,1
TZSIINBK,1,1,1
WJQFWCIJ,1,1,1
GSLLHPAK,1,1,1
AIAUOOUL,1,1,1
XHQPQXBZ,1,1,1
JRKDDYNU,1,1,1
HWQOPHNA,1,1,1
BTKLWQOK,1,1,1
WZJHBELM,1,1,1
KSBLNZVH,1,1,1
QVUAMWMG,1,1,1
UVMYFRPA,1,1,1
TMLVFTVA,1,1,1
XXTIDWIA,1,1,1
KHGUQMDN,1,1,1
UUISSWWI,1,1,1
IJYAREMF,1,1,1
HJEDSLFG,1,1,1
YIJIPLMI,1,1,1
KLDIYDEH,1,1,1
UXLPQAFX,1,1,1
BZDCFNZW,1,1,1
AUFISWWA,1,1,1
HBQQPOEY,1,1,1
DYVWBNKC,1,1,1
RYZQDXWR,1,1,1
UANVLKQQ,1,1,1
HFREZOOM,1,1,1
JOBGIQMX,1,1,1
MOZNYURZ,1,1,1
VXNUAHPT,1,1,1
RLXDCVBG,1,1,1
QOFABIDD,1,1,1
JFVBSQSA,1,1,1
ZAEFOTSJ,1,1,1
NQYSDCXA,1,1,1
YJYPHNBT,1,1,1
QJKFPGDY,1,1,1
WEQIMKDP,1,1,1
CGOJCZBC,1,1,1
HMTBKHYK,1,1,1
SRQQLQZJ,1,1,1
XKYYZXVX,1,1,1
SGUCPAIH,1,1,1
VXBXOKSD,1,1,1
VGOMLINK,1,1,1
WBEHQCIV,1,1,1
KNODQWHS,1,1,1
PLEUXNPF,1,1,1
WQVTTCBR,1,1,1
GFPBHCMI,1,1,1
JCXLATPV,1,1,1
HNMUCZLD,1,1,1
EOCHEYWB,1,1,1
VWIWOUSF,1,1,1
BNJOQNFZ,1,1,1
BAXAWHTD,1,1,1
UFKVSCHI,1,1,1
